Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_calculate…(df,14)","Exit_calculate…(df,14)","Entry_find_frac…(df,5)","Exit_find_frac…(df,5)"
6,366554,366554,13997.038819,13973.68818,13973.68818,14042.694722717999,-173.66870639880136,33.5648723988,-0.0020679219922223762,2023-03-20 03:15:00,2023-03-20 03:15:00,0 days 00:00:00,,26.67905085714288,26.67905085714288,,
6,368760,368776,14465.731296,14484.147929178002,14445.442188,14484.147929178002,75.75994399779584,34.73985507021361,0.0008728668516368732,2023-03-30 03:05:00,2023-03-30 04:25:00,0 days 01:20:00,,10.49667585714295,6.301981428571318,,
6,369036,369038,14575.668071,14561.780344,14561.780344,14588.684720428,-118.29130009799616,34.964938098000005,-0.0013526115295000088,2023-03-31 03:05:00,2023-03-31 03:15:00,0 days 00:10:00,,9.482792285714302,9.383391928571525,,
-6,371426,371427,14464.339691,14449.043592728001,14480.732306,14449.043592728001,57.080529691513405,34.6960599404736,0.0006577155831849615,2023-04-13 03:05:00,2023-04-13 03:10:00,0 days 00:05:00,,10.178594857142993,10.01955442857161,,
5,371704,371713,14683.099957,14671.717119,14671.717119,14721.267357329998,-86.26900707599769,29.354817076000003,-0.0011750789319509318,2023-04-14 03:15:00,2023-04-14 04:00:00,0 days 00:45:00,,9.54243249999997,7.256224571428642,,
5,371979,371983,14692.284548,14686.468129,14686.468129,14720.070577467997,-58.4608476769943,29.378752677,-0.0007958033685775837,2023-04-17 03:10:00,2023-04-17 03:30:00,0 days 00:20:00,,11.331638499999697,9.820753357142687,,
-6,373910,373911,14426.209721,14407.149054173999,14448.725397,14407.149054173999,79.76397042579522,34.6000305302088,0.0009215168313831896,2023-04-26 03:05:00,2023-04-26 03:10:00,0 days 00:05:00,,13.339525428571635,13.100964642857305,,14407.005576
-6,374186,374209,14466.287938,14447.859058844,14491.030181,14447.859058844,75.87629853978306,34.696976396212804,0.0008741737901823508,2023-04-27 03:05:00,2023-04-27 05:00:00,0 days 01:55:00,,10.138834357143164,7.2959847857143485,,
-5,375291,375297,14689.77966,14706.450596,14706.450596,14675.399793314,-112.75091025600219,29.396230256000003,-0.0015350932807116787,2023-05-03 03:10:00,2023-05-03 03:40:00,0 days 00:30:00,,9.94003378571402,9.661712857142577,,
5,378050,378054,15019.868304,15041.671545960002,15000.414159,15041.671545960002,78.95466995005097,30.061539849960006,0.0010513363812787,2023-05-17 03:05:00,2023-05-17 03:25:00,0 days 00:20:00,,9.800873285714001,9.72135314285684,,
5,379154,379169,15487.725819,15470.498241,15470.498241,15498.678440892003,-117.09611405999996,30.95822406,-0.0015121150184148138,2023-05-23 03:05:00,2023-05-23 04:20:00,0 days 01:15:00,,8.627949499999886,7.415265428571209,,
-5,379431,379441,15260.059283,15280.348391,15280.348391,15233.668755464,-131.98594767399516,30.540407674000004,-0.00172982221400722,2023-05-24 03:10:00,2023-05-24 04:00:00,0 days 00:50:00,,14.313648642857386,12.166601357142879,,
5,379706,379715,15429.556741,15452.284565030002,15392.846696,15452.284565030002,82.75727884398006,30.881841306030005,0.001072711034194092,2023-05-25 03:05:00,2023-05-25 03:50:00,0 days 00:45:00,,13.240125142857064,11.073197857142727,,
5,379982,379990,15548.956427,15575.840696989999,15523.1009,15575.840696989999,103.29655282600834,31.12479712399,0.0013286621942890878,2023-05-26 03:05:00,2023-05-26 03:45:00,0 days 00:40:00,,13.399165642857172,10.993677428571443,,
5,381315,381319,16148.45975,16167.12408916,16139.581801,16167.12408916,61.006111960835725,32.31558383916,0.0007555657060214972,2023-06-02 03:10:00,2023-06-02 03:30:00,0 days 00:20:00,,9.582192500000149,8.250227928571414,16145.39822,
5,381591,381614,16194.382707,16174.37192,16174.37192,16234.12874375,-132.42268962700535,32.368754627,-0.0016354150945163057,2023-06-05 03:10:00,2023-06-05 05:05:00,0 days 01:55:00,,10.377395428571097,7.395385214285592,,16173.786957
5,381871,381889,16238.357417,16220.851518,16220.851518,16278.375651834003,-119.98870393499885,32.459208935,-0.0014778428735579448,2023-06-06 03:30:00,2023-06-06 05:00:00,0 days 01:30:00,,11.78888007142866,8.091187571428625,,
5,382694,382705,16124.524149,16149.575953526,16098.11198,16149.575953526,92.98492252747207,32.274100102526006,0.001153335399770423,2023-06-09 03:05:00,2023-06-09 04:00:00,0 days 00:55:00,,11.749119928571547,10.198474642857295,,
5,383802,383805,16680.007632,16658.032785,16658.032785,16722.127489206003,-143.2122754170066,33.338040417,-0.0017171727804519885,2023-06-15 03:25:00,2023-06-15 03:40:00,0 days 00:15:00,,11.31420621428515,12.826695499999394,,
5,384855,384859,16759.757071,16774.384821420004,16736.132235,16774.384821420004,39.60461020760151,33.53414189242001,0.0004726155640539993,2023-06-21 03:10:00,2023-06-21 03:30:00,0 days 00:20:00,,11.864202357143379,11.215992500000668,,
