year,timeframe,rr_ratio,direction,body_size_points,candle_high,candle_low,outcome
2018,5m,1.5,bearish,18.158932999998797,8218.674423,8194.65777,loss
2018,5m,2.0,bearish,18.158932999998797,8218.674423,8194.65777,loss
2018,5m,2.5,bearish,18.158932999998797,8218.674423,8194.65777,loss
2018,5m,3.0,bearish,18.158932999998797,8218.674423,8194.65777,loss
2018,5m,3.5,bearish,18.158932999998797,8218.674423,8194.65777,loss
2018,5m,4.0,bearish,18.158932999998797,8218.674423,8194.65777,loss
2018,5m,4.5,bearish,18.158932999998797,8218.674423,8194.65777,loss
2018,5m,5.0,bearish,18.158932999998797,8218.674423,8194.65777,loss
2018,5m,10.0,bearish,18.158932999998797,8218.674423,8194.65777,loss
2018,5m,1.5,bullish,5.857719999999972,8135.494795,8098.884043,loss
2018,5m,2.0,bullish,5.857719999999972,8135.494795,8098.884043,loss
2018,5m,2.5,bullish,5.857719999999972,8135.494795,8098.884043,loss
2018,5m,3.0,bullish,5.857719999999972,8135.494795,8098.884043,loss
2018,5m,3.5,bullish,5.857719999999972,8135.494795,8098.884043,loss
2018,5m,4.0,bullish,5.857719999999972,8135.494795,8098.884043,loss
2018,5m,4.5,bullish,5.857719999999972,8135.494795,8098.884043,loss
2018,5m,5.0,bullish,5.857719999999972,8135.494795,8098.884043,loss
2018,5m,10.0,bullish,5.857719999999972,8135.494795,8098.884043,loss
2018,5m,1.5,bullish,6.736378000000514,8186.456961,8172.105547,loss
2018,5m,2.0,bullish,6.736378000000514,8186.456961,8172.105547,loss
2018,5m,2.5,bullish,6.736378000000514,8186.456961,8172.105547,loss
2018,5m,3.0,bullish,6.736378000000514,8186.456961,8172.105547,loss
2018,5m,3.5,bullish,6.736378000000514,8186.456961,8172.105547,loss
2018,5m,4.0,bullish,6.736378000000514,8186.456961,8172.105547,loss
2018,5m,4.5,bullish,6.736378000000514,8186.456961,8172.105547,loss
2018,5m,5.0,bullish,6.736378000000514,8186.456961,8172.105547,loss
2018,5m,10.0,bullish,6.736378000000514,8186.456961,8172.105547,loss
2018,5m,1.5,bullish,22.259338000000753,8127.293987,8096.540955,win
2018,5m,2.0,bullish,22.259338000000753,8127.293987,8096.540955,win
2018,5m,2.5,bullish,22.259338000000753,8127.293987,8096.540955,loss
2018,5m,3.0,bullish,22.259338000000753,8127.293987,8096.540955,loss
2018,5m,3.5,bullish,22.259338000000753,8127.293987,8096.540955,loss
2018,5m,4.0,bullish,22.259338000000753,8127.293987,8096.540955,loss
2018,5m,4.5,bullish,22.259338000000753,8127.293987,8096.540955,loss
2018,5m,5.0,bullish,22.259338000000753,8127.293987,8096.540955,loss
2018,5m,10.0,bullish,22.259338000000753,8127.293987,8096.540955,loss
2018,5m,1.5,bullish,3.807517999999618,8069.888328,8049.679193,loss
2018,5m,2.0,bullish,3.807517999999618,8069.888328,8049.679193,loss
2018,5m,2.5,bullish,3.807517999999618,8069.888328,8049.679193,loss
2018,5m,3.0,bullish,3.807517999999618,8069.888328,8049.679193,loss
2018,5m,3.5,bullish,3.807517999999618,8069.888328,8049.679193,loss
2018,5m,4.0,bullish,3.807517999999618,8069.888328,8049.679193,loss
2018,5m,4.5,bullish,3.807517999999618,8069.888328,8049.679193,loss
2018,5m,5.0,bullish,3.807517999999618,8069.888328,8049.679193,loss
2018,5m,10.0,bullish,3.807517999999618,8069.888328,8049.679193,loss
2018,5m,1.5,bullish,11.715441000000283,7874.533357,7828.843139,win
2018,5m,2.0,bullish,11.715441000000283,7874.533357,7828.843139,win
2018,5m,2.5,bullish,11.715441000000283,7874.533357,7828.843139,win
2018,5m,3.0,bullish,11.715441000000283,7874.533357,7828.843139,loss
2018,5m,3.5,bullish,11.715441000000283,7874.533357,7828.843139,loss
2018,5m,4.0,bullish,11.715441000000283,7874.533357,7828.843139,loss
2018,5m,4.5,bullish,11.715441000000283,7874.533357,7828.843139,loss
2018,5m,5.0,bullish,11.715441000000283,7874.533357,7828.843139,loss
2018,5m,10.0,bullish,11.715441000000283,7874.533357,7828.843139,loss
2018,5m,1.5,bullish,77.90768000000025,7586.919292,7467.128912,win
2018,5m,2.0,bullish,77.90768000000025,7586.919292,7467.128912,no_exit
2018,5m,2.5,bullish,77.90768000000025,7586.919292,7467.128912,no_exit
2018,5m,3.0,bullish,77.90768000000025,7586.919292,7467.128912,no_exit
2018,5m,3.5,bullish,77.90768000000025,7586.919292,7467.128912,no_exit
2018,5m,4.0,bullish,77.90768000000025,7586.919292,7467.128912,no_exit
2018,5m,4.5,bullish,77.90768000000025,7586.919292,7467.128912,no_exit
2018,5m,5.0,bullish,77.90768000000025,7586.919292,7467.128912,no_exit
2018,5m,10.0,bullish,77.90768000000025,7586.919292,7467.128912,no_exit
2018,5m,1.5,bearish,7.907922000000326,7797.21145,7759.72204,loss
2018,5m,2.0,bearish,7.907922000000326,7797.21145,7759.72204,loss
2018,5m,2.5,bearish,7.907922000000326,7797.21145,7759.72204,loss
2018,5m,3.0,bearish,7.907922000000326,7797.21145,7759.72204,loss
2018,5m,3.5,bearish,7.907922000000326,7797.21145,7759.72204,loss
2018,5m,4.0,bearish,7.907922000000326,7797.21145,7759.72204,loss
2018,5m,4.5,bearish,7.907922000000326,7797.21145,7759.72204,loss
2018,5m,5.0,bearish,7.907922000000326,7797.21145,7759.72204,loss
2018,5m,10.0,bearish,7.907922000000326,7797.21145,7759.72204,loss
2018,5m,1.5,bearish,13.472757000000456,7737.169817,7707.588329,win
2018,5m,2.0,bearish,13.472757000000456,7737.169817,7707.588329,win
2018,5m,2.5,bearish,13.472757000000456,7737.169817,7707.588329,win
2018,5m,3.0,bearish,13.472757000000456,7737.169817,7707.588329,win
2018,5m,3.5,bearish,13.472757000000456,7737.169817,7707.588329,win
2018,5m,4.0,bearish,13.472757000000456,7737.169817,7707.588329,win
2018,5m,4.5,bearish,13.472757000000456,7737.169817,7707.588329,win
2018,5m,5.0,bearish,13.472757000000456,7737.169817,7707.588329,win
2018,5m,10.0,bearish,13.472757000000456,7737.169817,7707.588329,win
2018,5m,1.5,bullish,9.9581249999992,7520.141281,7480.308783,loss
2018,5m,2.0,bullish,9.9581249999992,7520.141281,7480.308783,loss
2018,5m,2.5,bullish,9.9581249999992,7520.141281,7480.308783,loss
2018,5m,3.0,bullish,9.9581249999992,7520.141281,7480.308783,loss
2018,5m,3.5,bullish,9.9581249999992,7520.141281,7480.308783,loss
2018,5m,4.0,bullish,9.9581249999992,7520.141281,7480.308783,loss
2018,5m,4.5,bullish,9.9581249999992,7520.141281,7480.308783,loss
2018,5m,5.0,bullish,9.9581249999992,7520.141281,7480.308783,loss
2018,5m,10.0,bullish,9.9581249999992,7520.141281,7480.308783,loss
2018,5m,1.5,bullish,23.723767000000407,7618.550981,7581.94023,loss
2018,5m,2.0,bullish,23.723767000000407,7618.550981,7581.94023,loss
2018,5m,2.5,bullish,23.723767000000407,7618.550981,7581.94023,loss
2018,5m,3.0,bullish,23.723767000000407,7618.550981,7581.94023,loss
2018,5m,3.5,bullish,23.723767000000407,7618.550981,7581.94023,loss
