Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,SL_Type,PnL,Result,Session,Year
2024-02-07 03:01:00,2024-02-07 03:02:00,SHORT,18921.823071,18925.0391085,18925.0391085,18916.195006,SL_75,-3.2160375000021304,LOSS,Session_1 (02:00-05:00),2024
2024-02-07 03:01:00,2024-02-07 03:02:00,SHORT,18921.823071,18926.111121,18926.111121,18916.195006,SL_100,-4.2880500000028405,LOSS,Session_1 (02:00-05:00),2024
2024-02-07 08:30:00,2024-02-07 08:33:00,SHORT,19041.084452,19025.004266,19049.794553,19025.004266,SL_50,16.08018599999923,WIN,Session_2 (08:30-11:00),2024
2024-02-07 08:30:00,2024-02-07 08:33:00,SHORT,19041.084452,19025.004266,19054.149603500002,19025.004266,SL_75,16.08018599999923,WIN,Session_2 (08:30-11:00),2024
2024-02-07 08:30:00,2024-02-07 08:33:00,SHORT,19041.084452,19025.004266,19058.504654,19025.004266,SL_100,16.08018599999923,WIN,Session_2 (08:30-11:00),2024
2024-02-07 08:31:00,2024-02-07 08:32:00,SHORT,19036.260396,19041.7544595,19041.7544595,19025.004266,SL_50,-5.494063499998447,LOSS,Session_2 (08:30-11:00),2024
2024-02-07 08:31:00,2024-02-07 08:32:00,SHORT,19036.260396,19044.501491249997,19044.501491249997,19025.004266,SL_75,-8.241095249995851,LOSS,Session_2 (08:30-11:00),2024
2024-02-07 08:31:00,2024-02-07 08:32:00,SHORT,19036.260396,19047.248523,19047.248523,19025.004266,SL_100,-10.988126999996894,LOSS,Session_2 (08:30-11:00),2024
2024-02-07 09:35:00,2024-02-07 09:44:00,SHORT,19130.597488,19140.1115985,19140.1115985,19002.760008,SL_50,-9.514110500000243,LOSS,Session_2 (08:30-11:00),2024
2024-02-07 09:35:00,2024-02-07 09:44:00,SHORT,19130.597488,19144.86865375,19144.86865375,19002.760008,SL_75,-14.271165750000364,LOSS,Session_2 (08:30-11:00),2024
2024-02-07 09:35:00,2024-02-07 09:46:00,SHORT,19130.597488,19149.625709,19149.625709,19002.760008,SL_100,-19.028221000000485,LOSS,Session_2 (08:30-11:00),2024
2024-02-07 09:38:00,2024-02-07 09:39:00,SHORT,19123.629408,19128.4534635,19128.4534635,19087.984995,SL_50,-4.824055500001123,LOSS,Session_2 (08:30-11:00),2024
2024-02-07 09:38:00,2024-02-07 09:39:00,SHORT,19123.629408,19130.86549125,19130.86549125,19087.984995,SL_75,-7.236083249998046,LOSS,Session_2 (08:30-11:00),2024
