year,timeframe,stop_loss_type,rr_ratio,total_fvgs,total_trades,wins,losses,no_exit,win_rate,total_pnl,avg_win,avg_loss,profit_factor,gross_profit,gross_loss
2022,5m,middle,5.0,26,18,4,14,7,22.22222222222222,136.46511999999348,220.42665374999842,53.231535357142874,1.1831153000947612,881.7066149999937,745.2414950000002
2022,5m,middle,10.0,26,16,1,15,9,6.25,-527.2497550000135,247.70435499998712,51.663607333333374,0.3196374492419776,247.70435499998712,774.9541100000006
2022,5m,edge,1.5,26,23,12,11,2,52.17391304347826,615.9290544999994,104.12843462499973,57.601105545454296,1.972091592320309,1249.5412154999967,633.6121609999973
2022,5m,edge,2.0,26,22,11,11,3,50.0,900.1065909999998,139.4289774545452,57.601105545454296,2.420595510003167,1533.718751999997,633.6121609999973
2022,5m,edge,2.5,26,19,7,12,6,36.84210526315789,399.9484754999985,151.65129464285656,55.134215583333116,1.6045073693779934,1061.559062499996,661.6105869999974
2022,5m,edge,3.0,26,18,5,13,7,27.77777777777778,163.5758749999968,170.7732971999987,53.09927776923052,1.236966680979524,853.8664859999935,690.2906109999967
2022,5m,edge,3.5,26,18,5,13,7,27.77777777777778,305.88695599999573,199.2355133999985,53.09927776923052,1.4431277944761112,996.1775669999925,690.2906109999967
2022,5m,edge,4.0,26,18,5,13,7,27.77777777777778,448.19803699999466,227.69772959999827,53.09927776923052,1.6492889079726984,1138.4886479999914,690.2906109999967
2022,5m,edge,4.5,26,17,3,14,8,17.647058823529413,-45.271893500007536,227.00556449999658,51.87775621428552,0.9376667975921151,681.0166934999897,726.2885869999973
2022,5m,edge,5.0,26,17,3,14,8,17.647058823529413,30.396627999991324,252.2284049999962,51.87775621428552,1.0418519973245723,756.6852149999886,726.2885869999973
2022,5m,edge,10.0,26,15,1,14,10,6.666666666666667,-477.1524170000139,249.1361699999834,51.87775621428552,0.34302641465021994,249.1361699999834,726.2885869999973
2022,15m,middle,1.5,15,10,5,5,3,50.0,427.13097425000524,147.71664525000088,62.29045039999983,2.371417196399037,738.5832262500044,311.45225199999913
2022,15m,middle,2.0,15,10,5,5,3,50.0,673.3253830000067,196.95552700000115,62.29045039999983,3.161889595198716,984.7776350000058,311.45225199999913
2022,15m,middle,2.5,15,10,5,5,3,50.0,919.5197917500082,246.19440875000146,62.29045039999983,3.9523619939983954,1230.9720437500073,311.45225199999913
2022,15m,middle,3.0,15,8,2,6,5,25.0,90.10997349999707,208.7276977499987,54.55757033333339,1.2752748853167006,417.4553954999974,327.3454220000003
2022,15m,middle,3.5,15,7,1,6,6,14.285714285714285,-176.2663277499987,151.07909425000162,54.55757033333339,0.4615280498714336,151.07909425000162,327.3454220000003
2022,15m,middle,4.0,15,7,1,6,6,14.285714285714285,-154.68359999999848,172.66182200000185,54.55757033333339,0.5274606284244955,172.66182200000185,327.3454220000003
2022,15m,middle,4.5,15,7,1,6,6,14.285714285714285,-133.10087224999825,194.24454975000208,54.55757033333339,0.5933932069775575,194.24454975000208,327.3454220000003
2022,15m,middle,5.0,15,6,0,6,7,0.0,-327.3454220000003,0.0,54.55757033333339,0.0,0.0,327.3454220000003
2022,15m,middle,10.0,15,6,0,6,7,0.0,-327.3454220000003,0.0,54.55757033333339,0.0,0.0,327.3454220000003
2022,15m,edge,1.5,15,9,5,4,4,55.55555555555556,654.8236860000043,169.56111180000062,48.2454682499997,4.3931875352873595,847.8055590000031,192.9818729999988
2022,15m,edge,2.0,15,9,5,4,4,55.55555555555556,937.4255390000053,226.08148240000082,48.2454682499997,5.857583380383146,1130.4074120000041,192.9818729999988
2022,15m,edge,2.5,15,8,4,4,5,50.0,865.7582720000028,264.6850362500004,48.2454682499997,5.4862155110288935,1058.7401450000016,192.9818729999988
2022,15m,edge,3.0,15,7,3,4,6,42.857142857142854,457.2431280000019,216.74166700000023,48.2454682499997,3.369357913735269,650.2250010000007,192.9818729999988
2022,15m,edge,3.5,15,6,2,4,7,33.33333333333333,191.89198700000452,192.43693000000167,48.2454682499997,1.9943523918435888,384.87386000000333,192.9818729999988
2022,15m,edge,4.0,15,5,1,4,8,20.0,37.86228700000174,230.84416000000056,48.2454682499997,1.1961960800328744,230.84416000000056,192.9818729999988
2022,15m,edge,4.5,15,5,1,4,8,20.0,66.71780700000181,259.6996800000006,48.2454682499997,1.3457205900369835,259.6996800000006,192.9818729999988
2022,15m,edge,5.0,15,4,0,4,9,0.0,-192.9818729999988,0.0,48.2454682499997,0.0,0.0,192.9818729999988
2022,15m,edge,10.0,15,4,0,4,9,0.0,-192.9818729999988,0.0,48.2454682499997,0.0,0.0,192.9818729999988
2023,1m,middle,1.5,24,20,7,13,0,35.0,-135.21140099999866,19.092383785714315,20.68139134615376,0.49709007358761625,133.64668650000021,268.8580874999989
2023,1m,middle,2.0,24,20,7,13,0,35.0,-90.66250549999859,25.456511714285757,20.68139134615376,0.6627867647834884,178.1955820000003,268.8580874999989
2023,1m,middle,2.5,24,20,7,13,0,35.0,-46.113609999998516,31.820639642857195,20.68139134615376,0.8284834559793605,222.74447750000036,268.8580874999989
2023,1m,middle,3.0,24,20,5,15,0,25.0,-192.41337050000038,24.831376199999795,21.10468343333329,0.39219377187751714,124.15688099999898,316.57025149999936
2023,1m,middle,3.5,24,20,5,15,0,25.0,-171.72055700000055,28.96993889999976,21.10468343333329,0.45755940052377,144.8496944999988,316.57025149999936
2023,1m,middle,4.0,24,20,4,16,0,20.0,-268.5894159999971,17.87329250000039,21.255161624999914,0.21022296625326722,71.49317000000156,340.0825859999986
2023,1m,middle,4.5,24,20,4,16,0,20.0,-259.6527697499969,20.107454062500437,21.255161624999914,0.2365008370349256,80.42981625000175,340.0825859999986
2023,1m,middle,5.0,24,20,4,16,0,20.0,-250.71612349999668,22.341615625000486,21.255161624999914,0.262778707816584,89.36646250000194,340.0825859999986
2023,1m,middle,10.0,24,20,3,17,0,15.0,-209.29029549998813,45.05017666666996,20.261225029411648,0.39237662900099707,135.1505300000099,344.440825499998
2023,1m,edge,1.5,24,20,8,12,0,40.0,-93.00108549999914,22.15505193750016,22.52012508333337,0.6558593511512542,177.2404155000013,270.2415010000004
2023,1m,edge,2.0,24,20,8,12,0,40.0,-33.920946999998705,29.540069250000215,22.52012508333337,0.874479134868339,236.32055400000172,270.2415010000004
2023,1m,edge,2.5,24,20,7,13,0,35.0,-0.8281229999965944,39.548332142857625,21.358957538461535,0.9970175618769878,276.83832500000335,277.66644799999995
2023,1m,edge,3.0,24,20,6,14,0,30.0,-123.65920600000572,33.092821499999445,23.015438214285886,0.6162228002641618,198.55692899999667,322.2161350000024
2023,1m,edge,3.5,24,20,6,14,0,30.0,-90.56638450000628,38.60829174999935,23.015438214285886,0.7189266003081888,231.64975049999612,322.2161350000024
2023,1m,edge,4.0,24,20,5,15,0,25.0,-188.0976430000046,32.04866159999947,23.222730066666795,0.46001857530668694,160.24330799999734,348.34095100000195
2023,1m,edge,4.5,24,20,5,15,0,25.0,-168.06722950000494,36.0547442999994,23.222730066666795,0.5175208972200228,180.273721499997,348.34095100000195
2023,1m,edge,5.0,24,20,5,15,0,25.0,-148.03681600000527,40.060826999999335,23.222730066666795,0.5750232191333586,200.30413499999668,348.34095100000195
2023,1m,edge,10.0,24,20,3,17,0,15.0,-193.3462139999956,59.10774666666839,21.80408552941181,0.4783864386084665,177.32324000000517,370.66945400000077
2023,5m,middle,1.5,24,23,7,16,0,30.434782608695656,-263.1581867500063,46.50233046428496,36.79215625000006,0.552964861311292,325.5163132499947,588.674500000001
2023,5m,middle,2.0,24,23,7,16,0,30.434782608695656,-154.65274900000804,62.00310728571328,36.79215625000006,0.7372864817483893,434.02175099999295,588.674500000001
2023,5m,middle,2.5,24,23,4,19,0,17.391304347826086,-321.09881675001,86.53331406249777,35.117477526315845,0.5187599191593275,346.13325624999106,667.232073000001
2023,5m,middle,3.0,24,23,4,19,0,17.391304347826086,-251.87216550001176,103.83997687499732,35.117477526315845,0.6225119029911931,415.3599074999893,667.232073000001
2023,5m,middle,3.5,24,22,3,19,1,13.636363636363635,-379.9054862500125,95.77552891666285,35.117477526315845,0.4306246632571395,287.32658674998856,667.232073000001
2023,5m,middle,4.0,24,22,3,19,1,13.636363636363635,-338.8588310000141,109.45774733332898,35.117477526315845,0.4921424722938737,328.37324199998693,667.232073000001
2023,5m,middle,4.5,24,22,3,19,1,13.636363636363635,-297.81217575001574,123.1399657499951,35.117477526315845,0.553660281330608,369.4198972499853,667.232073000001
2023,5m,middle,5.0,24,21,2,19,2,9.523809523809524,-426.5413005000082,120.34538624999641,35.117477526315845,0.3607302200234497,240.69077249999282,667.232073000001
2023,5m,middle,10.0,24,20,0,20,3,0.0,-687.1320205000011,0.0,34.35660102500005,0.0,0.0,687.1320205000011
