entry_datetime,exit_datetime,type,entry_price,exit_price,stop_loss,take_profit,pnl,exit_reason,bars_held
2022-08-22 02:25:00,2022-08-22 02:50:00,short,15008.084554,14968.584554,15028.584554,14968.584554,34.0,take_profit,5
2022-08-22 03:00:00,2022-08-22 04:35:00,short,14949.802117,14910.302117,14970.302117,14910.302117,34.0,take_profit,19
2022-08-23 01:05:00,2022-08-23 01:10:00,short,14721.814938,14682.314938,14742.314938,14682.314938,34.0,take_profit,1
2022-08-23 04:10:00,2022-08-23 04:55:00,short,14781.811564,14802.311564,14802.311564,14742.311564,-26.0,stop_loss,9
2022-08-24 01:40:00,2022-08-24 02:00:00,short,14712.672595,14733.172595,14733.172595,14673.172595,-26.0,stop_loss,4
2022-08-24 02:05:00,2022-08-24 02:10:00,short,14725.529015,14746.029015,14746.029015,14686.029015,-26.0,stop_loss,1
2022-08-24 02:15:00,2022-08-24 02:30:00,short,14713.815388,14674.315388,14734.315388,14674.315388,34.0,take_profit,3
2022-08-24 02:55:00,2022-08-24 03:05:00,short,14695.530702,14716.030702,14716.030702,14656.030702,-26.0,stop_loss,2
2022-08-24 04:45:00,2022-08-24 06:30:00,short,14730.100187,14750.600187,14750.600187,14690.600187,-26.0,stop_loss,21
2022-08-25 02:15:00,2022-08-25 03:15:00,long,14934.517319,14914.017319,14914.017319,14974.017319,-26.0,stop_loss,12
2022-08-25 03:40:00,2022-08-25 04:10:00,long,14933.374526,14912.874526,14912.874526,14972.874526,-26.0,stop_loss,6
2022-08-26 02:05:00,2022-08-26 02:40:00,long,14999.656513,14979.156513,14979.156513,15039.156513,-26.0,stop_loss,7
2022-08-29 02:20:00,2022-08-29 02:30:00,short,14229.271208,14249.771208,14249.771208,14189.771208,-26.0,stop_loss,2
2022-08-29 02:40:00,2022-08-29 02:50:00,short,14258.412427,14278.912427,14278.912427,14218.912427,-26.0,stop_loss,2
2022-08-29 03:00:00,2022-08-29 04:00:00,short,14266.983373,14227.483373,14287.483373,14227.483373,34.0,take_profit,12
2022-08-29 04:15:00,2022-08-29 05:00:00,short,14246.6988,14267.1988,14267.1988,14207.1988,-26.0,stop_loss,9
2022-08-30 01:00:00,2022-08-30 01:40:00,short,14331.836869,14352.336869,14352.336869,14292.336869,-26.0,stop_loss,8
2022-08-30 04:25:00,2022-08-30 04:30:00,short,14428.117169,14448.617169,14448.617169,14388.617169,-26.0,stop_loss,1
2022-08-31 01:15:00,2022-08-31 02:35:00,short,14215.557694,14176.057694,14236.057694,14176.057694,34.0,take_profit,16
2022-08-31 02:45:00,2022-08-31 02:55:00,short,14162.989221,14183.489221,14183.489221,14123.489221,-26.0,stop_loss,2
2022-08-31 03:10:00,2022-08-31 03:45:00,short,14164.132014,14184.632014,14184.632014,14124.632014,-26.0,stop_loss,7
2022-08-31 04:00:00,2022-08-31 05:10:00,short,14146.418725,14166.918725,14166.918725,14106.918725,-26.0,stop_loss,14
2022-09-01 03:25:00,2022-09-01 04:50:00,short,13876.719606,13897.219606,13897.219606,13837.219606,-26.0,stop_loss,17
2022-09-02 04:20:00,2022-09-02 05:30:00,short,14035.567816,13996.067816,14056.067816,13996.067816,34.0,take_profit,14
2022-09-05 02:20:00,2022-09-05 04:00:00,short,13825.865323,13846.365323,13846.365323,13786.365323,-26.0,stop_loss,20
2022-09-05 04:00:00,2022-09-05 04:35:00,short,13812.723205,13833.223205,13833.223205,13773.223205,-26.0,stop_loss,7
2022-09-06 03:20:00,2022-09-06 03:40:00,short,13909.860599,13930.360599,13930.360599,13870.360599,-26.0,stop_loss,4
2022-09-06 04:40:00,2022-09-06 05:10:00,short,13929.00238,13949.50238,13949.50238,13889.50238,-26.0,stop_loss,6
2022-09-07 04:00:00,2022-09-07 04:20:00,short,13756.440655,13776.940655,13776.940655,13716.940655,-26.0,stop_loss,4
2022-09-07 04:35:00,2022-09-07 04:45:00,short,13757.29775,13777.79775,13777.79775,13717.79775,-26.0,stop_loss,2
2022-09-09 02:05:00,2022-09-09 02:15:00,long,14177.702736,14217.202736,14157.202736,14217.202736,34.0,take_profit,2
2022-09-09 03:15:00,2022-09-09 03:40:00,long,14220.271771,14199.771771,14199.771771,14259.771771,-26.0,stop_loss,5
2022-09-09 03:40:00,2022-09-09 05:45:00,long,14216.843392,14256.343392,14196.343392,14256.343392,34.0,take_profit,25
2022-09-12 01:35:00,2022-09-12 02:45:00,long,14430.541531,14470.041531,14410.041531,14470.041531,34.0,take_profit,14
2022-09-12 03:20:00,2022-09-12 03:40:00,long,14453.544175,14493.044175,14433.044175,14493.044175,34.0,take_profit,4
2022-09-13 01:10:00,2022-09-13 02:05:00,long,14628.193881,14607.693881,14607.693881,14667.693881,-26.0,stop_loss,11
2022-09-15 01:15:00,2022-09-15 02:05:00,short,13875.206202,13895.706202,13895.706202,13835.706202,-26.0,stop_loss,10
2022-09-15 03:10:00,2022-09-15 05:35:00,short,13881.453833,13841.953833,13901.953833,13841.953833,34.0,take_profit,29
2022-09-16 01:10:00,2022-09-16 01:20:00,short,13506.02796,13526.52796,13526.52796,13466.52796,-26.0,stop_loss,2
2022-09-16 01:25:00,2022-09-16 03:35:00,short,13509.151776,13469.651776,13529.651776,13469.651776,34.0,take_profit,26
2022-09-19 01:35:00,2022-09-19 02:05:00,short,13466.83827,13427.33827,13487.33827,13427.33827,34.0,take_profit,6
2022-09-19 02:20:00,2022-09-19 02:50:00,short,13439.291893,13459.791893,13459.791893,13399.791893,-26.0,stop_loss,6
2022-09-19 02:50:00,2022-09-19 03:25:00,short,13445.823508,13466.323508,13466.323508,13406.323508,-26.0,stop_loss,7
2022-09-19 04:15:00,2022-09-19 05:45:00,short,13409.757634,13430.257634,13430.257634,13370.257634,-26.0,stop_loss,18
2022-09-20 03:10:00,2022-09-20 03:30:00,short,13611.101767,13631.601767,13631.601767,13571.601767,-26.0,stop_loss,4
2022-09-20 03:50:00,2022-09-20 04:25:00,short,13617.917366,13578.417366,13638.417366,13578.417366,34.0,take_profit,7
2022-09-20 04:40:00,2022-09-20 06:00:00,short,13584.407341,13604.907341,13604.907341,13544.907341,-26.0,stop_loss,16
2022-09-21 01:50:00,2022-09-21 02:05:00,short,13515.967374,13476.467374,13536.467374,13476.467374,34.0,take_profit,3
2022-09-21 03:25:00,2022-09-21 04:45:00,short,13543.229767,13563.729767,13563.729767,13503.729767,-26.0,stop_loss,16
2022-09-23 01:25:00,2022-09-23 01:35:00,short,13098.227995,13118.727995,13118.727995,13058.727995,-26.0,stop_loss,2
2022-09-23 01:40:00,2022-09-23 02:00:00,short,13105.895543,13066.395543,13126.395543,13066.395543,34.0,take_profit,4
2022-09-23 02:20:00,2022-09-23 03:00:00,short,13077.497217,13097.997217,13097.997217,13037.997217,-26.0,stop_loss,8
2022-09-23 04:50:00,2022-09-23 04:55:00,short,12980.374941,13000.874941,13000.874941,12940.874941,-26.0,stop_loss,1
2022-09-26 01:05:00,2022-09-26 02:00:00,short,12813.960749,12834.460749,12834.460749,12774.460749,-26.0,stop_loss,11
2022-09-26 03:35:00,2022-09-26 04:20:00,short,12927.838037,12888.338037,12948.338037,12888.338037,34.0,take_profit,9
2022-09-26 04:25:00,2022-09-26 04:35:00,short,12871.325368,12831.825368,12891.825368,12831.825368,34.0,take_profit,2
2022-09-26 04:55:00,2022-09-26 05:15:00,short,12841.223142,12861.723142,12861.723142,12801.723142,-26.0,stop_loss,4
2022-09-27 02:05:00,2022-09-27 02:20:00,short,12999.117836,13019.617836,13019.617836,12959.617836,-26.0,stop_loss,3
2022-09-27 03:25:00,2022-09-27 04:00:00,short,13039.443459,12999.943459,13059.943459,12999.943459,34.0,take_profit,7
2022-09-27 04:20:00,2022-09-27 04:45:00,short,12973.559342,12994.059342,12994.059342,12934.059342,-26.0,stop_loss,5
2022-09-27 04:50:00,2022-09-27 05:10:00,short,12976.399175,12996.899175,12996.899175,12936.899175,-26.0,stop_loss,4
2022-09-28 01:30:00,2022-09-28 01:55:00,short,12771.363259,12731.863259,12791.863259,12731.863259,34.0,take_profit,5
2022-09-28 04:05:00,2022-09-28 04:15:00,short,12701.503377,12662.003377,12722.003377,12662.003377,34.0,take_profit,2
2022-09-28 04:35:00,2022-09-28 05:00:00,short,12675.092933,12695.592933,12695.592933,12635.592933,-26.0,stop_loss,5
2022-09-29 02:00:00,2022-09-29 02:20:00,short,12973.559342,12934.059342,12994.059342,12934.059342,34.0,take_profit,4
2022-09-29 02:50:00,2022-09-29 02:55:00,short,12913.638874,12934.138874,12934.138874,12874.138874,-26.0,stop_loss,1
2022-09-30 01:15:00,2022-09-30 01:25:00,short,12769.943343,12790.443343,12790.443343,12730.443343,-26.0,stop_loss,2
