year,timeframe,rr_ratio,min_ticks_required,total_body_candles,total_trades,wins,losses,no_exit,win_rate,total_pnl,avg_win,avg_loss,profit_factor,gross_profit,gross_loss
2023,15m,5.0,75,23,23,5,18,0,21.73913043478261,613.0212090200093,336.8085989200008,59.501210309999706,1.5723704384668866,1684.042994600004,1071.0217855799947
2023,15m,10.0,75,23,23,2,21,0,8.695652173913043,-256.548017979987,523.3101666000039,62.05563577047594,0.8031351684165077,1046.6203332000077,1303.1683511799947
2024,5m,1.5,50,32,32,19,13,0,59.375,677.0958347000142,65.87378642210551,44.192777486153105,2.178570299032318,1251.6019420200046,574.5061073199904
2024,5m,2.0,50,32,32,16,16,0,50.0,690.4098488200143,87.47155211750032,44.32093656624943,1.9735943979150987,1399.5448338800052,709.1349850599909
2024,5m,2.5,50,32,32,16,16,0,50.0,1040.2960572900156,109.3394401468754,44.32093656624943,2.4669929973938736,1749.4310423500065,709.1349850599909
2024,5m,3.0,50,32,32,15,17,0,46.875,1153.797913440012,128.13526577200028,45.190063125881885,2.501889149997659,1922.0289865800041,768.2310731399921
2024,5m,3.5,50,32,32,14,18,0,43.75,1330.238290150015,152.17476067500047,44.45601996111064,2.662364901203587,2130.4466494500066,800.2083592999916
2024,5m,4.0,50,32,32,13,19,0,40.625,1433.8013971000255,174.93592609846272,44.229770641052085,2.7061637519837274,2274.167039280015,840.3656421799897
2024,5m,4.5,50,32,32,13,19,0,40.625,1718.0722770100274,196.80291686077055,44.229770641052085,3.0444342209816933,2558.437919190017,840.3656421799897
2024,5m,5.0,50,32,32,13,19,0,40.625,2002.3431569200293,218.6699076230784,44.229770641052085,3.382704689979659,2842.708799100019,840.3656421799897
2024,5m,10.0,50,32,32,7,25,0,21.875,1997.1119259200386,442.34017245714705,43.97077125119962,2.816763153423699,3096.381207200029,1099.2692812799905
2024,15m,1.5,75,40,40,20,20,0,50.0,865.2563720800099,102.72075674399966,59.45793813999917,1.7276205660232318,2054.4151348799933,1189.1587627999834
2024,15m,2.0,75,40,40,18,22,0,45.0,1057.0192057000058,133.9180762377772,61.52300757181745,1.7809489397236096,2410.52537227999,1353.506166579984
2024,15m,2.5,75,40,40,13,27,0,32.5,657.9044610500059,176.7402919653838,60.7303457222216,1.401229922223627,2297.623795549989,1639.7193344999832
2024,15m,3.0,75,40,40,11,29,0,27.500000000000004,657.9878204800043,219.3243186272716,60.50274773862011,1.3750116488425645,2412.5675048999874,1754.579684419983
2024,15m,3.5,75,40,40,10,30,0,25.0,629.711969920012,247.9929528719993,61.67391862666603,1.340344824274845,2479.929528719993,1850.217558799981
2024,15m,4.0,75,40,40,9,31,0,22.5,646.0083306800043,284.86908296888737,61.86494890451556,1.3368462882139607,2563.8217467199865,1917.8134160399823
2024,15m,4.5,75,40,40,8,32,0,20.0,671.299388790012,330.34788833624907,61.60886618437439,1.340504657834597,2642.7831066899926,1971.4837178999805
2024,15m,5.0,75,40,40,7,32,1,17.5,439.0201976000135,344.35770221428487,61.60886618437439,1.2226851754411934,2410.503915499994,1971.4837178999805
2024,15m,10.0,75,40,40,6,33,1,15.0,2229.493573839991,709.5572840666622,61.45000395636309,2.099437054169445,4257.343704399973,2027.850130559982
2025,1m,1.5,25,72,72,34,38,0,47.22222222222222,275.2446024599867,35.072738419411614,24.137592205263374,1.3000829142571009,1192.473106259995,917.2285038000082
2025,1m,2.0,25,72,72,29,43,0,40.27777777777778,329.49480992000827,46.93575596689685,23.991677049302336,1.3193886772647498,1361.1369230400087,1031.6421131200004
2025,1m,2.5,25,72,72,26,46,0,36.11111111111111,475.0985768700175,60.09091075576984,23.636197886521703,1.436966638269959,1562.363679650016,1087.2651027799984
2025,1m,3.0,25,72,72,23,49,0,31.944444444444443,505.5788517600304,72.31922042608811,23.62782077632645,1.4366858817780863,1663.3420698000264,1157.763218039996
2025,1m,3.5,25,72,72,22,50,0,30.555555555555557,675.7325219300237,84.42223068681919,23.63113106359997,1.5719002785870737,1857.2890751100222,1181.5565531799984
2025,1m,4.0,25,72,72,19,53,0,26.38888888888889,551.7467045600351,95.32451701894905,23.76262488301881,1.4380961796782568,1811.165823360032,1259.4191187999968
2025,1m,4.5,25,72,72,19,53,0,26.38888888888889,778.1424324800391,107.24008164631768,23.76262488301881,1.6178582021380388,2037.561551280036,1259.4191187999968
2025,1m,5.0,25,72,72,19,53,0,26.38888888888889,1004.5381604000431,119.15564627368632,23.76262488301881,1.797620224597821,2263.95727920004,1259.4191187999968
2025,1m,10.0,25,72,72,8,63,1,11.11111111111111,307.90099187999294,226.5677916499999,23.883195893968352,1.2046341433167551,1812.5423331999991,1504.6413413200062
2025,5m,1.5,50,51,51,25,26,0,49.01960784313725,342.26831758001936,65.06246399760028,49.39589547538414,1.2665032374467264,1626.561599940007,1284.2932823599876
2025,5m,2.0,50,51,51,22,29,0,43.13725490196079,433.5831143800315,84.91669080909163,49.46841666965464,1.3022361110729659,1868.1671978000159,1434.5840834199844
2025,5m,2.5,50,51,51,19,32,0,37.254901960784316,392.89022105004005,103.81796629210648,49.36409807812447,1.2487196137642922,1972.5413595500231,1579.651138499983
2025,5m,3.0,50,51,51,15,36,0,29.411764705882355,24.585304720025306,119.66264935200088,49.17651209888855,1.013887221804965,1794.9397402800132,1770.354435559988
2025,5m,3.5,50,51,51,15,36,0,29.411764705882355,323.7419281000275,139.60642424400103,49.17651209888855,1.182868425439126,2094.0963636600154,1770.354435559988
2025,5m,4.0,50,51,51,14,37,0,27.450980392156865,412.78244288003407,158.94000715428723,48.98317992648614,1.2277574109468647,2225.160100160021,1812.377657279987
2025,5m,4.5,50,51,51,10,41,0,19.607843137254903,-124.60483458998715,183.60514208700042,47.820884279511986,0.9364473837558265,1836.0514208700042,1960.6562554599914
2025,5m,5.0,50,51,51,9,42,0,17.647058823529413,-223.8151019599718,198.59746114444636,47.88552981571402,0.8887152127259493,1787.377150300017,2011.192252259989
2025,5m,10.0,50,51,51,5,46,0,9.803921568627452,-85.5296013599982,415.11601471999893,46.98064510782593,0.9604232944070358,2075.5800735999946,2161.109674959993
2025,15m,1.5,75,56,56,24,32,0,42.857142857142854,-67.8838785800217,101.03046157999961,77.89421739062539,0.9727659988547367,2424.7310779199906,2492.6149565000123
2025,15m,2.0,75,56,56,20,36,0,35.714285714285715,-8.502459460032696,136.6866627439991,76.17321428722263,0.9968994425185367,2733.7332548799823,2742.235714340015
2025,15m,2.5,75,56,56,16,40,0,28.57142857142857,-273.00156775004325,171.25449884062334,75.32683873000042,0.9093943233405217,2740.0719814499735,3013.0735492000167
2025,15m,3.0,75,56,56,15,41,0,26.785714285714285,-50.56385674004923,202.92692425199783,75.47482245170772,0.9836599178576818,3043.9038637799677,3094.467720520017
2025,15m,3.5,75,56,56,14,42,0,25.0,80.53095388994734,232.7574053149974,75.66839810761944,1.025339556697359,3258.603674409964,3178.0727205200164
2025,15m,4.0,75,56,56,10,46,0,17.857142857142858,-602.2323005800426,280.5496032959971,74.08105072913072,0.8232745566444751,2805.4960329599708,3407.7283335400134
2025,15m,4.5,75,56,56,9,47,0,16.071428571428573,-955.6166041800534,286.6805215999957,75.22853826765989,0.7297266616865217,2580.1246943999613,3535.7412985800147
2025,15m,5.0,75,56,56,7,49,0,12.5,-1614.8288713000184,296.9373179142843,75.37530809591853,0.5627786859712314,2078.56122539999,3693.390096700008
2025,15m,10.0,75,56,56,6,50,0,10.714285714285714,-86.17483802003335,609.5344702666625,74.86763319240018,0.9769794143756154,3657.2068215999752,3743.3816596200086
