outcome,exit_price,entry_price,stop_loss,take_profit,risk,pnl,exit_datetime,year,timeframe,stop_loss_type,rr_ratio,fvg_type,date
win,12899.655727999998,12579.322607,12472.5449,12899.655727999998,106.77770699999928,320.33312099999785,2022-10-17 23:15:00,2022,15m,edge,3.0,bullish,2022-10-17
no_exit,,12859.330104,12717.622456,13284.453048000005,141.70764800000143,,,2022,15m,edge,3.0,bullish,2022-10-28
loss,13235.323944,13224.53258,13235.323944,13192.158487999997,10.791364000000613,-10.791364000000613,2022-11-11 09:15:00,2022,15m,edge,3.0,bearish,2022-11-11
loss,13213.457233,13152.684815,13213.457233,12970.367561000005,60.77241799999865,-60.77241799999865,2022-11-29 09:30:00,2022,15m,edge,3.0,bearish,2022-11-29
win,13645.111791000003,13488.353031,13436.100111,13645.111791000003,52.25292000000081,156.75876000000244,2022-12-02 14:00:00,2022,15m,edge,3.0,bullish,2022-12-02
no_exit,,13250.65904,13413.665433,12761.639861000001,163.00639299999966,,,2022,15m,edge,3.0,bearish,2022-12-06
no_exit,,15091.065953,15297.820344,14367.425584499997,206.7543910000004,,,2022,15m,edge,3.5,bearish,2022-05-05
loss,14659.516277,14630.307208,14659.516277,14528.075466499999,29.209069000000454,-29.209069000000454,2022-05-30 09:45:00,2022,15m,edge,3.5,bearish,2022-05-30
loss,14576.470885,14668.679907,14576.470885,14991.411483999997,92.2090219999991,-92.2090219999991,2022-06-01 09:15:00,2022,15m,edge,3.5,bullish,2022-06-01
no_exit,,13247.255032,13066.693758,13879.219490999998,180.56127399999968,,,2022,15m,edge,3.5,bullish,2022-06-22
no_exit,,15562.267703,15454.845173,15938.246557999999,107.42252999999982,,,2022,15m,edge,3.5,bullish,2022-08-15
win,14005.783803000002,13803.795163,13746.084123,14005.783803000002,57.71104000000014,201.9886400000005,2022-09-07 13:00:00,2022,15m,edge,3.5,bullish,2022-09-07
no_exit,,13168.303894,13274.797618,12795.57586,106.49372399999993,,,2022,15m,edge,3.5,bearish,2022-09-22
no_exit,,12579.322607,12472.5449,12953.044581499998,106.77770699999928,,,2022,15m,edge,3.5,bullish,2022-10-17
no_exit,,12859.330104,12717.622456,13355.306872000005,141.70764800000143,,,2022,15m,edge,3.5,bullish,2022-10-28
