timeframe,body_filter,sl_type,rr_ratio,total_trades,wins,losses,total_pnl,gross_profit,gross_loss,win_rate,profit_factor,expected_value
5m,50,62%,4.5,244,53,191,1564.133435170038,10087.819924950021,8523.686489779982,21.72,1.18,0.19459999999999988
5m,50,62%,5.0,244,51,193,2073.095123240054,10698.766145100035,8625.67102185998,20.9,1.24,0.254
5m,50,78%,1.5,244,101,143,-24.712457419937436,8111.224183980028,8135.936641399966,41.39,1.0,0.03475000000000006
5m,50,78%,2.0,244,88,156,515.4980769800522,9372.611671800025,8857.113594819974,36.07,1.06,0.08210000000000006
5m,50,78%,2.5,244,75,169,311.40365131004455,9896.30220145002,9584.898550139977,30.74,1.03,0.07589999999999986
5m,50,78%,3.0,244,66,178,392.6351131200736,10452.040907880044,10059.40579475997,27.05,1.04,0.08200000000000007
5m,50,78%,3.5,244,60,184,830.4670293200779,11179.689468920049,10349.222439599971,24.59,1.08,0.10655000000000003
5m,50,78%,4.0,244,56,188,1328.8243957800587,11897.795061200035,10568.970665419976,22.95,1.13,0.14749999999999996
5m,50,78%,4.5,244,50,194,1177.6555075200586,12044.515858560037,10866.860351039977,20.49,1.11,0.12694999999999979
5m,50,78%,5.0,244,43,201,152.86515380008677,11413.57048710006,11260.705333299973,17.62,1.01,0.05720000000000014
5m,50,middle,1.5,244,118,126,1651.1245790000025,6199.831466999982,4548.706887999979,48.36,1.36,0.20899999999999996
5m,50,middle,2.0,244,102,142,2115.617844500017,7198.363806999989,5082.745962499972,41.8,1.42,0.2539999999999999
5m,50,middle,2.5,244,84,160,1599.5661610000025,7343.924304999978,5744.358143999975,34.43,1.28,0.20505000000000007
5m,50,middle,3.0,244,75,169,1667.6107299999812,7762.153946999961,6094.543216999979,30.74,1.27,0.22959999999999992
5m,50,middle,3.5,244,69,175,2021.0576419999607,8324.544283999943,6303.486641999983,28.28,1.32,0.27260000000000006
5m,50,middle,4.0,244,63,181,2136.322826499957,8654.600553999939,6518.277727499982,25.82,1.33,0.2909999999999999
5m,50,middle,4.5,244,56,188,1891.2397444999815,8650.773499499957,6759.533754999976,22.95,1.28,0.26224999999999987
5m,50,middle,5.0,244,51,193,1822.520779999958,8753.707204999937,6931.186424999979,20.9,1.26,0.254
5m,100,62%,1.5,22,7,15,-300.7773388599944,819.5356585199988,1120.3129973799932,31.82,0.73,-0.20450000000000013
5m,100,62%,2.0,22,4,18,-653.5177533599945,675.4348997999987,1328.9526531599931,18.18,0.51,-0.45459999999999995
5m,100,62%,2.5,22,3,19,-864.1593653599948,573.2219554999983,1437.3813208599931,13.64,0.4,-0.5226000000000001
5m,100,62%,3.0,22,2,20,-1038.5361084199885,471.10049598000296,1509.6366043999915,9.09,0.31,-0.6364000000000001
5m,100,62%,3.5,22,2,20,-960.019359089988,549.6172453100035,1509.6366043999915,9.09,0.36,-0.5909500000000001
5m,100,62%,4.0,22,2,20,-881.5026097599875,628.133994640004,1509.6366043999915,9.09,0.42,-0.5455000000000001
5m,100,62%,4.5,22,2,20,-802.985860429987,706.6507439700044,1509.6366043999915,9.09,0.47,-0.5000500000000001
5m,100,62%,5.0,22,2,20,-724.4691110999865,785.1674933000049,1509.6366043999915,9.09,0.52,-0.45460000000000006
5m,100,78%,1.5,22,4,18,-1034.2220623899893,636.8014816500026,1671.023544039992,18.18,0.38,-0.5454999999999999
