direction,entry_time,entry_price,stop_loss,take_profit,fvg_type,year,exit_time,exit_price,exit_reason,exit_idx,pnl
short,2018-03-20 03:00:00,8045.439748,8065.784855,8014.922087499999,bullish,2018,2018-03-20 05:55:00,8065.784855,SL,15080,-20.345107000000098
long,2018-03-20 06:00:00,8064.117495,8032.098796,8112.145543500001,bearish,2018,2018-03-20 09:15:00,8032.098796,SL,15120,-32.0186990000002
short,2018-03-21 02:00:00,8075.207408,8080.085005,8067.8910125,bullish,2018,2018-03-21 02:25:00,8067.8910125,TP,15311,7.316395499999999
short,2018-03-21 02:30:00,8073.164529,8080.085005,8062.783814999999,bullish,2018,2018-03-21 03:10:00,8062.783814999999,TP,15320,10.380714000000808
short,2018-03-21 03:15:00,8063.533816,8079.209486,8040.020311,bullish,2018,2018-03-21 04:15:00,8040.020311,TP,15333,23.513504999999896
short,2018-03-21 04:20:00,8043.105029,8069.870612,8002.956654500002,bullish,2018,2018-03-21 09:10:00,8069.870612,SL,15392,-26.765582999999424
short,2018-03-22 02:00:00,8017.131287,8053.819423,7962.099083000001,bullish,2018,2018-03-22 02:55:00,7962.099083000001,TP,15590,55.03220399999918
short,2018-03-22 03:00:00,7963.140923,8032.223277,7859.517392,bullish,2018,2018-03-22 10:35:00,7859.517392,TP,15682,103.62353100000018
long,2018-03-23 02:00:00,7762.063297,7712.24237,7836.7946875,bearish,2018,2018-03-23 08:30:00,7836.7946875,TP,15930,74.73139050000009
long,2018-03-26 02:00:00,7744.844749,7717.203647,7786.306401999999,bearish,2018,2018-03-26 06:15:00,7786.306401999999,TP,16176,41.46165299999939
long,2018-03-27 02:00:00,7969.561399,7943.379496,8008.834253500001,bearish,2018,2018-03-27 08:30:00,7943.379496,SL,16476,-26.181903000000602
short,2018-03-28 02:00:00,7636.572181,7661.294885,7599.488124999998,bullish,2018,2018-03-28 02:10:00,7661.294885,SL,16673,-24.722704000000704
short,2018-03-28 02:15:00,7642.117137,7665.088802,7607.6596395,bullish,2018,2018-03-28 02:30:00,7607.6596395,TP,16677,34.4574975000005
short,2018-03-28 02:35:00,7597.465647,7665.088802,7496.030914499999,bullish,2018,2018-03-28 06:20:00,7665.088802,SL,16723,-67.62315500000022
long,2018-03-29 02:00:00,7597.757487,7574.202142,7633.0905045,bearish,2018,2018-03-29 06:50:00,7633.0905045,TP,17002,35.333017500000096
short,2018-04-02 02:00:00,7651.747851,7663.921443,7633.4874629999995,bullish,2018,2018-04-02 02:25:00,7633.4874629999995,TP,17222,18.260388000000603
short,2018-04-02 02:30:00,7638.32322,7656.333608,7611.307638,bullish,2018,2018-04-02 05:00:00,7656.333608,SL,17253,-18.010387999999693
long,2018-04-02 05:05:00,7657.292807,7640.741618,7682.1195904999995,bearish,2018,2018-04-02 06:00:00,7640.741618,SL,17265,-16.551188999999795
long,2018-04-03 02:00:00,7502.325871,7470.599011,7549.916160999999,bearish,2018,2018-04-03 09:00:00,7470.599011,SL,17574,-31.72685999999976
short,2018-04-04 02:00:00,7494.738036,7514.499463,7465.095895499999,bullish,2018,2018-04-04 02:45:00,7465.095895499999,TP,17772,29.642140500001005
long,2018-04-04 04:35:00,7413.02289,7390.634905,7446.6048675,bearish,2018,2018-04-04 05:10:00,7390.634905,SL,17801,-22.3879850000003
short,2018-04-04 05:15:00,7368.3714,7418.484167,7293.2022495,bullish,2018,2018-04-04 06:25:00,7418.484167,SL,17816,-50.11276699999962
long,2018-04-05 02:00:00,7738.424273,7718.371006,7768.504173499999,bearish,2018,2018-04-05 04:30:00,7718.371006,SL,18066,-20.053266999999323
short,2018-04-05 04:35:00,7719.746525,7745.928428,7680.473670499999,bullish,2018,2018-04-05 06:20:00,7745.928428,SL,18088,-26.181903000000602
long,2018-04-06 02:00:00,7636.280341,7602.218764,7687.3727064999985,bearish,2018,2018-04-06 08:35:00,7687.3727064999985,TP,18388,51.09236549999878
short,2018-04-09 02:00:00,7596.298288,7609.931079,7575.8491015,bullish,2018,2018-04-09 02:10:00,7575.8491015,TP,18584,20.449186499999996
short,2018-04-09 02:15:00,7576.453181,7609.931079,7526.236333999999,bullish,2018,2018-04-09 03:40:00,7609.931079,SL,18602,-33.477898000000096
long,2018-04-09 03:45:00,7611.182118,7592.00437,7639.94874,bearish,2018,2018-04-09 05:50:00,7592.00437,SL,18628,-19.177748000000065
