1.0R,1.5R,2.0R
-155.94465099998433,-177.51614749998862,-117.39083599999049
-160.8896609999838,-182.46115749998808,-122.33584599998994
-166.99820399998407,-188.56970049998836,-128.44438899999022
-169.90703399998256,-191.47853049998685,-131.3532189999887
-174.5611619999827,-196.13265849998697,-136.00734699998884
-162.0531939999828,-177.37070649998805,-110.99141099998906
-170.19791799998256,-185.51543049998781,-119.13613499998883
-173.10674799998105,-188.4242604999863,-122.04496499998731
-166.1255569999821,-177.9524739999879,-108.08258299998943
-174.2702809999837,-186.09719799998948,-116.22730699999101
-178.63352599998416,-190.46044299998994,-120.59055199999148
-168.74350399998457,-175.62540999999055,-100.8105079999923
-159.4352479999843,-161.66302599999017,-110.11876399999255
-147.50904599998375,-143.77372299998842,-86.26635999999144
-150.41787599998406,-146.68255299998873,-89.17518999999174
-151.87229099998422,-148.13696799998888,-90.6296049999919
-160.01701499998399,-156.28169199998865,-98.77432899999167
-150.9996419999834,-165.29906499998924,-107.79170199999226
-138.20078999998168,-146.10078699998576,-82.19399799998882
-153.90847099998155,-161.80846799998562,-97.90167899998869
-160.01701399998183,-167.9170109999859,-104.01022199998897
-170.48880199998257,-178.38879899998665,-114.48200999998971
-156.23553599998286,-157.00889999998708,-85.97547799999029
-162.92584399998213,-163.69920799998636,-92.66578599998957
-165.53444999998192,-166.30781399998614,-95.27439199998935
-162.3461529999813,-161.52536849998523,-88.89779799998814
-172.49073299998145,-171.66994849998537,-99.04237799998828
-156.25940399998126,-147.322954999986,-66.5797199999879
-154.23048799998196,-149.3518709999853,-68.6086359999872
-156.83909399998174,-151.96047699998508,-71.21724199998698
-161.47661699998116,-156.5979999999845,-75.8547649999864
-175.6790289999799,-170.80041199998323,-90.05717699998513
-167.85320899997987,-159.0616819999841,-97.88299699998515
-170.46181599998,-161.67028899998422,-100.49160399998527
-162.0563059999795,-149.06202399998347,-83.68058399998426
-172.78057699997862,-159.7862949999826,-94.4048549999834
-197.41741499997897,-184.42313299998295,-119.04169299998375
-182.92515699997875,-162.68474599998353,-133.53395099998397
-166.98367399997824,-138.77252149998367,-101.65098499998294
-174.80949399997826,-146.5983414999837,-109.47680499998296
-144.375751999979,-177.03208349998295,-139.91054699998222
-131.33271999997942,-157.46753549998266,-152.9535789999818
-125.82566199998018,-162.9745934999819,-158.46063699998103
-133.07179099997938,-170.2207224999811,-165.70676599998023
-118.8693779999785,-148.91710299998067,-137.30193999997846
-81.47935299997971,-92.83206549998249,-62.521889999980885
-61.48003799997878,-62.83309299998109,-22.523259999979018
-13.94543199997861,8.468816000019615,72.54595200002132
-33.07521199997882,-10.660963999980595,53.416172000021106
-31.336140999978852,-8.052357499980644,56.89431400002104
-62.63941799997883,-39.355634499980624,25.59103700002106
-32.78536699997858,-69.20968549998088,-4.263013999979194
-13.94543199997861,-88.04962049998085,-23.102948999979162
6.633574000021326,-108.62862649998078,-43.6819549999791
-29.886914999978217,-145.14911549998033,-80.20244399997864
-35.39397299997745,-150.65617349997956,-85.70950199997787
-18.87279899997793,-125.87441249998119,-52.66715399997884
-43.50963799997862,-150.51125149998188,-77.30399299997953
-25.249392999978227,-123.12088399998174,-40.78350299997874
-36.843199999978424,-134.71469099998194,-52.377309999978934
-46.11824499997783,-143.98973599998135,-61.65235499997834
-25.82908399997723,-113.55599449998044,-21.074032999977135
-1.7719359999773587,-77.47027249998064,27.040263000022605
0.54682600002252,-73.99212949998127,31.677787000022363
20.546141000022544,-43.99315699998078,71.67641700002241
-4.090696999976899,-68.62999499998023,47.03957900002297
14.74923800002307,-40.370092499980274,84.7194490000229
-0.6125549999769646,-55.73188549998031,69.35765600002287
-0.03286399997705303,-54.862348999980895,70.5170380000227
-3.8008509999772286,-58.63033599998107,66.74905100002252
1.4163620000226729,-63.84754899998097,61.53183800002262
-27.278307999976278,-92.54221899997992,32.83716800002367
-42.64010099997631,-107.90401199997996,17.475375000023632
-11.04697899997609,-139.49713399998018,-14.117746999976589
13.01016900002378,-103.41141199998037,-38.17489499997646
37.64700700002413,-66.45615499997984,11.098781000024246
64.60260700002436,-26.022754999979043,65.00998100002471
37.93685300002471,-52.688508999978694,38.34422700002506
31.850105000024087,-58.77525699997932,32.25747900002443
53.79297800002496,-80.71812999998019,10.31460600002356
67.36291300002449,-94.28806499997972,-3.2553289999759727
51.77192400002423,-109.87905399997999,-18.846317999976236
40.51176500002384,-121.13921299998037,-30.10647699997662
20.878668000023936,-140.77230999998028,-49.73957399997653
56.9689200000239,-86.63693199998033,22.4409300000234
46.28620500002398,-97.31964699998025,11.758215000023483
63.60952700002326,-71.33466399998179,46.40485900002204
49.17342600002394,-85.77076499998111,31.968758000022717
36.46965700002329,-98.47453399998176,19.26498900002207
58.98997500002315,-64.69405699998242,64.30562500002179
48.018538000023,-75.66549399998257,53.33418800002164
40.22304400002304,-83.46098799998254,45.53869400002168
15.104228000022886,-108.57980399998269,20.419878000021527
7.886178000022483,-115.79785399998309,13.201828000021123
-3.373980999976993,-127.05801299998257,1.9416690000216477
-11.458197999976619,-135.1422299999822,-6.142547999977978
-33.11234899997726,-156.79638099998283,-27.796698999978616
-25.60557699997753,-145.53622299998278,-35.303470999978344
-34.55595999997786,-154.4866059999831,-44.25385399997867
-48.1258949999783,-168.05654099998355,-57.823788999979115
-35.42212599997856,-149.00088749998395,-32.41625099997964
-41.1965659999787,-154.7753274999841,-38.19069099997978
-29.936406999978317,-166.03548649998447,-49.450849999980164
-20.40857999997843,-151.74374599998464,-30.395195999980388
-11.169474999978775,-137.8850884999847,-39.63430099998004
-21.27474599997913,-147.99035949998506,-49.7395719999804
-2.5078149999790185,-119.83996299998489,-12.205709999980172
-12.324362999978803,-129.65651099998468,-22.022257999979956
-8.570975999979055,-124.02643049998551,-25.775644999979704
-13.47925099997883,-128.93470549998528,-30.68391999997948
-18.387524999979178,-133.84297949998563,-35.59219399997983
-25.316852999979346,-140.7723074999858,-42.521521999979996
-18.387524999979178,-130.37831549998555,-28.66286599997966
-20.40857899997809,-132.39936949998446,-30.68391999997857
-24.739409999977397,-136.73020049998377,-35.01475099997788
-16.366470999978446,-124.17079199998534,-43.38768999997683
-5.68375599997762,-108.14671949998319,-54.070404999977654
-12.901806999977453,-115.36477049998302,-61.28845599997749
-15.789027999976497,-118.25199149998207,-64.17567699997653
-26.471742999977323,-128.9347064999829,-74.85839199997736
-35.09905499997694,-137.5620184999825,-83.48570399997698
-50.05306199997722,-152.5160254999828,-98.43971099997725
-55.22944899997765,-157.69241249998322,-103.61609799997768
-63.85676099997818,-166.31972449998375,-112.24340999997821
-55.8046039999781,-154.24148899998454,-96.13909599997805
-46.88971499997842,-163.15637799998422,-105.05398499997773
-48.61517799997728,-164.88184099998307,-106.77944799997658
-37.11209599997619,-147.62721799998235,-83.77328399997441
-41.13817499997731,-151.65329699998347,-87.79936299997553
-55.51702799997747,-166.03214999998363,-102.17821599997569
-25.321436999977777,-120.73876349998409,-41.7870339999763
-36.8245199999792,-132.2418464999855,-53.29011699997773
-42.000906999978724,-137.41823349998504,-58.46650399997725
-54.36672099997941,-149.78404749998572,-70.83231799997793
-52.353681999979926,-146.7644889999856,-66.80623999997897
-46.31456399997933,-152.8036069999862,-72.84535799997957
-53.791567999979634,-160.2806109999865,-80.32236199997988
-62.13130299998102,-168.62034599998788,-88.66209699998126
-52.64125999997941,-178.11038899998948,-98.15213999998286
-64.43191999997816,-189.90104899998823,-109.94279999998162
-51.20337599997856,-170.05823299998974,-83.48571199998241
-55.517031999978826,-174.37188899999,-87.79936799998268
-58.967956999978014,-177.8228139999892,-91.25029299998187
-60.118265999978576,-178.97312299998976,-92.40060199998243
-58.68037999997887,-176.8162939999902,-89.52482999998301
-73.05923299997903,-191.19514699999036,-103.90368299998318
-80.24865899997985,-198.38457299999118,-111.093108999984
-83.69958399998086,-201.83549799999219,-114.544033999985
-80.8238139999803,-197.52184299999226,-108.79249399998389
-74.49711899997874,-188.031800499989,-96.13910399998076
-134.0255709999792,-247.56025249998947,-155.66755599998123
-154.73111999997946,-268.2658014999897,-176.37310499998148
-131.72495499998058,-233.7565539999914,-130.36077499998373
-104.69271199997911,-193.2081894999892,-76.29628899998079
-112.16971499997908,-200.68519249998917,-83.77329199998076
-117.92125599997871,-206.4367334999888,-89.52483299998039
-125.97341299997879,-214.48889049998888,-97.57698999998047
-139.20195799997873,-227.71743549998882,-110.80553499998041
-148.1168469999784,-236.6323244999885,-119.72042399998008
-178.60001499997725,-267.11549249998734,-150.20359199997893
-184.35155699997722,-272.8670344999873,-155.9551339999789
-197.292524999978,-285.8080024999881,-168.8961019999797
-211.95895599997948,-300.4744334999896,-183.56253299998116
-201.60618199997862,-284.94527249998737,-193.91530699998202
-225.18750099997942,-308.52659149998817,-217.49662599998283
