date,entry_time,direction,entry_price,stop_loss,take_profit,box_high,box_low,box_range,risk,order_type,result,exit_time,exit_price,pnl,pnl_points
2022-04-18,2022-04-18 09:15:00+02:00,SHORT,15824.729039,15855.7994705,15700.447312999999,15886.869902,15824.729039,62.140863000000536,31.070431500000268,LIMIT,LOSS,2022-04-18 09:35:00+02:00,15855.7994705,-31.070431500000268,-31.070431500000268
2022-04-19,2022-04-19 09:15:00+02:00,LONG,15956.16985,15928.1062345,16068.424312000001,15956.16985,15900.042619,56.12723100000039,28.063615500001106,LIMIT,LOSS,2022-04-19 09:40:00+02:00,15928.1062345,-28.063615500001106,-28.063615500001106
2022-04-21,2022-04-21 09:05:00+02:00,LONG,16252.842355,16225.63783,16361.660455000001,16252.842355,16198.433305,54.40905000000021,27.204525000001013,LIMIT,LOSS,2022-04-21 09:25:00+02:00,16225.63783,-27.204525000001013,-27.204525000001013
2022-04-22,2022-04-22 09:30:00+02:00,LONG,15754.856365,15712.9041235,15922.665331,15754.856365,15670.951882,83.90448300000025,41.95224149999922,LIMIT,LOSS,2022-04-22 09:45:00+02:00,15712.9041235,-41.95224149999922,-41.95224149999922
2022-04-25,2022-04-25 09:25:00+02:00,LONG,15195.015875,15148.338637500001,15381.724824999996,15195.015875,15101.6614,93.35447499999827,46.67723749999823,LIMIT,WIN,2022-04-25 11:30:00+02:00,15381.724824999996,186.70894999999655,186.70894999999655
2022-04-26,2022-04-26 09:45:00+02:00,SHORT,15415.802073,15435.561149500001,15336.765767000003,15455.320226,15415.802073,39.518152999999074,19.759076500000447,LIMIT,LOSS,2022-04-26 09:55:00+02:00,15435.561149500001,-19.759076500000447,-19.759076500000447
2022-04-27,2022-04-27 10:15:00+02:00,SHORT,14907.793364,14983.106943499999,14606.539045999996,15058.420523,14907.793364,150.62715900000148,75.31357949999983,LIMIT,LOSS,2022-04-27 10:30:00+02:00,14983.106943499999,-75.31357949999983,-75.31357949999983
2022-04-28,2022-04-28 09:40:00+02:00,SHORT,15183.561339,15218.068131,15045.534171,15252.574923,15183.561339,69.01358400000026,34.50679200000013,LIMIT,WIN,2022-04-28 10:40:00+02:00,15045.534171,138.02716800000053,138.02716800000053
2022-04-29,2022-04-29 09:30:00+02:00,LONG,15244.556747,15210.3363185,15381.438461000003,15244.556747,15176.11589,68.44085700000142,34.22042850000071,LIMIT,LOSS,2022-04-29 09:35:00+02:00,15210.3363185,-34.22042850000071,-34.22042850000071
2022-05-02,2022-05-02 10:55:00+02:00,LONG,14798.975263,14710.918511,15151.202271000002,14798.975263,14622.861759,176.11350400000083,88.05675200000042,LIMIT,LOSS,2022-05-02 11:05:00+02:00,14710.918511,-88.05675200000042,-88.05675200000042
2022-05-03,2022-05-03 09:05:00+02:00,LONG,14964.206958,14928.841075,15105.670490000002,14964.206958,14893.475192,70.73176600000079,35.365883000000395,LIMIT,LOSS,2022-05-03 10:30:00+02:00,14928.841075,-35.365883000000395,-35.365883000000395
2022-05-04,2022-05-04 09:25:00+02:00,SHORT,15028.352364,15048.684167,14947.025152,15069.01597,15028.352364,40.66360600000007,20.331802999999127,LIMIT,WIN,2022-05-04 10:50:00+02:00,14947.025152,81.32721200000015,81.32721200000015
2022-05-05,2022-05-05 09:55:00+02:00,SHORT,15355.379391,15382.297553,15247.706743,15409.215715,15355.379391,53.83632399999988,26.91816199999994,LIMIT,WIN,2022-05-05 10:30:00+02:00,15247.706743,107.67264799999975,107.67264799999975
2022-05-06,2022-05-06 09:10:00+02:00,LONG,14655.507189,14616.848127000001,14810.143436999999,14655.507189,14578.189065,77.31812399999944,38.65906199999881,LIMIT,LOSS,2022-05-06 09:50:00+02:00,14616.848127000001,-38.65906199999881,-38.65906199999881
2022-05-09,2022-05-09 09:10:00+02:00,LONG,14232.262052,14185.727996,14418.398276000002,14232.262052,14139.19394,93.06811200000084,46.53405600000042,LIMIT,LOSS,2022-05-09 11:05:00+02:00,14185.727996,-46.53405600000042,-46.53405600000042
