date,direction,tokyo_high,tokyo_low,tokyo_range,manipulation_high,manipulation_low,amplitude
2024-05-20,bearish,19754.714751,19732.770062,21.944688999999926,,19727.746579,5.0234830000008515
2024-05-21,bearish,19839.585174,19820.02003,19.565144000000146,,19807.329125,12.690904999999475
2024-05-22,bearish,19907.798786,19889.291217,18.507568999997602,,19851.747291,37.5439260000021
2024-05-24,bullish,19809.70867,19770.313987,39.39468299999862,19824.779119,,15.070448999998916
2024-05-27,bullish,19947.457862,19917.845752,29.61210999999821,19976.541185,,29.083322999998927
2024-05-28,bullish,20021.752532,19972.310883,49.441649000000325,20073.309331,,51.556799000001774
2024-05-29,bearish,20025.189652,19960.941948,64.24770400000125,,19879.244251,81.69769699999961
2024-05-30,bearish,19810.501851,19744.667785,65.83406599999944,,19731.97688,12.690905000003113
2024-05-31,bullish,19637.588278,19567.788304,69.79997399999775,19642.082974,,4.494696000001568
2024-06-03,bullish,19727.482185,19661.383724,66.09846100000141,19754.450357,,26.968172000000777
2024-06-04,bearish,19752.335206,19712.940523,39.39468299999862,,19577.042088,135.8984350000028
2024-06-05,bullish,19846.459414,19792.787464,53.671949999999924,19869.726072,,23.26665800000046
2024-06-07,bullish,20193.079742,20165.318388,27.76135400000203,20202.333526,,9.253783999996813
2024-06-10,bearish,20147.868395,20109.795681,38.072714000001724,,20066.699485,43.0961959999986
2024-06-11,bearish,20196.252468,20176.687324,19.565144000000146,,20144.960063,31.727261
2024-06-12,bullish,20376.833463,20345.634989,31.198474000000715,20386.087247,,9.25378400000045
2024-06-13,bullish,20771.309076,20726.097729,45.21134700000039,20804.358306,,33.049229999996896
2024-06-14,bearish,20775.01059,20741.168178,33.84241200000179,,20681.150776,60.01740200000131
2024-06-17,bullish,20852.477986,20818.106786,34.37120000000141,20888.936778,,36.45879199999763
2024-06-18,bullish,21089.864703,21040.54603,49.31867299999794,21138.661485,,48.79678200000126
2024-06-19,bullish,21113.08884,21093.517938,19.570901999999478,21126.657998,,13.569157999998424
2024-06-20,bullish,21203.636879,21120.656255,82.9806239999998,21262.871475,,59.23459599999842
2024-06-21,bearish,20950.258937,20909.551461,40.70747599999959,,20821.090985,88.4604760000002
2024-06-24,bullish,20895.199467,20790.560378,104.63908900000024,20906.942008,,11.742541000003257
2024-06-25,bullish,20668.959842,20607.115792,61.8440499999997,20709.928263,,40.9684210000014
2024-06-26,bullish,20884.500707,20838.052433,46.44827399999849,20949.215155,,64.71444800000245
2024-06-27,bullish,20817.43775,20744.37305,73.06470000000263,20852.665373,,35.22762299999886
2024-07-01,bearish,20880.847472,20804.129537,76.71793500000058,,20772.816094,31.313442999999097
2024-07-02,bearish,20903.027827,20835.703925,67.32390200000009,,20806.478045,29.22588000000178
2024-07-03,bullish,21139.705266,21117.263965,22.441301000002568,21171.801545,,32.096278999997594
2024-07-04,bearish,21311.146366,21290.009792,21.13657400000011,,21288.96601,1.0437820000006468
2024-07-05,bullish,21321.323235,21283.747103,37.576131999998324,21356.028967,,34.705731999998534
2024-07-08,bullish,21504.767821,21480.238957,24.528863999999885,21523.555886,,18.788064999997005
2024-07-10,bullish,21624.280794,21603.405166,20.87562799999796,21639.67657,,15.395776000001206
