date,type,entry_price,stop_loss,risk,tokyo_high,tokyo_low,tokyo_eq,entry_datetime,outcome,profit_points,Sweep_Depth,Time_Outside,Tokyo_Range_Size
2023-02-13,short,13853.857823,13856.07606,2.218236999999135,13851.327233,13794.810713,13823.068973000001,2023-02-13 01:40:00,loss,-2.218236999999135,77.89,7,56.52
2023-02-14,short,14097.356856,14100.137447,2.7805909999988216,14106.635688,14064.178004,14085.406846,2023-02-14 02:25:00,loss,-2.7805909999988216,37.4,12,42.46
2023-02-15,long,14112.540399,14112.290399,0.25,14175.523983,14103.542744,14139.533363499999,2023-02-15 01:50:00,loss,-0.25,7.87,10,71.98
2023-02-16,long,14358.851199,14356.914139,1.9370600000002014,14388.093578,14351.821782,14369.95768,2023-02-16 01:25:00,loss,-1.9370600000002014,36.83,5,36.27
2023-02-17,long,13908.687282,13905.906692,2.780590000000302,14002.037951,13939.897897,13970.967924,2023-02-17 03:00:00,loss,-2.780590000000302,63.26,24,62.14
2023-02-21,long,13775.40952,13773.753636,1.6558839999997872,13902.782571,13871.853133,13887.317852,2023-02-21 03:15:00,loss,-1.6558839999997872,118.94,26,30.93
2023-02-22,long,13649.723529,13646.380586,3.342943000001469,13657.596477,13623.574095,13640.585286,2023-02-22 01:40:00,loss,-3.342943000001469,54.55,7,34.02
2023-02-23,short,13704.552988,13707.333579,2.7805910000006406,13735.763604,13681.777675,13708.770639499999,2023-02-23 01:30:00,loss,-2.7805910000006406,15.18,-12,53.99
2023-02-24,long,13664.625895,13660.439421,4.186474000000089,13737.731841,13679.528261,13708.630051,2023-02-24 02:35:00,loss,-4.186474000000089,45.55,18,58.2
2023-02-27,short,13561.996395,13566.464046,4.467650999999023,13549.343443,13504.355169,13526.849306,2023-02-27 03:55:00,loss,-4.467650999999023,34.87,23,44.99
2023-02-28,long,13551.31168,13542.626378,8.685301999999865,13641.288228,13589.551713,13615.4199705,2023-02-28 02:45:00,win,8.685301999999865,59.89,20,51.74
2023-03-01,short,13604.735255,13607.797022,3.061767000001055,13585.052885,13484.391622,13534.7222535,2023-03-01 02:35:00,win,3.061767000001055,55.39,19,100.66
2023-03-02,long,13347.73974,13334.274434,13.465306000000055,13440.528055,13332.556197,13386.542126,2023-03-02 02:40:00,win,13.465306000000055,24.46,14,107.97
2023-03-03,short,13526.005776,13529.067543,3.061766999999236,13561.152865,13509.978703,13535.565784,2023-03-03 01:45:00,win,3.061766999999236,36.55,-4,51.17
