date,tokyo_high,tokyo_low,tokyo_eq,manipulation_type,direction,fvg_timeframe,fvg_top,fvg_bottom,fvg_formation_time,inversion_time,entry_price,manip_candle_high,manip_candle_low,manip_candle_open,manip_candle_close,sl_type,sl_price,tp_level,tp_price,risk,reward_target,rr_ratio,result,exit_price,exit_time,pnl_r
2025-03-31,19776.773914,19670.938029,19723.8559715,HIGH,SHORT,1m,19836.450051,19831.0945,2025-04-01 02:04:00,2025-04-01 03:31:00,19829.564343,19870.878592,19847.416179,19855.832044,19852.771729,SL-Wick,19870.878592,1.5R,19767.592969499994,41.31424900000275,61.97137350000412,1.5,LOSS,19870.878592,2025-04-01 04:00:00,-1.0
2025-03-31,19776.773914,19670.938029,19723.8559715,HIGH,SHORT,1m,19836.450051,19831.0945,2025-04-01 02:04:00,2025-04-01 03:31:00,19829.564343,19870.878592,19847.416179,19855.832044,19852.771729,SL-Wick,19870.878592,2R,19746.935844999993,41.31424900000275,82.6284980000055,2.0,LOSS,19870.878592,2025-04-01 04:00:00,-1.0
2025-04-08,17553.45526,17087.012289,17320.233774499997,HIGH,SHORT,1m,17404.519943,17380.292451,2025-04-09 02:02:00,2025-04-09 06:00:00,17347.649094,17751.610639,17353.004644,17362.440615,17608.030872,SL-Body,17608.030872,1R,17087.267316,260.38177799999903,260.38177799999903,1.0,LOSS,17608.030872,2025-04-09 08:05:00,-1.0
2025-04-08,17553.45526,17087.012289,17320.233774499997,HIGH,SHORT,1m,17404.519943,17380.292451,2025-04-09 02:02:00,2025-04-09 06:00:00,17347.649094,17751.610639,17353.004644,17362.440615,17608.030872,SL-Body,17608.030872,1.5R,16957.076427,260.38177799999903,390.57266699999855,1.5,LOSS,17608.030872,2025-04-09 08:05:00,-1.0
2025-04-08,17553.45526,17087.012289,17320.233774499997,HIGH,SHORT,1m,17404.519943,17380.292451,2025-04-09 02:02:00,2025-04-09 06:00:00,17347.649094,17751.610639,17353.004644,17362.440615,17608.030872,SL-Body,17608.030872,2R,16826.885538000002,260.38177799999903,520.7635559999981,2.0,LOSS,17608.030872,2025-04-09 08:05:00,-1.0
2025-04-08,17553.45526,17087.012289,17320.233774499997,HIGH,SHORT,1m,17404.519943,17380.292451,2025-04-09 02:02:00,2025-04-09 06:00:00,17347.649094,17751.610639,17353.004644,17362.440615,17608.030872,SL-Wick,17751.610639,1R,16943.687549000002,403.9615449999983,403.9615449999983,1.0,LOSS,17751.610639,2025-04-09 08:35:00,-1.0
2025-04-08,17553.45526,17087.012289,17320.233774499997,HIGH,SHORT,1m,17404.519943,17380.292451,2025-04-09 02:02:00,2025-04-09 06:00:00,17347.649094,17751.610639,17353.004644,17362.440615,17608.030872,SL-Wick,17751.610639,1.5R,16741.706776500003,403.9615449999983,605.9423174999974,1.5,LOSS,17751.610639,2025-04-09 08:35:00,-1.0
2025-04-08,17553.45526,17087.012289,17320.233774499997,HIGH,SHORT,1m,17404.519943,17380.292451,2025-04-09 02:02:00,2025-04-09 06:00:00,17347.649094,17751.610639,17353.004644,17362.440615,17608.030872,SL-Wick,17751.610639,2R,16539.726004000004,403.9615449999983,807.9230899999966,2.0,LOSS,17751.610639,2025-04-09 08:35:00,-1.0
2025-04-14,19330.988067,19227.447419,19279.217743,HIGH,SHORT,1m,19315.686494,19315.431467,2025-04-15 02:02:00,2025-04-15 06:43:00,19309.82089,19411.321329,19374.0875,19395.764729,19380.208129,SL-Body,19395.764729,1R,19223.877051,85.94383899999957,85.94383899999957,1.0,WIN,19223.877051,2025-04-15 07:25:00,1.0
2025-04-14,19330.988067,19227.447419,19279.217743,HIGH,SHORT,1m,19315.686494,19315.431467,2025-04-15 02:02:00,2025-04-15 06:43:00,19309.82089,19411.321329,19374.0875,19395.764729,19380.208129,SL-Body,19395.764729,1.5R,19180.9051315,85.94383899999957,128.91575849999936,1.5,LOSS,19395.764729,2025-04-15 08:30:00,-1.0
2025-04-14,19330.988067,19227.447419,19279.217743,HIGH,SHORT,1m,19315.686494,19315.431467,2025-04-15 02:02:00,2025-04-15 06:43:00,19309.82089,19411.321329,19374.0875,19395.764729,19380.208129,SL-Body,19395.764729,2R,19137.933212,85.94383899999957,171.88767799999914,2.0,LOSS,19395.764729,2025-04-15 08:30:00,-1.0
2025-04-14,19330.988067,19227.447419,19279.217743,HIGH,SHORT,1m,19315.686494,19315.431467,2025-04-15 02:02:00,2025-04-15 06:43:00,19309.82089,19411.321329,19374.0875,19395.764729,19380.208129,SL-Wick,19411.321329,1R,19208.320451,101.50043899999946,101.50043899999946,1.0,LOSS,19411.321329,2025-04-15 08:30:00,-1.0
