Date;High_829;Low_829;Open_830;High_830;Low_830;Close_830;High_831;Low_831;FVG_Type;FVG_Size;Year
2018-06-27;8286.092759;8282.020397;8282.31128;8291.328653;8278.820684;8286.092759;8286.383642;8274.748322;;0.0;2018
2018-06-28;8125.816233;8121.162105;8125.816233;8129.597712;8122.907403;8126.688882;8130.470361;8122.325637;;0.0;2018
2018-06-29;8244.787375;8241.587662;8243.042077;8257.00446;8242.460311;8255.259162;8258.167992;8247.114439;Bullish;2.3270640000009735;2018
2018-07-02;8148.795989;8145.596276;8147.92334;8149.377755;8143.269212;8146.468925;8149.959521;8130.179478;;0.0;2018
2018-07-03;8312.853994;8309.945164;8310.236047;8311.981345;8304.70927;8305.000153;8305.291036;8297.437195;Bearish;4.654128000000128;2018
2018-07-04;8199.700512;8195.046384;8198.827863;8199.700512;8193.010203;8196.791682;8198.53698;8195.337267;;0.0;2018
2018-07-05;8239.260598;8234.024704;8236.933534;8247.696205;8235.479119;8243.914726;8247.405322;8237.224417;;0.0;2018
2018-07-06;8304.418387;8301.509557;8303.545738;8304.70927;8295.401014;8300.055142;8309.072515;8299.473376;;0.0;2018
2018-07-09;8458.004604;8455.67754;8457.422838;8462.658732;8454.223125;8461.4952;8464.40403;8457.422838;;0.0;2018
2018-07-10;8501.637052;8499.019105;8499.600871;8503.673233;8496.982924;8499.019105;8504.254999;8497.56469;;0.0;2018
2018-07-11;8431.534252;8427.46189;8428.334539;8431.825135;8421.353348;8429.498071;8448.114582;8429.498071;;0.0;2018
2018-07-12;8488.547317;8485.929371;8487.092903;8488.8382;8481.275243;8486.511137;8490.583498;8480.111711;;0.0;2018
2018-07-13;8593.846959;8590.06548;8593.556076;8599.373735;8591.810778;8595.301374;8597.91932;8592.683427;;0.0;2018
2018-07-16;8605.191395;8603.155214;8603.73698;8607.809342;8599.664618;8601.409916;8611.881704;8601.409916;;0.0;2018
2018-07-17;8490.583498;8488.547317;8490.001732;8505.127648;8488.547317;8502.218818;8507.163829;8501.637052;Bullish;11.053554000000076;2018
2018-07-18;8633.988811;8632.534396;8633.407045;8635.443226;8630.498215;8633.407045;8633.988811;8629.0438;;0.0;2018
2018-07-19;8586.865767;8583.956937;8585.993118;8593.556076;8581.048107;8592.97431;8600.82815;8591.519895;Bullish;4.654128000000128;2018
2018-07-20;8602.282565;8596.174023;8596.464906;8602.282565;8595.592257;8601.409916;8605.191395;8593.265193;;0.0;2018
2018-07-23;8541.778904;8540.033606;8540.324489;8553.995989;8540.324489;8553.414224;8556.613936;8551.08716;Bullish;9.308255999998437;2018
2018-07-24;8684.311568;8681.984504;8683.438919;8690.129227;8682.56627;8690.129227;8690.42011;8684.602451;Bullish;0.2908830000014859;2018
2018-07-25;8634.570577;8632.825279;8632.825279;8638.642939;8629.0438;8637.479407;8641.551768;8635.443226;Bullish;0.8726489999990008;2018
2018-07-26;8631.661747;8625.262321;8631.370864;8644.751481;8625.553204;8643.297066;8651.44179;8642.133534;Bullish;10.471787000000404;2018
2018-07-27;8676.166844;8671.221833;8673.548897;8676.457727;8665.11329;8671.803599;8672.676248;8666.567705;;0.0;2018
2018-07-30;8502.509701;8499.891754;8500.182637;8501.637052;8496.110275;8500.182637;8503.964116;8498.146456;;0.0;2018
2018-07-31;8412.917741;8405.936549;8408.554496;8425.716592;8404.191251;8423.680411;8430.952486;8420.189816;Bullish;7.272075000000768;2018
2018-08-01;8462.367849;8459.459019;8460.622551;8474.003168;8459.168136;8469.058157;8471.094338;8451.314295;;0.0;2018
2018-08-02;8411.754209;8406.227432;8410.008911;8417.862752;8406.227432;8410.88156;8418.153635;8410.590677;;0.0;2018
2018-08-03;8600.82815;8596.755789;8599.082852;8607.518459;8593.846959;8594.137842;8601.991682;8590.647246;;0.0;2018
2018-08-06;8609.263757;8607.227576;8607.809342;8609.55464;8603.446097;8603.446097;8605.191395;8596.464906;Bearish;2.0361809999994875;2018
2018-08-07;8688.383929;8686.638631;8686.929514;8691.874525;8683.729802;8688.383929;8694.492472;8686.638631;;0.0;2018
2018-08-08;8683.729802;8679.948323;8683.729802;8686.056865;8681.111855;8682.857153;8686.929514;8677.330376;;0.0;2018
2018-08-09;8700.019249;8698.564834;8699.437483;8700.310132;8695.656004;8698.855717;8705.255143;8697.110419;;0.0;2018
2018-08-10;8639.224705;8634.570577;8637.77029;8638.933822;8632.534396;8633.697928;8645.333247;8633.697928;;0.0;2018
2018-08-13;8647.369428;8644.460598;8645.915013;8653.477971;8641.842651;8652.314439;8653.477971;8645.62413;;0.0;2018
2018-08-14;8653.768854;8652.605322;8653.187088;8656.386801;8645.915013;8652.896205;8654.932386;8648.53296;;0.0;2018
2018-08-15;8608.681991;8606.64581;8607.809342;8610.136406;8601.700799;8604.027863;8612.46347;8604.027863;;0.0;2018
2018-08-16;8632.534396;8629.916449;8630.498215;8635.443226;8629.334683;8629.916449;8634.279694;8626.425853;;0.0;2018
2018-08-17;8571.739852;8565.631309;8571.158086;8572.903384;8563.595128;8563.886011;8564.75866;8558.941;Bearish;0.8726490000008198;2018
2018-08-20;8617.699364;8616.244949;8616.244949;8618.572013;8612.754353;8615.3723;8615.663183;8610.427289;Bearish;0.5817659999993339;2018
2018-08-21;8614.208768;8611.881704;8613.336119;8616.244949;8609.55464;8611.009055;8613.917885;8608.100225;;0.0;2018
2018-08-22;8600.537267;8598.501086;8599.373735;8602.282565;8596.755789;8600.537267;8606.354927;8600.537267;;0.0;2018
2018-08-23;8636.897641;8635.152343;8636.606758;8646.205896;8636.024992;8640.970003;8645.333247;8640.097354;Bullish;3.1997129999999743;2018
2018-08-24;8667.149471;8664.531524;8665.695056;8672.385365;8663.658875;8671.512716;8679.65744;8670.640067;Bullish;3.490595999999641;2018
2018-08-27;8764.304389;8762.559091;8762.849974;8771.285581;8761.977325;8770.703815;8773.612644;8767.504102;Bullish;3.1997129999999743;2018
2018-08-28;8830.62571;8828.298646;8828.298646;8830.916593;8823.935401;8824.226284;8832.080125;8824.226284;;0.0;2018
2018-08-29;8833.825423;8830.62571;8833.243657;8838.770433;8830.62571;8835.861604;8835.861604;8830.334827;;0.0;2018
2018-08-30;8903.055574;8900.72851;8902.473808;8908.291467;8899.855861;8903.346457;8911.200297;8903.346457;Bullish;0.29088299999966694;2018
2018-08-31;8891.711137;8889.384073;8891.420254;8899.564978;8890.256722;8899.274095;8902.764691;8897.237914;Bullish;5.526776999999129;2018
2018-09-03;8925.453563;8923.708266;8924.580915;8927.198861;8924.290032;8925.744446;8926.326212;8923.999149;;0.0;2018
2018-09-04;8888.511424;8885.602594;8887.057009;8887.929658;8880.948467;8886.18436;8897.237914;8886.18436;;0.0;2018
2018-09-05;8861.168423;8859.423126;8860.586657;8861.459306;8850.987519;8856.514296;8860.004891;8853.0237;;0.0;2018
2018-09-06;8764.304389;8759.941144;8761.104676;8771.867347;8760.52291;8770.412932;8770.994698;8756.741431;;0.0;2018
2018-09-07;8618.28113;8613.336119;8617.699364;8629.625566;8616.535832;8627.880268;8632.825279;8624.971438;Bullish;6.690308000001096;2018
2018-09-10;8692.747174;8690.42011;8692.747174;8699.437483;8689.256578;8696.528653;8697.401302;8679.948323;;0.0;2018
2018-09-11;8638.061173;8636.024992;8636.897641;8644.751481;8633.988811;8642.7153;8644.751481;8636.897641;;0.0;2018
2018-09-12;8729.107547;8725.907835;8727.944016;8728.816664;8713.981632;8717.472228;8720.381058;8710.781919;Bearish;5.526776999999129;2018
2018-09-13;8767.236342;8764.917581;8766.076961;8773.902781;8765.787116;8768.105877;8779.989529;8764.917581;;0.0;2018
2018-09-14;8816.220174;8812.742032;8813.611567;8819.698316;8806.075593;8806.655283;8810.423271;8801.148225;Bearish;2.3187610000004497;2018
2018-09-17;8765.207426;8762.888665;8764.627736;8765.497271;8756.222226;8756.512071;8765.207426;8756.512071;;0.0;2018
2018-09-18;8663.18193;8660.283479;8662.312395;8667.529608;8657.385027;8666.370227;8679.413259;8663.18193;;0.0;2018
2018-09-19;8727.527555;8726.078329;8726.947865;8731.005697;8725.208794;8728.976781;8738.541671;8728.976781;Bullish;1.4492259999988164;2018
2018-09-20;8779.119993;8777.091077;8778.250458;8790.134109;8771.873864;8789.844264;8790.423955;8777.091077;;0.0;2018
2018-09-21;8849.262522;8840.277322;8840.277322;8841.436702;8827.524135;8839.117941;8843.175773;8835.060109;;0.0;2018
2018-09-24;8704.629788;8701.151646;8702.021181;8707.238394;8697.963349;8699.412575;8700.28211;8688.398459;Bearish;0.8695360000001529;2018
2018-09-25;8784.047361;8782.88798;8783.467671;8791.87318;8783.467671;8786.076277;8786.655968;8769.844948;;0.0;2018
2018-09-26;8808.104509;8805.206058;8807.234974;8818.24909;8802.887296;8815.060793;8821.147541;8812.452187;Bullish;4.347678000000087;2018
