entry_time,entry_price,direction,setup_class,position_size,stop_loss,tp1,tp2,exit_price_1,exit_price_2,exit_time_1,exit_time_2,exit_reason,pnl,r_multiple,winner
2022-11-09 03:15:00,12611.696699,bearish,C,1,12672.765218,12489.559661,12561.93482668614,12595.22567,12577.334724,2022-11-09 06:00:00,2022-11-09 05:00:00,Force Close 06:00,508.33004000000074,0.41619646941167643,True
2022-11-21 01:45:00,13252.078957,bearish,C,1,13294.972546,13166.291778999997,13234.517261674775,13189.034672,13197.838153,2022-11-21 06:00:00,2022-11-21 05:00:00,Force Close 06:00,1172.8508899999906,1.3671633889157178,True
2022-11-21 03:00:00,13250.65904,bearish,C,1,13279.069484,13193.838152000002,13221.720056664673,13193.838152000002,13221.720056664673,2022-11-21 04:15:00,2022-11-21 04:15:00,Full TP2,857.5987133532544,1.5093018492658525,True
2022-11-24 01:30:00,13510.503726,bullish,C,2,13491.180747,13549.149684000002,13527.343004057075,13491.180747,13491.180747,2022-11-24 02:15:00,2022-11-24 02:15:00,Stop Loss,-772.9191600000195,-1.0,False
2022-11-24 02:45:00,13500.280328,bullish,C,3,13486.069048,13528.702888000003,13517.298136344474,13528.702888000003,13517.298136344474,2022-11-24 03:00:00,2022-11-24 03:00:00,Full TP2,1363.2110503342847,1.598742982492493,True
2022-12-01 03:15:00,13651.927391,bearish,C,1,13726.911089,13501.959995,13600.78836480917,13660.162905,13638.012211,2022-12-01 06:00:00,2022-12-01 05:00:00,Force Close 06:00,56.796659999999974,0.037872672003986765,True
2022-12-13 01:15:00,13309.780883,bullish,C,1,13266.266003,13396.810642999997,13350.237350084531,13370.233877,13370.233877,2022-12-13 06:00:00,2022-12-13 05:00:00,Force Close 06:00,1209.0598800000225,1.3892487811066647,True
2022-12-22 02:15:00,12780.887486,bullish,C,1,12754.987466,12832.687525999998,12796.971243642249,12754.987466,12754.987466,2022-12-22 03:30:00,2022-12-22 03:30:00,Stop Loss,-518.0003999999826,-1.0,False
2023-02-21 01:15:00,13885.630792,bearish,C,1,13925.308471,13806.275434,13870.253092167131,13806.275434,13870.253092167131,2023-02-21 02:30:00,2023-02-21 02:30:00,Full TP2,947.3305783286924,1.193782754188676,True
2023-02-21 02:15:00,13855.544883,bearish,C,1,13909.281398,13748.071853000003,13824.829252276504,13814.211906,13797.060127,2023-02-21 06:00:00,2023-02-21 05:00:00,Force Close 06:00,998.1773299999986,0.9287700644524705,True
2023-02-21 02:30:00,13849.640172,bearish,C,1,13904.782571,13739.355373999999,13807.779646529027,13814.211906,13797.060127,2023-02-21 06:00:00,2023-02-21 05:00:00,Force Close 06:00,880.0831099999778,0.7980094500422198,True
2023-02-23 02:30:00,13715.800057,bullish,C,1,13679.777675,13787.844821000002,13736.355324444561,13679.777675,13679.777675,2023-02-23 03:15:00,2023-02-23 03:15:00,Stop Loss,-720.4476400000203,-1.0,False
2023-02-24 01:15:00,13694.711803,bearish,C,1,13739.731841,13604.671726999999,13677.097018090448,13604.671726999999,13632.57175,2023-02-24 05:15:00,2023-02-24 05:00:00,Force Close 06:00,1521.8012900000213,1.690137722673626,True
2023-02-24 02:15:00,13665.750602,bearish,C,1,13739.731841,13517.788123999999,13630.699391730052,13608.390553,13632.57175,2023-02-24 06:00:00,2023-02-24 05:00:00,Force Close 06:00,905.3890100000172,0.611904465401025,True
2023-02-27 02:00:00,13538.658728,bullish,B,1,13501.792815,13612.390554,13565.302374178997,13568.182283,13556.091684,2023-02-27 06:00:00,2023-02-27 05:00:00,Force Close 06:00,469.5651100000032,0.636855392676709,True
2023-02-27 02:15:00,13542.595202,bullish,B,1,13501.792815,13624.199976,13574.178029355544,13568.182283,13556.091684,2023-02-27 06:00:00,2023-02-27 05:00:00,Force Close 06:00,390.8356300000014,0.47893721266846967,True
2023-03-02 01:30:00,13358.986808,bearish,C,1,13489.203389,13098.553645999998,13327.829271268009,13389.072716,13363.766812,2023-03-02 06:00:00,2023-03-02 05:00:00,Force Close 06:00,-348.65912000001117,-0.13387662205629927,False
