Date,Entry_Time,Direction,Entry_Price,SL_Price,FVG_Used,FVG_Level,Risk_R,TP_Price,Exit_Time,Exit_Price,Exit_Type,PnL_Points,PnL_R,Asian_High,Asian_Low
2024-03-01,2024-03-01 01:00:00,LONG,19453.273224,19439.873069,True,19439.873069,13.400154999999359,19466.673379,2024-03-01 01:33:00,19466.673379,TP,13.400154999999359,1.0,19437.729044,19359.472138
2024-03-04,2024-03-04 02:15:00,LONG,19684.291899,19675.7158,True,19675.7158,8.576098999998067,19692.867997999998,2024-03-04 02:16:00,19675.7158,SL,-8.576098999998067,-1.0,19684.023896,19646.235458
2024-03-05,2024-03-05 01:00:00,SHORT,19484.89759,19497.493736,True,19497.493736,12.596145999999862,19472.301444,2024-03-05 01:03:00,19497.493736,SL,-12.596145999999862,-1.0,19552.166369,19492.401677
2024-03-06,2024-03-06 01:30:00,LONG,19285.771285,19266.475062,True,19266.475062,19.296222999997553,19305.067507999996,2024-03-06 01:32:00,19266.475062,SL,-19.296222999997553,-1.0,19283.359257,19234.582692
2024-03-07,2024-03-07 02:00:00,SHORT,19222.25455,19264.063034,True,19264.063034,41.80848399999741,19180.446066000004,2024-03-07 02:05:00,19264.063034,SL,-41.80848399999741,-1.0,19326.507757,19223.594565
2024-03-08,2024-03-08 02:00:00,LONG,19649.987502,19609.787036,True,19609.787036,40.200465999998414,19690.187968,2024-03-08 02:01:00,19609.787036,SL,-40.200465999998414,-1.0,19628.547254,19562.350487
2024-03-11,2024-03-11 03:00:00,SHORT,19263.259024,19342.587943,True,19342.587943,79.32891899999959,19183.930105,2024-03-11 04:20:00,19342.587943,SL,-79.32891899999959,-1.0,19355.184089,19268.08308
2024-03-12,2024-03-12 01:00:00,LONG,19377.953525,19375.045192,True,19375.045192,2.908332999999402,19380.861858,2024-03-12 01:01:00,19380.861858,TP,2.908332999999402,1.0,19374.748315,19328.115775
2024-03-13,2024-03-13 02:00:00,LONG,19561.442852,19532.095135,True,19532.095135,29.347717000000557,19590.790569,2024-03-13 03:25:00,19532.095135,SL,-29.347717000000557,-1.0,19552.717855,19506.448932
2024-03-14,2024-03-14 01:00:00,LONG,19445.373955,19436.12017,True,19436.12017,9.25378500000079,19454.62774,2024-03-14 01:02:00,19436.12017,SL,-9.25378500000079,-1.0,19439.028502,19410.738361
2024-03-15,2024-03-15 01:00:00,SHORT,19260.827052,19264.528566,True,19264.528566,3.7015140000003157,19257.125538,2024-03-15 01:15:00,19264.528566,SL,-3.7015140000003157,-1.0,19320.844455,19269.287655
2024-03-18,2024-03-18 01:00:00,LONG,19210.592222,19199.487681,True,19199.487681,11.104541000000609,19221.696763,2024-03-18 01:02:00,19199.487681,SL,-11.104541000000609,-1.0,19186.003595,19102.983928
2024-03-19,2024-03-19 03:30:00,LONG,19276.426289,19204.775558,True,19204.775558,71.6507309999979,19348.077019999997,2024-03-19 06:01:00,19204.775558,SL,-71.6507309999979,-1.0,19258.976295,19196.050561
2024-03-21,2024-03-21 01:00:00,LONG,19688.880684,19677.776142,True,19677.776142,11.104542000000947,19699.985226,2024-03-21 01:05:00,19677.776142,SL,-11.104542000000947,-1.0,19677.776142,19624.104192
2024-03-22,2024-03-22 04:00:00,LONG,19672.223872,19662.176906,True,19662.176906,10.046965999998065,19682.270837999997,2024-03-22 04:20:00,19662.176906,SL,-10.046965999998065,-1.0,19665.878419,19598.986777
2024-03-25,2024-03-25 01:00:00,SHORT,19613.264045,19627.805706,True,19627.805706,14.541660999999294,19598.722384,2024-03-25 03:10:00,19627.805706,SL,-14.541660999999294,-1.0,19672.223872,19624.63298
2024-03-26,2024-03-26 01:30:00,LONG,19625.426161,19609.033743,True,19609.033743,16.392417999999452,19641.818579,2024-03-26 01:55:00,19641.818579,TP,16.392417999999452,1.0,19624.368586,19582.858753
2024-03-28,2024-03-28 02:30:00,LONG,19573.604968,19550.33831,True,19550.33831,23.26665800000046,19596.871626,2024-03-28 03:56:00,19550.33831,SL,-23.26665800000046,-1.0,19570.696636,19538.440587
2024-04-01,2024-04-01 03:00:00,SHORT,19630.714038,19669.844327,True,19669.844327,39.13028900000063,19591.583748999998,2024-04-01 07:06:00,19591.583748999998,TP,39.13028900000063,1.0,19683.592807,19632.036008
2024-04-02,2024-04-02 02:15:00,SHORT,19514.116354,19565.144365,True,19565.144365,51.028010999998514,19463.088343000003,2024-04-02 03:03:00,19565.144365,SL,-51.028010999998514,-1.0,19555.097399,19520.461806
2024-04-03,2024-04-03 01:00:00,SHORT,19339.352024,19339.352024,True,19339.352024,0.0,19339.352024,2024-04-03 01:01:00,19339.352024,TP,0.0,1.0,19388.793672,19344.904294
2024-04-05,2024-04-05 01:45:00,LONG,19166.43845,19152.161183,True,19152.161183,14.277267000001302,19180.715717000003,2024-04-05 01:52:00,19152.161183,SL,-14.277267000001302,-1.0,19163.00133,19092.672568
2024-04-09,2024-04-09 01:15:00,LONG,19375.57398,19366.320196,True,19366.320196,9.25378400000045,19384.827764,2024-04-09 01:17:00,19366.320196,SL,-9.25378400000045,-1.0,19372.13686,19337.765661
2024-04-10,2024-04-10 02:15:00,LONG,19446.960318,19431.625475,True,19431.625475,15.334843000000546,19462.295161000002,2024-04-10 02:24:00,19431.625475,SL,-15.334843000000546,-1.0,19444.845167,19424.222447
2024-04-11,2024-04-11 01:15:00,LONG,19258.976295,19245.756603,True,19245.756603,13.219691999998759,19272.195987,2024-04-11 01:49:00,19245.756603,SL,-13.219691999998759,-1.0,19255.274782,19186.796776
2024-04-12,2024-04-12 01:30:00,LONG,19565.937547,19556.154975,True,19556.154975,9.782572000000073,19575.720119,2024-04-12 01:32:00,19556.154975,SL,-9.782572000000073,-1.0,19565.144365,19536.58983
2024-04-15,2024-04-15 01:00:00,LONG,19308.15355,19293.876283,True,19293.876283,14.277266999997664,19322.430816999997,2024-04-15 01:07:00,19293.876283,SL,-14.277266999997664,-1.0,19306.038399,19239.939939
2024-04-17,2024-04-17 01:00:00,SHORT,18842.555993,18913.942331,True,18913.942331,71.38633799999661,18771.169655000005,2024-04-17 02:51:00,18913.942331,SL,-71.38633799999661,-1.0,18972.902157,18920.287783
2024-04-18,2024-04-18 01:00:00,LONG,18786.504498,18763.23784,True,18763.23784,23.266657999996823,18809.771155999995,2024-04-18 01:03:00,18763.23784,SL,-23.266657999996823,-1.0,18757.685569,18690.793927
2024-04-22,2024-04-22 01:00:00,LONG,18288.386499,18259.56757,True,18259.56757,28.818929000000935,18317.205428,2024-04-22 02:15:00,18259.56757,SL,-28.818929000000935,-1.0,18267.499385,18191.089564
2024-04-23,2024-04-23 01:45:00,LONG,18350.519052,18316.67664,True,18316.67664,33.84241199999815,18384.361463999998,2024-04-23 03:05:00,18384.361463999998,TP,33.84241199999815,1.0,18340.736479,18281.512259
2024-04-25,2024-04-25 01:00:00,SHORT,18433.803112,18437.240232,True,18437.240232,3.4371199999986857,18430.365992000003,2024-04-25 01:01:00,18430.365992000003,TP,3.4371199999986857,1.0,18501.75233,18451.781893
2024-04-26,2024-04-26 01:30:00,LONG,18817.702972,18796.287071,True,18796.287071,21.415901000000304,18839.118873,2024-04-26 01:31:00,18796.287071,SL,-21.415901000000304,-1.0,18810.564338,18763.766628
2024-04-30,2024-04-30 02:00:00,SHORT,18915.528694,18939.324139,True,18939.324139,23.795444999999745,18891.733249,2024-04-30 04:00:00,18891.733249,TP,23.795444999999745,1.0,18952.015044,18927.69081
2024-05-01,2024-05-01 01:30:00,SHORT,18482.187185,18496.464453,True,18496.464453,14.27726800000164,18467.909916999997,2024-05-01 02:06:00,18496.464453,SL,-14.27726800000164,-1.0,18538.503074,18487.739456
2024-05-02,2024-05-02 02:30:00,LONG,18577.104575,18544.848526,True,18544.848526,32.25604899999962,18609.360624,2024-05-02 03:08:00,18609.360624,TP,32.25604899999962,1.0,18572.345486,18502.545511
2024-05-03,2024-05-03 01:15:00,SHORT,18757.949963,18776.457532,True,18776.457532,18.50756900000124,18739.442393999998,2024-05-03 03:01:00,18776.457532,SL,-18.50756900000124,-1.0,18811.093126,18758.743145
2024-05-07,2024-05-07 02:45:00,SHORT,19210.063434,19218.788431,True,19218.788431,8.724997000001167,19201.338437,2024-05-07 03:14:00,19201.338437,TP,8.724997000001167,1.0,19244.434634,19214.822524
2024-05-09,2024-05-09 01:00:00,SHORT,19188.647533,19200.80965,True,19200.80965,12.162116999999853,19176.485416,2024-05-09 02:06:00,19200.80965,SL,-12.162116999999853,-1.0,19223.283127,19193.671016
2024-05-10,2024-05-10 01:45:00,LONG,19304.980824,19281.185378,True,19281.185378,23.795446000000084,19328.77627,2024-05-10 02:03:00,19328.77627,TP,23.795446000000084,1.0,19295.198252,19262.149021
2024-05-13,2024-05-13 01:00:00,LONG,19346.755051,19344.904294,True,19344.904294,1.8507570000001579,19348.605808,2024-05-13 01:01:00,19348.605808,TP,1.8507570000001579,1.0,19340.409599,19288.059618
2024-05-14,2024-05-14 01:30:00,LONG,19343.053537,19335.65051,True,19335.65051,7.403027000000293,19350.456564,2024-05-14 02:23:00,19350.456564,TP,7.403027000000293,1.0,19342.789144,19314.234609
2024-05-15,2024-05-15 02:30:00,SHORT,19453.30577,19465.996674,True,19465.996674,12.690904000002774,19440.614865999996,2024-05-15 02:34:00,19465.996674,SL,-12.690904000002774,-1.0,19499.839086,19459.122434
2024-05-17,2024-05-17 01:15:00,LONG,19742.552634,19739.115514,True,19739.115514,3.4371199999986857,19745.989754,2024-05-17 01:33:00,19745.989754,TP,3.4371199999986857,1.0,19741.759452,19717.964006
2024-05-21,2024-05-21 03:30:00,SHORT,19818.433667,19823.45715,True,19823.45715,5.0234829999972135,19813.410184000004,2024-05-21 03:31:00,19823.45715,SL,-5.0234829999972135,-1.0,19839.585174,19820.02003
2024-05-22,2024-05-22 01:00:00,SHORT,19886.11849,19904.097272,True,19904.097272,17.97878199999832,19868.139708000002,2024-05-22 03:57:00,19868.139708000002,TP,17.97878199999832,1.0,19907.798786,19889.291217
2024-05-24,2024-05-24 02:00:00,SHORT,19766.083686,19783.004892,True,19783.004892,16.921205999999074,19749.162480000003,2024-05-24 02:03:00,19783.004892,SL,-16.921205999999074,-1.0,19809.70867,19768.992018
2024-05-27,2024-05-27 01:15:00,LONG,19963.057099,19945.342711,True,19945.342711,17.714388000000326,19980.771487,2024-05-27 08:31:00,19980.771487,TP,17.714388000000326,1.0,19961.206342,19917.845752
2024-05-28,2024-05-28 01:30:00,LONG,20023.338895,20001.394206,True,20001.394206,21.944688999999926,20045.283584,2024-05-28 02:20:00,20001.394206,SL,-21.944688999999926,-1.0,20021.752532,19972.310883
2024-05-29,2024-05-29 01:00:00,SHORT,19949.308619,19956.711646,True,19956.711646,7.403027000000293,19941.905592,2024-05-29 01:01:00,19941.905592,TP,7.403027000000293,1.0,20038.938132,19960.941948
2024-05-30,2024-05-30 01:30:00,SHORT,19739.908695,19755.507932,True,19755.507932,15.599237000002177,19724.309457999996,2024-05-30 02:04:00,19755.507932,SL,-15.599237000002177,-1.0,19810.501851,19744.667785
2024-06-03,2024-06-03 01:30:00,LONG,19733.563243,19709.503403,True,19709.503403,24.059840000001714,19757.623083000002,2024-06-03 02:21:00,19709.503403,SL,-24.059840000001714,-1.0,19727.482185,19631.50722
