Date,Entry_Time,Direction,Entry_Price,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Risk_R
2023-05-10,2023-05-10 02:30:00,SHORT,14743.217282,2023-05-10 07:00:00,14764.369674,FORCE_CLOSE,-21.152391999999963,49.871203000000605
2023-05-11,2023-05-11 03:00:00,LONG,14977.841841,2023-05-11 07:00:00,14958.081054,FORCE_CLOSE,-19.760786999999254,55.437621999999465
2023-05-15,2023-05-15 01:00:00,LONG,14944.165006,2023-05-15 07:00:00,14956.132807,FORCE_CLOSE,11.96780100000069,83.82635799999844
2023-05-18,2023-05-18 02:15:00,LONG,15202.446847,2023-05-18 07:00:00,15223.599239,FORCE_CLOSE,21.152391999999963,32.336983999999575
2023-05-23,2023-05-23 02:00:00,SHORT,15482.1594,2023-05-23 07:00:00,15433.453234,FORCE_CLOSE,48.70616599999994,82.71307499999966
2023-05-24,2023-05-24 01:00:00,SHORT,15268.965553,2023-05-24 07:00:00,15224.990843,FORCE_CLOSE,43.974710000000414,47.087993999999526
2023-05-30,2023-05-30 02:15:00,LONG,16043.811074,2023-05-30 03:15:00,16120.731161999998,TP,76.92008799999894,38.46004399999947
2023-05-31,2023-05-31 01:00:00,SHORT,15960.036468,2023-05-31 07:00:00,15951.965161,FORCE_CLOSE,8.07130700000016,105.53539300000011
2023-06-02,2023-06-02 01:30:00,LONG,16160.427551,2023-06-02 07:00:00,16193.826065,FORCE_CLOSE,33.39851399999861,49.871203000000605
2023-06-07,2023-06-07 02:00:00,SHORT,16214.978457,2023-06-07 06:45:00,16257.613316,SL,-42.6348590000016,42.6348590000016
2023-06-12,2023-06-12 01:15:00,LONG,16269.710519,2023-06-12 07:00:00,16282.910426,FORCE_CLOSE,13.199907000000167,42.537694000000556
2023-06-13,2023-06-13 01:00:00,LONG,16560.93347,2023-06-13 07:00:00,16521.05875,FORCE_CLOSE,-39.8747199999998,68.54953200000091
2023-06-15,2023-06-15 02:00:00,SHORT,16670.932696,2023-06-15 07:00:00,16613.183102,FORCE_CLOSE,57.7495940000008,75.69948099999965
2023-06-19,2023-06-19 03:30:00,SHORT,16785.881887,2023-06-19 07:00:00,16770.206997,FORCE_CLOSE,15.674889999998413,67.72453800000221
2023-06-21,2023-06-21 01:00:00,SHORT,16762.507052,2023-06-21 07:00:00,16731.157272,FORCE_CLOSE,31.349780000000464,39.94973299999765
2023-06-22,2023-06-22 01:00:00,SHORT,16478.984047,2023-06-22 07:00:00,16496.033927,FORCE_CLOSE,-17.049879999998666,86.69940399999905
2023-06-23,2023-06-23 03:15:00,SHORT,16627.758,2023-06-23 07:00:00,16624.733021,FORCE_CLOSE,3.024979000001622,126.84912099999929
2023-06-26,2023-06-26 01:15:00,SHORT,16580.733331,2023-06-26 07:00:00,16548.283559,FORCE_CLOSE,32.44977199999994,46.54968600000211
2023-06-27,2023-06-27 01:00:00,LONG,16390.709668,2023-06-27 07:00:00,16392.359656,FORCE_CLOSE,1.6499880000010307,43.52470799999901
2023-06-30,2023-06-30 03:00:00,LONG,16667.082723,2023-06-30 07:00:00,16700.632487,FORCE_CLOSE,33.54976399999941,60.02459199999794
2023-07-03,2023-07-03 02:15:00,LONG,16895.881113,2023-07-03 07:00:00,16866.45632,FORCE_CLOSE,-29.424792999998317,34.17477399999916
2023-07-05,2023-07-05 01:00:00,SHORT,16857.93138,2023-07-05 04:30:00,16785.731860000007,TP,72.19951999999466,36.09975999999733
2023-07-07,2023-07-07 01:30:00,SHORT,16735.282243,2023-07-07 07:00:00,16732.257264,FORCE_CLOSE,3.024979000001622,34.17477399999916
2023-07-10,2023-07-10 01:00:00,SHORT,16591.733253,2023-07-10 07:00:00,16712.807415,SL,-121.0741620000008,121.0741620000008
2023-07-12,2023-07-12 02:30:00,LONG,16823.281624,2023-07-12 07:00:00,16845.281469,FORCE_CLOSE,21.999845000002097,45.449693999999
2023-07-13,2023-07-13 04:00:00,LONG,17105.979635,2023-07-13 07:00:00,17117.804552,FORCE_CLOSE,11.824917000001733,95.49934199999916
2023-07-17,2023-07-17 01:30:00,LONG,17261.62854,2023-07-17 07:00:00,17256.128578,FORCE_CLOSE,-5.499962000001688,36.09976100000131
2023-07-18,2023-07-18 02:45:00,LONG,17414.527464,2023-07-18 07:00:00,17404.627533,FORCE_CLOSE,-9.899930999999924,37.47475099999792
2023-07-19,2023-07-19 01:00:00,LONG,17578.42631,2023-07-19 07:00:00,17600.701154,FORCE_CLOSE,22.274843999999575,32.79978299999857
2023-07-20,2023-07-20 03:00:00,SHORT,17418.927433,2023-07-20 07:00:00,17448.627224,FORCE_CLOSE,-29.699790999999095,69.09952799999883
2023-07-21,2023-07-21 01:45:00,LONG,17180.50411,2023-07-21 07:00:00,17244.853658,FORCE_CLOSE,64.34954799999832,72.67450200000167
2023-07-24,2023-07-24 02:15:00,LONG,17137.87941,2023-07-24 07:00:00,17121.654524,FORCE_CLOSE,-16.22488599999997,54.24963200000275
2023-07-25,2023-07-25 01:15:00,LONG,17143.65437,2023-07-25 07:00:00,17178.029128,FORCE_CLOSE,34.37475799999811,41.59972199999902
2023-07-26,2023-07-26 01:30:00,LONG,17228.90377,2023-07-26 05:15:00,17188.404041,SL,-40.499728999999206,40.499728999999206
2023-07-27,2023-07-27 02:00:00,LONG,17302.053255,2023-07-27 07:00:00,17409.577498,FORCE_CLOSE,107.52424299999984,100.99930300000051
2023-07-28,2023-07-28 02:00:00,LONG,17254.753588,2023-07-28 07:00:00,17287.753356,FORCE_CLOSE,32.999768000001495,155.9989170000008
2023-08-01,2023-08-01 01:00:00,SHORT,17436.527309,2023-08-01 06:30:00,17349.477893,TP,87.04941600000166,43.52470800000083
2023-08-02,2023-08-02 01:00:00,SHORT,17274.553449,2023-08-02 07:00:00,17272.628462,FORCE_CLOSE,1.9249869999985094,96.04933800000072
