Date,Direction,Entry_Price,SL,TP1,TP2,Scenario,Outcome,PnL,FVG_High,FVG_Low
2018-12-19,bullish,7523.229682,7561.552266,7516.444714,7499.265754,scenario_c,win,63.84967999999935,7526.405624,7525.82818
2018-12-21,bearish,7264.534752,7235.451272,7281.1362675,7300.336282,scenario_a,win,328.0303100000092,7263.091141,7261.647531
2018-12-21,bearish,7264.534752,7235.451272,7281.1362675,7300.336282,scenario_c,win,162.0151550000046,7263.091141,7261.647531
2018-12-24,bullish,7047.415792,7071.87972,7024.462392,6994.579663,scenario_a,win,455.0679999999884,7054.633843,7049.436846
2018-12-24,bullish,7047.415792,7071.87972,7024.462392,6994.579663,scenario_c,win,225.5339999999942,7054.633843,7049.436846
2018-12-27,bearish,7212.276066,7094.554926,7242.8806,7281.569351,scenario_a,win,608.0906800000012,7204.769293,7204.191849
2018-12-27,bearish,7212.276066,7094.554926,7242.8806,7281.569351,scenario_c,win,302.0453400000006,7204.769293,7204.191849
2018-12-28,bullish,7323.145322,7346.454361,7299.181394,7267.710694,scenario_a,loss,-470.18077999999514,7324.877654,7324.30021
2018-12-28,bullish,7323.145322,7346.454361,7299.181394,7267.710694,scenario_b,loss,-470.18077999999514,7324.877654,7324.30021
2018-12-28,bullish,7323.145322,7346.454361,7299.181394,7267.710694,scenario_c,loss,-470.18077999999514,7324.877654,7324.30021
2019-01-02,bearish,7236.239994,7106.681251,7298.3152279999995,7373.671675,scenario_a,win,1237.5046799999982,7232.197885,7231.909163
2019-01-02,bearish,7236.239994,7106.681251,7298.3152279999995,7373.671675,scenario_c,win,616.7523399999991,7232.197885,7231.909163
2019-01-04,bullish,7195.530189,7252.042261,7138.3632290000005,7096.787258,scenario_a,loss,-1134.2414399999907,7199.572297,7196.685077
2019-01-04,bullish,7195.530189,7252.042261,7138.3632290000005,7096.787258,scenario_b,loss,-1134.2414399999907,7199.572297,7196.685077
