Date;Entry_Time;Entry_Price;Exit_Time;Exit_Price;Exit_Reason;Stop_Loss;Take_Profit;PnL;Risk;Reward;RR_Ratio;Asia_Low;Asia_EQ;FVG_High;FVG_Low
2023-03-02;2023-03-02 02:50:00;13371.358584;2023-03-02 04:00:00;13332.556197;Stop Loss;13332.556197;13409.879793;-38.802386999999726;38.802386999999726;38.521209000000454;0.9927535901335329;13332.556197;13409.879793;13359.267985;13358.986808
2023-03-14;2023-03-14 01:35:00;13456.261216;2023-03-14 01:55:00;13467.661607999999;Take Profit;13424.219806;13467.661607999999;11.400391999997737;32.04141000000163;11.400391999997737;0.35580182020694956;13424.219806;13467.661607999999;13455.426253;13450.416476
2023-03-16;2023-03-16 02:35:00;13824.758152;2023-03-16 02:40:00;13835.334348;Take Profit;13796.369415;13835.334348;10.576195999999982;28.38873700000113;10.576195999999982;0.3725490147729912;13796.369415;13835.334348;13821.974942;13816.965165
2023-03-20;2023-03-20 04:30:00;14091.667941;2023-03-20 04:35:00;14089.719695;Stop Loss;14089.719695;14129.5195905;-1.9482459999999264;1.9482459999999264;37.85164950000035;19.428578064577973;14089.719695;14129.5195905;14084.153276;14081.370066
2023-03-27;2023-03-27 04:00:00;14376.390272;2023-03-27 04:10:00;14369.153927;Stop Loss;14369.153927;14399.35175;-7.236345000001165;7.236345000001165;22.96147799999926;3.1730767397070707;14369.153927;14399.35175;14374.720346;14359.969336
2023-03-28;2023-03-28 02:35:00;14247.527672;2023-03-28 02:40:00;14240.013007;Stop Loss;14240.013007;14259.634634;-7.514665000000605;7.514665000000605;12.10696199999984;1.6111113402924635;14240.013007;14259.634634;14246.69271;14240.84797
2023-03-31;2023-03-31 02:55:00;14578.172959;2023-03-31 03:15:00;14560.91706;Stop Loss;14560.91706;14594.037252999999;-17.255898999999772;17.255898999999772;15.864293999999063;0.9193548246891844;14560.91706;14594.037252999999;14571.493256;14570.936615
2023-04-12;2023-04-12 03:05:00;14561.473702;2023-04-12 03:10:00;14563.421949;Take Profit;14546.722692;14563.421949;1.948247000000265;14.751009999999951;1.948247000000265;0.1320754985591001;14546.722692;14563.421949;14552.567432;14550.619185
2023-04-14;2023-04-14 02:10:00;14693.676153;2023-04-14 02:15:00;14694.2327945;Take Profit;14676.141933;14694.2327945;0.5566414999993867;17.53421999999955;0.5566414999993867;0.03174600866188522;14676.141933;14694.2327945;14691.449585;14688.666376
2023-04-20;2023-04-20 01:40:00;14617.694534;2023-04-20 02:00:00;14609.066585;Stop Loss;14609.066585;14626.183323000001;-8.627948999999717;8.627948999999717;8.488789000000907;0.983871021954486;14609.066585;14626.183323000001;14615.467966;14612.684757
2023-04-21;2023-04-21 03:50:00;14567.040121;2023-04-21 04:10:00;14557.85553;Stop Loss;14557.85553;14575.2505895;-9.184590999999273;9.184590999999273;8.210468499999479;0.8939394797220833;14557.85553;14575.2505895;14566.205158;14561.195381
2023-04-25;2023-04-25 01:25:00;14489.110256;2023-04-25 02:00:00;14485.213762;Stop Loss;14485.213762;14512.071734000001;-3.89649400000053;3.89649400000053;22.96147800000108;5.892855987972253;14485.213762;14512.071734000001;14486.605367;14485.213762
2023-04-26;2023-04-26 02:55:00;14435.950955;2023-04-26 03:05:00;14417.581772;Stop Loss;14417.581772;14443.187299000001;-18.369183000000703;18.369183000000703;7.236344000000827;0.3939393493984218;14417.581772;14443.187299000001;14430.384536;14429.549573
2023-04-28;2023-04-28 02:45:00;14696.181041;2023-04-28 02:50:00;14706.2005955;Take Profit;14683.099957;14706.2005955;10.019554500000595;13.081083999999464;10.019554500000595;0.765957507802947;14683.099957;14706.2005955;14693.954474;14689.501339
2023-05-17;2023-05-17 01:30:00;15037.124203;2023-05-17 01:45:00;15037.959166;Take Profit;15020.981588;15037.959166;0.834963000001153;16.14261499999884;0.834963000001153;0.05172414754370422;15020.981588;15037.959166;15035.454278;15034.340994
2023-05-19;2023-05-19 03:30:00;15500.806903;2023-05-19 03:55:00;15508.321569;Take Profit;15490.787349;15508.321569;7.514665999999124;10.019554000000426;7.514665999999124;0.7500000499023015;15490.787349;15508.321569;15496.91041;15494.683843
2023-05-23;2023-05-23 01:30:00;15505.53836;2023-05-23 02:00:00;15488.282461;Stop Loss;15488.282461;15525.577468;-17.255898999999772;17.255898999999772;20.039107999999032;1.1612902926703093;15488.282461;15525.577468;15505.260039;15504.146755
2023-06-07;2023-06-07 05:15:00;16223.049765;2023-06-07 05:50:00;16237.244133;Take Profit;16218.87495;16237.244133;14.194368000000395;4.174815000000308;14.194368000000395;3.399999281405128;16218.87495;16237.244133;16221.936481;16220.823197
2023-06-09;2023-06-09 01:55:00;16140.388443;2023-06-09 02:00:00;16141.640887;Take Profit;16123.689186;16141.640887;1.2524439999997412;16.699257000000216;1.2524439999997412;0.074999983532185;16123.689186;16141.640887;16138.440196;16136.770271
2023-06-14;2023-06-14 01:30:00;16605.483156;2023-06-14 01:40:00;16599.433199;Stop Loss;16599.433199;16614.8330905;-6.049956999999267;6.049956999999267;9.349934500001837;1.5454547032322659;16599.433199;16614.8330905;16604.383164;16601.358185
2023-06-15;2023-06-15 02:25:00;16685.782591;2023-06-15 02:35:00;16682.482615;Stop Loss;16682.482615;16713.557396;-3.2999759999984235;3.2999759999984235;27.774805000000924;8.416668787898516;16682.482615;16713.557396;16685.507593;16680.557628
2023-06-19;2023-06-19 04:30:00;16801.556777;2023-06-19 05:00:00;16788.906866;Stop Loss;16788.906866;16820.2566455;-12.64991100000043;12.64991100000043;18.699868499999866;1.478260874720718;16788.906866;16820.2566455;16799.906788;16799.63179
2023-06-28;2023-06-28 05:05:00;16549.933547;2023-06-28 05:25:00;16557.770991999998;Take Profit;16540.033617;16557.770991999998;7.837444999997388;9.899929999999586;7.837444999997388;0.7916667087542756;16540.033617;16557.770991999998;16549.658549;16544.983582
2023-06-29;2023-06-29 03:00:00;16663.23275;2023-06-29 03:10:00;16678.6326415;Take Profit;16655.807802;16678.6326415;15.399891500001104;7.424947999999858;15.399891500001104;2.074073986780971;16655.807802;16678.6326415;16659.107779;16658.282785
2023-07-06;2023-07-06 03:45:00;16831.531566;2023-07-06 04:00:00;16819.981647;Stop Loss;16819.981647;16861.231357;-11.549919000000955;11.549919000000955;29.699790999999095;2.5714285095849276;16819.981647;16861.231357;16824.381616;16818.881655
2023-07-20;2023-07-20 02:15:00;17440.65228;2023-07-20 02:25:00;17426.35238;Stop Loss;17426.35238;17456.1896705;-14.29989999999816;14.29989999999816;15.537390500001493;1.0865384023666942;17426.35238;17456.1896705;17440.102284;17437.902299
2023-08-18;2023-08-18 03:00:00;16237.260747;2023-08-18 03:25:00;16215.810898;Stop Loss;16215.810898;16242.898207499999;-21.44984900000054;21.44984900000054;5.637460499998269;0.26282052148703366;16215.810898;16242.898207499999;16220.485865;16216.360894
2023-08-25;2023-08-25 02:05:00;16322.785146;2023-08-25 02:15:00;16335.9850525;Take Profit;16309.035242;16335.9850525;13.199906499999997;13.749904000000242;13.199906499999997;0.959999902544757;16309.035242;16335.9850525;16319.210171;16301.610295
2023-08-31;2023-08-31 01:15:00;17052.355012;2023-08-31 01:20:00;17051.25502;Stop Loss;17051.25502;17068.167401;-1.0999919999994745;1.0999919999994745;15.812388999998802;14.375003636395862;17051.25502;17068.167401;17050.430026;17047.405047
2023-09-01;2023-09-01 02:25:00;17089.754749;2023-09-01 02:30:00;17097.867192;Take Profit;17080.404815;17097.867192;8.112443000001804;9.34993399999803;8.112443000001804;0.8676470871348946;17080.404815;17097.867192;17088.929755;17086.179774
2023-09-05;2023-09-05 02:20:00;17043.280076;2023-09-05 02:25:00;17036.680122;Stop Loss;17036.680122;17061.292449;-6.599953999997524;6.599953999997524;18.01237300000139;2.729166445706765;17036.680122;17061.292449;17041.080091;17032.830149
2023-09-12;2023-09-12 05:10:00;16987.996671;2023-09-12 05:15:00;16987.72515;Stop Loss;16987.72515;17005.781311;-0.27152100000239443;0.27152100000239443;17.784639999998035;65.50005340228269;16987.72515;17005.781311;16987.72515;16985.281459
2023-09-21;2023-09-21 03:00:00;16397.438017;2023-09-21 03:15:00;16378.16001;Stop Loss;16378.16001;16407.8915835;-19.278007000000798;19.278007000000798;10.453566500000306;0.5422534860579661;16378.16001;16407.8915835;16396.351932;16394.722805
2023-09-26;2023-09-26 03:10:00;16147.910015;2023-09-26 03:40:00;16130.804178;Stop Loss;16130.804178;16180.4925615;-17.105836999999156;17.105836999999156;32.58254649999981;1.9047618950187246;16130.804178;16180.4925615;16134.062433;16133.790912
2023-09-28;2023-09-28 01:35:00;16033.871103;2023-09-28 01:40:00;16034.414144999999;Take Profit;16001.288556;16034.414144999999;0.5430419999993319;32.58254699999998;0.5430419999993319;0.016666652855571184;16001.288556;16034.414144999999;16033.599582;16031.698933
2023-10-04;2023-10-04 02:40:00;15909.242863;2023-10-04 02:55:00;15900.282662;Stop Loss;15900.282662;15950.649848500001;-8.96020099999987;8.96020099999987;41.40698550000161;4.6212116781757695;15900.282662;15950.649848500001;15903.269396;15893.494632
2023-10-05;2023-10-05 03:00:00;16187.823635;2023-10-05 03:30:00;16200.992414;Take Profit;16169.903234;16200.992414;13.168778999999631;17.92040100000122;13.168778999999631;0.7348484556790182;16169.903234;16200.992414;16176.419743;16166.101937
2023-10-09;2023-10-09 02:25:00;16288.829529;2023-10-09 02:30:00;16297.110926000001;Take Profit;16268.193916;16297.110926000001;8.281397000000652;20.635613000000376;8.281397000000652;0.40131577385176304;16268.193916;16297.110926000001;16283.670625;16282.313019
2023-10-17;2023-10-17 02:00:00;16594.01938;2023-10-17 02:05:00;16595.2412255;Take Profit;16576.642022;16595.2412255;1.2218455000001995;17.37735800000155;1.2218455000001995;0.07031250089916376;16576.642022;16595.2412255;16587.23135;16579.900277
2023-10-18;2023-10-18 02:40:00;16508.218675;2023-10-18 03:05:00;16492.741965;Stop Loss;16492.741965;16518.4007205;-15.476709999999002;15.476709999999002;10.18204550000155;0.6578947011349444;16492.741965;16518.4007205;16506.589547;16506.046505
2023-10-19;2023-10-19 01:40:00;16295.88908;2023-10-19 02:15:00;16312.316114500001;Take Profit;16270.637607;16312.316114500001;16.427034500000445;25.25147300000026;16.427034500000445;0.650537673584439;16270.637607;16312.316114500001;16295.074517;16294.531474
2023-10-20;2023-10-20 01:45:00;16097.950111;2023-10-20 01:50:00;16093.062729;Stop Loss;16093.062729;16114.1056235;-4.887382000000798;4.887382000000798;16.15551249999953;3.30555551008636;16093.062729;16114.1056235;16095.777941;16092.519686
2023-11-01;2023-11-01 04:05:00;15692.025886;2023-11-01 04:15:00;15681.70808;Stop Loss;15681.70808;15702.207932000001;-10.31780599999911;10.31780599999911;10.18204600000172;0.9868421639254119;15681.70808;15702.207932000001;15688.767632;15687.410026
2023-11-03;2023-11-03 03:40:00;16238.05506;2023-11-03 03:45:00;16238.869623999999;Take Profit;16223.121393;16238.869623999999;0.8145639999984269;14.93366700000115;0.8145639999984269;0.054545477677945015;16223.121393;16238.869623999999;16237.512018;16236.425933
2023-11-07;2023-11-07 02:05:00;16507.947153;2023-11-07 02:10:00;16507.404111;Stop Loss;16507.404111;16520.437129500002;-0.5430420000011509;0.5430420000011509;12.489976500000921;23.00001933547396;16507.404111;16520.437129500002;16505.774984;16504.417378
2023-11-28;2023-11-28 04:40:00;17377.08658;2023-11-28 04:45:00;17377.629622;Take Profit;17362.695955;17377.629622;0.5430420000011509;14.390625;0.5430420000011509;0.03773581758965652;17362.695955;17377.629622;17375.457452;17372.74224
2023-12-04;2023-12-04 02:25:00;17348.576852;2023-12-04 02:30:00;17355.2291215;Take Profit;17340.974257;17355.2291215;6.652269500002149;7.602594999996654;6.652269500002149;0.8749998520248778;17340.974257;17355.2291215;17339.616651;17338.802088
