date,type,entry_price,stop_loss,risk,tokyo_high,tokyo_low,tokyo_eq,sweep_extreme,tokyo_reference,sweep_depth,entry_datetime,outcome,profit_points
2024-06-20,short,21198.939862,21202.321206,3.3813440000012633,21203.636879,21120.656255,21162.146567000003,21262.871475,21203.636879,59.23459599999842,2024-06-20 01:40:00,loss,-3.3813440000012633
2024-06-21,short,20956.521625,20959.90297,3.381344999997964,20950.258937,20909.551461,20929.905199,20965.393768,20950.258937,15.134831000003032,2024-06-21 01:40:00,loss,-3.381344999997964
2024-06-24,short,20864.407914,20875.878565,11.470650999999634,20895.199467,20790.560378,20842.879922499997,20906.942008,20895.199467,11.742541000003257,2024-06-24 01:50:00,loss,-11.470650999999634
2024-06-25,short,20653.303121,20654.335957,1.0328359999984968,20668.959842,20607.115792,20638.037817,20685.660345,20668.959842,16.700503000000026,2024-06-25 01:20:00,loss,-1.0328359999984968
2024-06-27,short,20822.917603,20824.472329,1.5547259999984817,20817.43775,20744.37305,20780.9054,20847.707412,20817.43775,30.26966199999879,2024-06-27 01:45:00,loss,-1.5547259999984817
2024-07-01,short,20846.66363,20861.265625,14.601995000000898,20880.847472,20804.129537,20842.4885045,20897.287029,20880.847472,16.439556999997876,2024-07-01 02:25:00,win,14.601995000000898
2024-07-02,long,20834.660144,20828.408401,6.251743000000715,20903.027827,20835.703925,20869.365876000003,20806.478045,20835.703925,29.22588000000178,2024-07-02 03:05:00,loss,-6.251743000000715
2024-07-03,short,21125.614217,21129.517452,3.9032350000015867,21139.705266,21117.263965,21128.484615499998,21171.801545,21139.705266,32.096278999997594,2024-07-03 02:05:00,loss,-3.9032350000015867
2024-07-04,long,21299.925715,21294.978699,4.947016000001895,21311.146366,21290.009792,21300.578079,21289.748846,21290.009792,0.26094600000214996,2024-07-04 02:55:00,loss,-4.947016000001895
2024-07-05,short,21332.543885,21348.711552,16.16766700000153,21321.323235,21283.747103,21302.535169000002,21356.028967,21321.323235,34.705731999998534,2024-07-05 02:20:00,loss,-16.16766700000153
2024-07-10,long,21633.152936,21630.554428,2.5985079999991285,21624.280794,21603.405166,21613.84298,21603.14422,21603.405166,0.26094600000214996,2024-07-10 03:50:00,win,2.5985079999991285
2024-07-11,short,21791.546768,21794.145276,2.5985079999991285,21799.114183,21766.235068,21782.674625500003,21806.420653,21799.114183,7.3064699999995355,2024-07-11 02:10:00,win,2.5985079999991285
2024-07-12,long,21328.368759,21324.204579,4.16417999999976,21344.808317,21279.571978,21312.190147499998,21272.787398,21279.571978,6.784579999999551,2024-07-12 01:30:00,loss,-4.16417999999976
2024-07-16,long,21492.764334,21487.034482,5.729852000000392,21559.3054,21521.729269,21540.5173345,21441.097154,21521.729269,80.63211500000034,2024-07-16 02:30:00,loss,-5.729852000000392
2024-07-17,long,21234.167485,21219.304545,14.862940000002709,21480.238957,21415.002618,21447.6207875,21197.37419,21415.002618,217.62842799999999,2024-07-17 03:55:00,loss,-14.862940000002709
2024-07-18,short,20990.705467,21014.179604,23.474137000001065,20959.131079,20901.723101,20930.427089999997,21045.243047,20959.131079,86.11196800000107,2024-07-18 02:10:00,win,23.474137000001065
2024-07-19,short,20779.078783,20796.029286,16.950503000000026,20839.096215,20808.043717,20823.569966000003,20854.491991,20839.096215,15.395775999997568,2024-07-19 01:55:00,win,16.950503000000026
2024-07-22,short,20645.735705,20665.817552,20.08184700000129,20691.923033,20582.065038,20636.9940355,20709.667318,20691.923033,17.744285000000673,2024-07-22 02:15:00,win,20.08184700000129
2024-07-23,long,20807.260881,20805.184264,2.076616999998805,20843.010395,20783.253908,20813.1321515,20738.110362,20783.253908,45.14354599999933,2024-07-23 01:50:00,loss,-2.076616999998805
2024-07-24,long,20603.201612,20586.251109,16.950503000000026,20706.796919,20584.674492,20645.7357055,20545.010797,20584.674492,39.66369499999928,2024-07-24 02:15:00,loss,-16.950503000000026
2024-07-25,long,20085.746969,20058.619597,27.127371999999013,20148.6348,20057.303925,20102.9693625,19896.561585,20057.303925,160.7423400000007,2024-07-25 01:25:00,win,27.127371999999013
2024-07-26,short,19913.523033,19920.818558,7.295524999997724,19944.05364,19851.418038,19897.735839,20062.783778,19944.05364,118.73013800000263,2024-07-26 01:25:00,loss,-7.295524999997724
2024-07-29,short,20140.806439,20146.275346,5.46890699999858,20176.295008,20080.789007,20128.5420075,20181.25297,20176.295008,4.957962000000407,2024-07-29 01:45:00,loss,-5.46890699999858
2024-07-30,short,20056.782034,20062.772832,5.990797999998904,20022.859138,19911.174525,19967.016831499997,20100.620854,20022.859138,77.76171600000089,2024-07-30 03:20:00,win,5.990797999998904
2024-07-31,short,20025.729537,20045.028548,19.299010999999155,19986.326788,19848.025749,19917.1762685,20089.661149,19986.326788,103.33436100000108,2024-07-31 03:05:00,loss,-19.299010999999155
2024-08-01,long,20517.87248,20493.876453,23.99602700000105,20580.238421,20477.686895,20528.962657999997,20358.695812,20477.686895,118.99108299999716,2024-08-01 02:15:00,loss,-23.99602700000105
2024-08-02,long,19545.068189,19528.900522,16.16766700000153,19762.957562,19504.099768,19633.528664999998,19457.390549,19504.099768,46.7092190000003,2024-08-02 02:35:00,win,16.16766700000153
2024-08-05,long,18405.519815,18371.346918,34.172897000000376,19074.06182,18671.162188,18872.612004,18226.250355,18671.162188,444.9118329999983,2024-08-05 01:40:00,loss,-34.172897000000376
2024-08-06,long,19146.604629,19131.219798,15.384831000003032,19244.198192,19026.047874,19135.123033,18920.62595,19026.047874,105.4219239999984,2024-08-06 01:30:00,loss,-15.384831000003032
2024-08-12,short,19443.038555,19448.507462,5.468907000002218,19484.267921,19396.06839,19440.1681555,19509.05773,19484.267921,24.789809000001696,2024-08-12 01:15:00,win,5.468907000002218
2024-08-13,short,19605.868457,19607.162239,1.2937820000006468,19515.581364,19452.954478,19484.267921,19641.096081,19515.581364,125.5147169999982,2024-08-13 02:35:00,win,1.2937820000006468
2024-08-14,long,19963.885487,19956.068072,7.817415000001347,19991.80664,19917.176268,19954.491454,19898.127257,19917.176268,19.049010999999155,2024-08-14 01:30:00,loss,-7.817415000001347
2024-08-16,short,20498.562524,20502.465759,3.9032349999979488,20504.564267,20433.065239,20468.814753,20544.749852,20504.564267,40.185584999999264,2024-08-16 03:00:00,loss,-3.9032349999979488
2024-08-19,long,20436.457529,20433.598075,2.8594539999976405,20549.968759,20450.287633,20500.128195999998,20380.093332,20450.287633,70.19430099999954,2024-08-19 01:45:00,loss,-2.8594539999976405
2024-08-20,short,20783.514854,20790.549433,7.034578999999212,20786.385253,20713.842443,20750.113848,20803.607646,20786.385253,17.22239300000001,2024-08-20 02:50:00,win,7.034578999999212
2024-08-23,short,20540.313781,20551.523486,11.209704999997484,20553.361049,20491.777945,20522.569497,20576.32424,20553.361049,22.963191000002553,2024-08-23 01:45:00,loss,-11.209704999997484
2024-08-26,short,20655.390683,20656.162574,0.7718910000003234,20700.273285,20615.726989,20658.000137,20715.14717,20700.273285,14.873885000000882,2024-08-26 01:40:00,win,0.7718910000003234
2024-08-28,short,20492.821726,20503.770486,10.948760000002949,20495.43118,20436.196584,20465.813882000002,20553.100103,20495.43118,57.66892300000109,2024-08-28 02:30:00,loss,-10.948760000002949
2024-08-29,short,20218.30721,20226.385571,8.078360999999859,20143.154948,20031.73128,20087.443114,20276.75897,20143.154948,133.60402199999953,2024-08-29 02:55:00,loss,-8.078360999999859
2024-09-02,long,20390.792091,20387.149802,3.642288999999437,20487.080928,20421.844589,20454.462758499998,20365.219446,20421.844589,56.62514300000112,2024-09-02 02:55:00,win,3.642288999999437
2024-09-03,short,20401.229906,20402.262742,1.0328359999984968,20466.988136,20368.350791,20417.669463500002,20504.825212,20466.988136,37.8370759999998,2024-09-03 01:25:00,loss,-1.0328359999984968
2024-09-05,long,19793.488169,19765.838907,27.649261999999,19838.109825,19723.032923,19780.571374,19714.682671,19723.032923,8.350252000000182,2024-09-05 02:10:00,win,27.649261999999
2024-09-06,long,19600.388605,19595.441588,4.947016999998596,19743.647606,19613.696818,19678.672211999998,19526.802014,19613.696818,86.89480399999957,2024-09-06 03:05:00,loss,-4.947016999998596
2024-09-09,short,19408.593767,19412.497002,3.9032350000015867,19398.155953,19249.93899,19324.047471500002,19436.775866,19398.155953,38.61991299999863,2024-09-09 03:25:00,loss,-3.9032350000015867
