entry_time,entry_price,direction,stop_loss,take_profit,session,fvg_created_at,entry_index,outcome,exit_time,exit_price,pnl
2020-03-26 01:05:00,8438.950993,SHORT,8449.505744,8428.396242,London,2020-03-26 01:00:00,780629,Win,2020-03-26 01:07:00,8428.396242,10.55475099999967
2020-03-26 08:34:00,8639.491255,LONG,8618.381753,8660.600757000002,New York,2020-03-26 08:33:00,781078,Win,2020-03-26 08:35:00,8660.600757000002,21.109502000001157
2020-03-27 01:10:00,8873.977876,SHORT,8891.093688,8856.862064,London,2020-03-27 01:04:00,781999,Win,2020-03-27 01:16:00,8856.862064,17.115812000000005
2020-03-27 08:50:00,8695.973433,LONG,8674.008142,8717.938723999998,New York,2020-03-27 08:43:00,782459,Loss,2020-03-27 08:54:00,8674.008142,-21.965290999998615
2020-03-30 01:10:00,8726.496631,LONG,8708.810292,8744.18297,London,2020-03-30 01:07:00,783364,Loss,2020-03-30 01:13:00,8708.810292,-17.68633899999986
2020-03-30 08:37:00,8745.03876,SHORT,8772.994586,8717.082933999998,New York,2020-03-30 08:32:00,783811,Win,2020-03-30 08:43:00,8717.082933999998,27.955826000001252
2020-03-31 01:11:00,8948.146393,LONG,8945.293758,8950.999028000002,London,2020-03-31 01:05:00,784730,Loss,2020-03-31 01:12:00,8945.293758,-2.8526350000011007
2020-03-31 08:34:00,8949.002184,LONG,8928.748473,8969.255895000002,New York,2020-03-31 08:31:00,785173,Win,2020-03-31 08:41:00,8969.255895000002,20.253711000001204
2020-04-02 01:14:00,10468.852828,SHORT,10471.418025,10466.287630999997,London,2020-04-02 01:12:00,786098,Win,2020-04-02 01:16:00,10466.287630999997,2.5651970000017172
2020-04-02 08:31:00,10538.968205,SHORT,10561.19991,10516.736499999999,New York,2020-04-02 08:30:00,786535,Loss,2020-04-02 08:46:00,10561.19991,-22.231705000000147
2020-04-03 01:05:00,9936.431998,SHORT,9941.847413,9931.016583,London,2020-04-03 01:04:00,787454,Loss,2020-04-03 01:07:00,9941.847413,-5.415414999999484
2020-04-03 08:35:00,9944.982654,SHORT,9991.726238,9898.23907,New York,2020-04-03 08:31:00,787904,Win,2020-04-03 08:54:00,9898.23907,46.74358399999983
2020-04-05 01:06:00,9855.854944,LONG,9845.870721,9865.839167000002,London,2020-04-05 01:02:00,788820,Win,2020-04-05 01:09:00,9865.839167000002,9.984223000001293
2020-04-05 09:10:00,9968.819302,SHORT,9976.521417,9961.117187,New York,2020-04-05 09:04:00,789304,Loss,2020-04-05 09:12:00,9976.521417,-7.702115000000049
2020-04-06 01:24:00,11033.708058,SHORT,11036.560693,11030.855423,London,2020-04-06 01:22:00,790203,Loss,2020-04-06 01:25:00,11036.560693,-2.8526349999992817
2020-04-06 08:59:00,11095.610244,SHORT,11112.726055,11078.494433,New York,2020-04-06 08:51:00,790658,Win,2020-04-06 09:05:00,11078.494433,17.115810999999667
2020-04-08 01:13:00,12625.567392,LONG,12620.139989,12630.994795000002,London,2020-04-08 01:06:00,791557,Win,2020-04-08 01:14:00,12630.994795000002,5.4274030000015046
2020-04-08 08:38:00,12582.433822,SHORT,12595.57385,12569.293794000001,New York,2020-04-08 08:31:00,792002,Loss,2020-04-08 08:39:00,12595.57385,-13.140027999999802
2020-04-09 01:04:00,13343.412838,LONG,13325.702365,13361.123311000001,London,2020-04-09 01:02:00,792913,Loss,2020-04-09 01:22:00,13325.702365,-17.710473000001002
2020-04-09 08:40:00,13451.38959,SHORT,13484.23966,13418.539520000002,New York,2020-04-09 08:33:00,793369,Win,2020-04-09 08:41:00,13418.539520000002,32.850069999998595
2020-04-11 01:02:00,13152.681325,SHORT,13165.264066,13140.098584,London,2020-04-11 01:01:00,794276,Win,2020-04-11 01:04:00,13140.098584,12.58274100000017
2020-04-11 08:35:00,13302.530324,SHORT,13346.855887,13258.204760999999,New York,2020-04-11 08:32:00,794729,Win,2020-04-11 08:37:00,13258.204760999999,44.32556300000033
