Date;Year;FVG_Type;Entry_Price;Body_Size;SL_Level;SL_Distance;SL_Price;RR_Ratio;TP_Distance;TP_Price;Result
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;100%;39.17672400000083;21176.05078;3.0;117.5301720000025;21019.343883999998;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;100%;39.17672400000083;21176.05078;3.5;137.1185340000029;20999.755522;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;100%;39.17672400000083;21176.05078;4.0;156.70689600000333;20980.167159999997;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;100%;39.17672400000083;21176.05078;4.5;176.29525800000374;20960.578797999995;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;100%;39.17672400000083;21176.05078;5.0;195.88362000000416;20940.990435999996;SL
2025-03-06;2025;Bearish;20883.771793;30.928992999997718;50%;15.464496499998859;20899.236289499997;1.0;15.464496499998859;20868.307296500003;SL
2025-03-06;2025;Bearish;20883.771793;30.928992999997718;50%;15.464496499998859;20899.236289499997;1.5;23.196744749998288;20860.57504825;SL
2025-03-06;2025;Bearish;20883.771793;30.928992999997718;50%;15.464496499998859;20899.236289499997;2.0;30.928992999997718;20852.842800000002;SL
2025-03-06;2025;Bearish;20883.771793;30.928992999997718;50%;15.464496499998859;20899.236289499997;2.5;38.66124124999715;20845.110551750004;SL
2025-03-06;2025;Bearish;20883.771793;30.928992999997718;50%;15.464496499998859;20899.236289499997;3.0;46.393489499996576;20837.3783035;SL
2025-03-06;2025;Bearish;20883.771793;30.928992999997718;50%;15.464496499998859;20899.236289499997;3.5;54.125737749996006;20829.646055250003;SL
2025-03-06;2025;Bearish;20883.771793;30.928992999997718;50%;15.464496499998859;20899.236289499997;4.0;61.857985999995435;20821.913807000004;SL
2025-03-06;2025;Bearish;20883.771793;30.928992999997718;50%;15.464496499998859;20899.236289499997;4.5;69.59023424999486;20814.181558750006;SL
2025-03-06;2025;Bearish;20883.771793;30.928992999997718;50%;15.464496499998859;20899.236289499997;5.0;77.3224824999943;20806.449310500007;SL
2025-03-06;2025;Bearish;20883.771793;30.928992999997718;75%;23.196744749998288;20906.96853775;1.0;23.196744749998288;20860.57504825;SL
