direction,entry_datetime,entry_price,stop_loss,risk,fvg_type,fvg_top,fvg_bottom,tp_1,tp_1.5,tp_2,tp_2.5,exit_price,exit_datetime,exit_reason,pnl,rr_hit
LONG,2023-03-21 09:55:00,14174.329263,14161.248178,13.081084999999803,bearish,14166.257956,14161.248178,14187.410348,14193.9508905,14200.491433,14207.031975499998,14193.9508905,2023-03-21 10:05:00,TP_1.5,19.621627500000614,1.5
LONG,2023-03-21 10:10:00,14215.520763,14153.455192,62.065571000001,bearish,14165.422993,14165.144672,14277.586334000001,14308.619119500003,14339.651905000002,14370.684690500002,14153.455192,2023-03-21 10:45:00,STOP_LOSS,-62.065571000001,0.0
LONG,2023-03-21 10:50:00,14184.905459,14152.620229,32.2852299999995,bearish,14172.937658,14168.762844,14217.190689,14233.333304,14249.475918999999,14265.618533999997,14217.190689,2023-03-21 11:25:00,TP_1,32.2852299999995,1.0
LONG,2023-03-21 11:30:00,14225.540318,14152.620229,72.92008899999928,bearish,13996.203856,13969.485045,14298.460406999999,14334.920451499998,14371.380495999998,14407.840540499998,14298.460406999999,2023-03-21 13:55:00,TP_1,72.92008899999928,1.0
LONG,2023-03-21 14:00:00,14305.41843,14229.715132,75.70329800000036,bearish,14188.24531,14182.400571,14381.121728,14418.973377,14456.825026,14494.676675,14381.121728,2023-03-22 09:25:00,TP_1,75.70329800000036,1.0
LONG,2023-03-22 09:40:00,14385.296542,14306.531714,78.7648279999994,bearish,14097.512681,14090.832978,14464.06137,14503.443784,14542.826197999999,14582.208611999999,14464.06137,2023-03-22 13:00:00,TP_1,78.7648279999994,1.0
LONG,2023-03-22 13:15:00,14454.598458,14329.632352,124.96610599999985,bearish,14177.112473,14172.102695,14579.564564,14642.047617,14704.53067,14767.013723,14329.632352,2023-03-22 14:00:00,STOP_LOSS,-124.96610599999985,0.0
LONG,2023-03-22 14:10:00,14350.506423,14271.463274,79.043149000001,bearish,14063.557526,14053.537971,14429.549572000002,14469.071146500002,14508.592721000003,14548.114295500003,14429.549572000002,2023-03-22 14:20:00,TP_1,79.043149000001,1.0
LONG,2023-03-22 14:25:00,14417.860093,14271.463274,146.3968189999996,bearish,14181.287287,14174.050942,14564.256911999999,14637.455321499998,14710.653730999999,14783.8521405,14271.463274,2023-03-22 14:45:00,STOP_LOSS,-146.3968189999996,0.0
SHORT,2023-03-22 14:50:00,14201.604716,14563.978591,362.3738749999993,bullish,14276.473051,14275.916409,13839.230841,13658.043903500002,13476.856966000001,13295.6700285,14563.978591,2023-03-30 09:00:00,STOP_LOSS,-362.3738749999993,0.0
LONG,2023-03-30 09:15:00,14528.910151,14504.139587,24.770564000000377,bearish,14301.800257,14301.243616,14553.680715,14566.065997000002,14578.451279,14590.836561,14553.680715,2023-03-30 09:20:00,TP_1,24.770564000000377,1.0
LONG,2023-03-30 09:25:00,14576.503034,14504.139587,72.36344699999972,bearish,14293.72895,14288.997494,14648.866481,14685.048204499999,14721.229927999999,14757.411651499999,14504.139587,2023-03-30 12:35:00,STOP_LOSS,-72.36344699999972,0.0
LONG,2023-03-30 12:40:00,14500.521415,14496.624921,3.896493999998711,bearish,14299.852011,14294.563913,14504.417908999998,14506.366155999996,14508.314402999997,14510.262649999997,14496.624921,2023-03-30 12:45:00,STOP_LOSS,-3.896493999998711,0.0
LONG,2023-03-30 12:50:00,14505.809513,14485.213762,20.595751000000746,bearish,14213.572517,14212.737554,14526.405264,14536.703139500001,14547.001015000002,14557.298890500002,14526.405264,2023-03-30 13:15:00,TP_1,20.595751000000746,1.0
LONG,2023-03-30 13:20:00,14536.146496,14485.213762,50.93273399999998,bearish,14206.614493,14204.666246,14587.07923,14612.545597,14638.011964,14663.478330999998,14587.07923,2023-03-30 19:00:00,TP_1,50.93273399999998,1.0
LONG,2023-03-30 19:05:00,14598.768709,14553.402395,45.366314000000784,bearish,14213.294196,14208.56274,14644.135023,14666.818180000002,14689.501337000002,14712.184494000001,14553.402395,2023-03-31 05:10:00,STOP_LOSS,-45.366314000000784,0.0
LONG,2023-03-31 05:15:00,14554.515679,14550.619185,3.89649400000053,bearish,14304.026825,14302.63522,14558.412173,14560.36042,14562.308667000001,14564.256914000001,14560.36042,2023-03-31 05:30:00,TP_1.5,5.844741000000795,1.5
SHORT,2023-03-31 05:35:00,14555.628962,14579.564564,23.935601999999562,bullish,14574.554787,14574.276466,14531.693360000001,14519.725559000002,14507.757758000002,14495.789957,14579.564564,2023-03-31 07:30:00,STOP_LOSS,-23.935601999999562,0.0
LONG,2023-03-31 07:50:00,14580.677848,14536.703138,43.974709999998595,bearish,14294.007271,14291.780703,14624.652557999998,14646.639912999997,14668.627267999997,14690.614622999996,14624.652557999998,2023-03-31 08:40:00,TP_1,43.974709999998595,1.0
LONG,2023-03-31 08:45:00,14637.177,14536.703138,100.47386199999892,bearish,14471.297715,14468.792826,14737.650861999999,14787.887792999998,14838.124723999998,14888.361654999997,14737.650861999999,2023-03-31 11:30:00,TP_1,100.47386199999892,1.0
LONG,2023-03-31 11:40:00,14732.084444,14659.720997,72.36344699999972,bearish,14467.679543,14464.618012,14804.447891,14840.6296145,14876.811338,14912.9930615,14804.447891,2023-03-31 14:25:00,TP_1,72.36344699999972,1.0
LONG,2023-03-31 14:45:00,14768.266167,14722.06489,46.20127700000012,bearish,14479.090702,14477.420776,14814.467444,14837.5680825,14860.668721,14883.7693595,14814.467444,2023-03-31 14:55:00,TP_1,46.20127700000012,1.0
LONG,2023-03-31 15:05:00,14806.117816,14722.06489,84.0529260000003,bearish,14571.493256,14570.936615,14890.170742,14932.197205,14974.223668,15016.250131,14722.06489,2023-04-02 19:00:00,STOP_LOSS,-84.0529260000003,0.0
