timeframe,sl_percentage,rr_ratio,total_trades,wins,losses,no_exit,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,best_trade,worst_trade,avg_bars_held
5m,25,4.5,232,36,196,0,15.517241379310345,-788.5898927500184,-3.3990943653018033,126.98483781249986,-27.347163540816396,390.77868375001344,-106.90250749999996,230.0
5m,25,5.0,232,34,198,0,14.655172413793101,-608.9371440000186,-2.6247290689655975,141.3476865808822,-27.34726508964653,434.19853750001494,-106.90250749999996,271.0560344827586
5m,50,1.0,232,104,128,0,44.827586206896555,-693.1682659999997,-2.9877942499999985,30.699733466346157,-30.35891051953125,110.82488099999955,-127.21086250000008,23.512931034482758
5m,50,1.5,232,88,144,0,37.93103448275862,-341.059443249982,-1.4700838071119913,45.93854579829562,-30.44202412152775,166.23732149999978,-127.21086250000008,50.38793103448276
5m,50,2.0,232,68,164,0,29.310344827586203,-736.342592500001,-3.1738904849137977,62.180100338235285,-30.27188667987805,184.54299300000272,-127.21086250000008,61.55172413793103
5m,50,2.5,232,58,174,0,25.0,-636.085111000003,-2.7417461681034614,79.34270586206887,-30.103230178160906,230.6787412500016,-127.21086250000008,95.34482758620689
5m,50,3.0,232,52,180,0,22.413793103448278,-421.70133700000315,-1.8176781767241514,96.01458879807689,-30.08033308055556,276.81448950000413,-127.21086250000008,126.29310344827586
5m,50,3.5,232,45,187,0,19.396551724137932,-875.8655770000014,-3.7752826594827646,107.20970555555557,-30.482900144385038,322.95023775000664,-127.21086250000008,178.55603448275863
5m,50,4.0,232,43,189,0,18.53448275862069,-396.34483450002426,-1.7083829073276908,124.32312544186001,-30.382218140211666,369.08598600000545,-127.21086250000008,225.08620689655172
5m,50,4.5,232,38,194,0,16.379310344827587,-639.0325442500489,-2.754450621767452,138.65340321710417,-30.452896219072205,415.2217342500044,-127.21086250000008,266.8318965517241
5m,50,5.0,232,35,197,0,15.086206896551724,-372.5257330000377,-1.6057143663794728,159.67112128571338,-30.25895927918785,461.35748250000694,-127.21086250000008,308.75
5m,75,1.0,232,101,131,0,43.53448275862069,-1030.6386439999987,-4.442407948275856,33.42012006683159,-33.634128020992286,114.74725450000007,-155.32772475000093,26.594827586206897
5m,75,1.5,232,80,152,0,34.48275862068966,-1327.0739281250098,-5.720146241918146,48.408217270312306,-34.20875861677628,150.58553587499773,-155.32772475000093,55.043103448275865
5m,75,2.0,232,68,164,0,29.310344827586203,-832.8136557500175,-3.5897140334052478,68.12440433088199,-33.32483628201215,200.78071449999698,-155.32772475000093,66.875
5m,75,2.5,232,60,172,0,25.862068965517242,-658.5911601250236,-2.838755000538895,84.7965683020828,-33.40921661773251,250.97589312499625,-155.32772475000093,115.86206896551724
5m,75,3.0,232,52,180,0,22.413793103448278,-625.4964825000106,-2.6961055280172874,103.21163098557648,-33.291673854166596,301.17107174999546,-155.32772475000093,150.2801724137931
5m,75,3.5,232,46,186,0,19.82758620689655,-856.1796305000071,-3.6904294418103754,117.09483784782564,-33.5620546854838,351.3662503749947,-155.32772475000093,195.30172413793105
5m,75,4.0,232,40,192,0,17.24137931034483,-881.7278337500047,-3.800551007543124,137.99550127499953,-33.34139523307284,401.56142899999395,-155.32772475000093,276.6163793103448
5m,75,4.5,232,37,195,0,15.948275862068966,-689.1467736250006,-2.970460231142244,156.83342780067522,-33.29222360128197,451.7566076249932,-155.32772475000093,289.0086206896552
5m,75,5.0,232,33,199,0,14.224137931034484,-586.7918059999784,-2.529275025861976,181.68462352272732,-33.07730845351749,501.9517862499925,-155.32772475000093,341.6163793103448
5m,100,1.0,232,101,131,0,43.53448275862069,-1010.348093999989,-4.354948681034435,36.999727099009824,-36.23908802290062,118.66962800000056,-183.44458700000177,29.762931034482758
5m,100,1.5,232,80,152,0,34.48275862068966,-1312.892975499988,-5.659021446120638,53.785499943749926,-36.94561165131567,162.76382699999886,-183.44458700000177,65.10775862068965
5m,100,2.0,232,66,166,0,28.448275862068968,-955.8937170000045,-4.1202315387931225,76.04443687878756,-35.99293103012038,217.01843599999847,-183.44458700000177,134.41810344827587
5m,100,2.5,232,59,173,0,25.43103448275862,-628.6078965000097,-2.7095167952586623,95.1051461440673,-36.06827467630047,271.2730449999981,-183.44458700000177,175.23706896551724
5m,100,3.0,232,51,181,0,21.982758620689655,-742.722895999982,-3.2013917931033706,113.84661870588222,-36.18177044198882,325.5276539999977,-183.44458700000177,240.10775862068965
5m,100,3.5,232,45,187,0,19.396551724137932,-605.9189039999801,-2.6117194137930175,136.1694282666666,-36.00825227807474,379.78226299999733,-183.44458700000177,296.2068965517241
5m,100,4.0,232,41,191,0,17.67241379310345,-598.3717929999929,-2.5791887629310035,153.87163268292645,-36.16287294764386,434.03687199999695,-183.44458700000177,369.3318965517241
5m,100,4.5,232,37,195,0,15.948275862068966,-477.3144994999993,-2.057390084051721,177.05849193243182,-36.043480517948595,488.2914809999965,-183.44458700000177,415.2586206896552
5m,100,5.0,232,33,199,0,14.224137931034484,-621.7766579999834,-2.6800718017240666,198.54839166666642,-36.04961599497475,542.5460899999962,-183.44458700000177,446.5948275862069
