Date,Direction,Entry_Time,Entry_Price,SL_Level,SL_Distance,TP_Level,TP_Distance,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Result,Asian_High,Asian_Low,Asian_Mid
2023-11-06,LONG,2023-11-06 01:15:00,16506.046505,16482.8314405,23.215064500000153,16606.046505,100,2023-11-06 08:00:00,16514.463663,TIME_EXIT,8.4171580000002,WIN,16497.629347,16468.033534,16482.8314405
2023-11-10,LONG,2023-11-10 01:00:00,16568.224864,16542.023066499998,26.201797500001703,16668.224864,100,2023-11-10 03:15:00,16542.023066499998,STOP_LOSS,-26.201797500001703,LOSS,16567.138779,16516.907354,16542.023066499998
2023-11-14,LONG,2023-11-14 01:30:00,16924.189184,16905.046938,19.14224599999943,17024.189184,100,2023-11-14 07:30:00,17024.189184,TAKE_PROFIT,100.0,WIN,16919.030281,16891.063595,16905.046938
2023-11-15,LONG,2023-11-15 02:30:00,17321.42473,17286.670013000003,34.75471699999616,17421.42473,100,2023-11-15 07:30:00,17421.42473,TAKE_PROFIT,100.0,WIN,17310.020838,17263.319188,17286.670013000003
2023-11-17,LONG,2023-11-17 02:30:00,17279.610462,17257.4814825,22.12897950000115,17379.610462,100,2023-11-17 05:30:00,17257.4814825,STOP_LOSS,-22.12897950000115,LOSS,17271.193304,17243.769661,17257.4814825
2023-11-20,LONG,2023-11-20 02:00:00,17245.94183,17219.740033000002,26.201796999997896,17345.94183,100,2023-11-20 08:00:00,17277.981334,TIME_EXIT,32.039504000000306,WIN,17238.882279,17200.597787,17219.740033000002
2023-11-21,SHORT,2023-11-21 01:15:00,17477.820952,17494.2479865,16.427034500000445,17377.820952,100,2023-11-21 08:00:00,17377.820952,TAKE_PROFIT,100.0,WIN,17510.403499,17478.092474,17494.2479865
2023-11-23,LONG,2023-11-23 01:00:00,17458.814467,17433.427233000002,25.38723399999799,17558.814467,100,2023-11-23 08:00:00,17448.496661,TIME_EXIT,-10.31780599999911,LOSS,17447.682097,17419.172369,17433.427233000002
2023-11-24,SHORT,2023-11-24 01:00:00,17416.185635,17446.867533,30.68189799999891,17316.185635,100,2023-11-24 03:15:00,17446.867533,STOP_LOSS,-30.68189799999891,LOSS,17454.198606,17439.53646,17446.867533
2023-11-27,LONG,2023-11-27 02:15:00,17367.854858,17337.037199500002,30.81765849999647,17467.854858,100,2023-11-27 08:00:00,17355.907925,TIME_EXIT,-11.946932999999262,LOSS,17363.238997,17310.835402,17337.037199500002
