Date,Direction,Entry_Time,Entry_Price,Asian_High,Asian_Low,Asian_Mid,SL_Level,SL_Distance,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Result
2024-01-29,LONG,2024-01-29 01:00:00,18812.477805,18810.869787,18737.972943,18774.421365000002,18774.421365000002,38.056439999996655,2024-01-29 07:00:00,18825.609957,TIME_EXIT,13.132152000001952,WIN
2024-02-06,LONG,2024-02-06 01:00:00,19033.044359,19030.364328,18968.455611,18999.4099695,18999.4099695,33.63438949999909,2024-02-06 04:00:00,18999.4099695,STOP_LOSS,-33.63438949999909,LOSS
2024-02-07,SHORT,2024-02-07 01:00:00,18913.246972,18987.483832,18915.390997,18951.4374145,18951.4374145,38.190442499999335,2024-02-07 04:00:00,18951.4374145,STOP_LOSS,-38.190442499999335,LOSS
2024-02-09,LONG,2024-02-09 01:15:00,19168.653929,19165.437892,19137.833572,19151.635732000002,19151.635732000002,17.0181969999976,2024-02-09 07:00:00,19198.670277,TIME_EXIT,30.016348000001017,WIN
2024-02-12,LONG,2024-02-12 02:15:00,19349.556024,19339.907912,19312.839598,19326.373755,19326.373755,23.182269000000815,2024-02-12 07:00:00,19344.731968,TIME_EXIT,-4.824056000001292,LOSS
2024-02-14,LONG,2024-02-14 01:00:00,19002.224002,18967.919605,18941.655301,18954.787452999997,18954.787452999997,47.43654900000183,2024-02-14 07:00:00,19085.304964,TIME_EXIT,83.080962,WIN
2024-02-15,LONG,2024-02-15 01:00:00,19199.742289,19171.601963,19128.98947,19150.2957165,19150.2957165,49.44657250000091,2024-02-15 07:00:00,19189.826174,TIME_EXIT,-9.91611499999999,LOSS
2024-02-16,LONG,2024-02-16 01:15:00,19254.682925,19246.106826,19201.082305,19223.5945655,19223.5945655,31.08835950000139,2024-02-16 07:00:00,19297.027415,TIME_EXIT,42.344489999999496,WIN
2024-02-21,SHORT,2024-02-21 02:15:00,18786.481504,18849.19423,18801.489678,18825.341954000003,18825.341954000003,38.860450000003766,2024-02-21 07:00:00,18754.053129,TIME_EXIT,32.428374999999505,WIN
2024-02-22,LONG,2024-02-22 01:00:00,19102.725166,19099.777132,18977.031711,19038.4044215,19038.4044215,64.32074450000073,2024-02-22 07:00:00,19189.558171,TIME_EXIT,86.83300500000041,WIN
2024-02-23,SHORT,2024-02-23 03:15:00,19301.851471,19354.916086,19312.839598,19333.877842,19333.877842,32.026370999999926,2024-02-23 05:45:00,19333.877842,STOP_LOSS,-32.026370999999926,LOSS
2024-02-26,LONG,2024-02-26 03:45:00,19287.647307,19279.607214,19212.606438,19246.106826,19246.106826,41.540481,2024-02-26 07:00:00,19291.935356,TIME_EXIT,4.288049000002502,WIN
2024-02-27,LONG,2024-02-27 01:15:00,19265.939055,19261.919009,19218.502506,19240.2107575,19240.2107575,25.728297499998007,2024-02-27 07:00:00,19308.015543,TIME_EXIT,42.07648800000243,WIN
2024-02-28,SHORT,2024-02-28 01:15:00,19275.587167,19314.447617,19288.719319,19301.583468,19301.583468,25.99630099999922,2024-02-28 07:00:00,19217.430494,TIME_EXIT,58.15667300000132,WIN
2024-02-29,SHORT,2024-02-29 02:00:00,19132.47351,19221.45054,19155.521777,19188.486158500004,19188.486158500004,56.012648500003706,2024-02-29 07:00:00,19160.07783,TIME_EXIT,-27.604319999998552,LOSS
2024-03-01,LONG,2024-03-01 01:00:00,19453.273224,19437.729044,19359.472138,19398.600591000002,19398.600591000002,54.672632999998314,2024-03-01 04:00:00,19398.600591000002,STOP_LOSS,-54.672632999998314,LOSS
2024-03-05,SHORT,2024-03-05 01:00:00,19484.89759,19552.166369,19492.401677,19522.284023,19522.284023,37.38643299999967,2024-03-05 07:00:00,19480.073535,TIME_EXIT,4.824055000000953,WIN
2024-03-06,LONG,2024-03-06 01:30:00,19285.771285,19283.359257,19234.582692,19258.9709745,19258.9709745,26.800310499998886,2024-03-06 07:00:00,19379.036365,TIME_EXIT,93.26508000000103,WIN
2024-03-08,LONG,2024-03-08 02:00:00,19649.987502,19628.547254,19562.350487,19595.4488705,19595.4488705,54.53863149999961,2024-03-08 05:45:00,19595.4488705,STOP_LOSS,-54.53863149999961,LOSS
2024-03-12,LONG,2024-03-12 01:00:00,19377.953525,19374.748315,19328.115775,19351.432045,19351.432045,26.52147999999943,2024-03-12 03:15:00,19351.432045,STOP_LOSS,-26.52147999999943,LOSS
2024-03-14,LONG,2024-03-14 01:00:00,19445.373955,19439.028502,19410.738361,19424.8834315,19424.8834315,20.490523500000563,2024-03-14 07:00:00,19462.030767,TIME_EXIT,16.656812000001082,WIN
2024-03-18,LONG,2024-03-18 01:00:00,19210.592222,19186.003595,19102.983928,19144.4937615,19144.4937615,66.0984604999976,2024-03-18 07:00:00,19335.65051,TIME_EXIT,125.05828800000018,WIN
2024-03-21,LONG,2024-03-21 01:00:00,19688.880684,19677.776142,19624.104192,19650.940167,19650.940167,37.94051699999909,2024-03-21 07:00:00,19724.309459,TIME_EXIT,35.428775000000314,WIN
2024-03-22,LONG,2024-03-22 04:00:00,19672.223872,19665.878419,19598.986777,19632.432598,19632.432598,39.79127399999925,2024-03-22 06:15:00,19632.432598,STOP_LOSS,-39.79127399999925,LOSS
2024-03-25,SHORT,2024-03-25 01:00:00,19613.264045,19672.223872,19624.63298,19648.428426,19648.428426,35.164380999998684,2024-03-25 07:00:00,19526.807258,TIME_EXIT,86.45678699999917,WIN
2024-03-26,LONG,2024-03-26 01:30:00,19625.426161,19624.368586,19582.858753,19603.613669500002,19603.613669500002,21.812491499997122,2024-03-26 07:00:00,19673.545841,TIME_EXIT,48.11967999999979,WIN
2024-04-01,SHORT,2024-04-01 03:00:00,19630.714038,19683.592807,19632.036008,19657.814407500002,19657.814407500002,27.10036950000358,2024-04-01 07:00:00,19576.248907,TIME_EXIT,54.4651309999972,WIN
2024-04-03,SHORT,2024-04-03 01:00:00,19339.352024,19388.793672,19344.904294,19366.848983,19366.848983,27.49695900000006,2024-04-03 07:00:00,19366.848983,STOP_LOSS,-27.49695900000006,LOSS
2024-04-05,LONG,2024-04-05 01:45:00,19166.43845,19163.00133,19092.672568,19127.836949,19127.836949,38.60150100000101,2024-04-05 07:00:00,19185.474807,TIME_EXIT,19.036356999997224,WIN
2024-04-10,LONG,2024-04-10 02:15:00,19446.960318,19444.845167,19424.222447,19434.533807,19434.533807,12.426511000001483,2024-04-10 04:30:00,19434.533807,STOP_LOSS,-12.426511000001483,LOSS
2024-04-11,LONG,2024-04-11 01:15:00,19258.976295,19255.274782,19186.796776,19221.035778999998,19221.035778999998,37.94051600000239,2024-04-11 03:45:00,19221.035778999998,STOP_LOSS,-37.94051600000239,LOSS
2024-04-15,LONG,2024-04-15 01:00:00,19308.15355,19306.038399,19239.939939,19272.989169,19272.989169,35.164380999998684,2024-04-15 07:00:00,19344.6399,TIME_EXIT,36.48634999999922,WIN
2024-04-17,SHORT,2024-04-17 01:00:00,18842.555993,18972.902157,18920.287783,18946.59497,18946.59497,104.03897699999652,2024-04-17 03:30:00,18946.59497,STOP_LOSS,-104.03897699999652,LOSS
2024-04-18,LONG,2024-04-18 01:00:00,18786.504498,18757.685569,18690.793927,18724.239748,18724.239748,62.26474999999846,2024-04-18 04:15:00,18724.239748,STOP_LOSS,-62.26474999999846,LOSS
2024-04-23,LONG,2024-04-23 01:45:00,18350.519052,18340.736479,18281.512259,18311.124368999997,18311.124368999997,39.39468300000226,2024-04-23 07:00:00,18372.463741,TIME_EXIT,21.944688999999926,WIN
2024-04-30,SHORT,2024-04-30 02:00:00,18915.528694,18952.015044,18927.69081,18939.852927,18939.852927,24.324232999999367,2024-04-30 07:00:00,18908.654454,TIME_EXIT,6.874240000001009,WIN
2024-05-01,SHORT,2024-05-01 01:30:00,18482.187185,18538.503074,18487.739456,18513.121265,18513.121265,30.934080000002723,2024-05-01 07:00:00,18464.472798,TIME_EXIT,17.714386999999988,WIN
2024-05-02,LONG,2024-05-02 02:30:00,18577.104575,18572.345486,18502.545511,18537.445498499997,18537.445498499997,39.65907650000372,2024-05-02 07:00:00,18604.337141,TIME_EXIT,27.23256599999877,WIN
2024-05-03,SHORT,2024-05-03 01:15:00,18757.949963,18811.093126,18758.743145,18784.9181355,18784.9181355,26.968172500000946,2024-05-03 03:30:00,18784.9181355,STOP_LOSS,-26.968172500000946,LOSS
2024-05-09,SHORT,2024-05-09 01:00:00,19188.647533,19223.283127,19193.671016,19208.477071499998,19208.477071499998,19.829538499998307,2024-05-09 06:45:00,19208.477071499998,STOP_LOSS,-19.829538499998307,LOSS
2024-05-10,LONG,2024-05-10 01:45:00,19304.980824,19295.198252,19262.149021,19278.6736365,19278.6736365,26.30718749999869,2024-05-10 07:00:00,19342.789144,TIME_EXIT,37.808320000000094,WIN
2024-05-13,LONG,2024-05-13 01:00:00,19346.755051,19340.409599,19288.059618,19314.2346085,19314.2346085,32.52044250000108,2024-05-13 07:00:00,19367.906559,TIME_EXIT,21.151507999999012,WIN
2024-05-14,LONG,2024-05-14 01:30:00,19343.053537,19342.789144,19314.234609,19328.5118765,19328.5118765,14.541660499999125,2024-05-14 07:00:00,19348.605808,TIME_EXIT,5.552271000000474,WIN
2024-05-22,SHORT,2024-05-22 01:00:00,19886.11849,19907.798786,19889.291217,19898.545001500002,19898.545001500002,12.426511500001652,2024-05-22 07:00:00,19872.370011,TIME_EXIT,13.74847900000168,WIN
2024-05-27,LONG,2024-05-27 01:15:00,19963.057099,19961.206342,19917.845752,19939.526047,19939.526047,23.53105200000209,2024-05-27 07:00:00,19965.436643,TIME_EXIT,2.3795439999994414,WIN
2024-05-28,LONG,2024-05-28 01:30:00,20023.338895,20021.752532,19972.310883,19997.0317075,19997.0317075,26.30718750000233,2024-05-28 07:00:00,20018.579806,TIME_EXIT,-4.759088999999221,LOSS
2024-05-29,SHORT,2024-05-29 01:00:00,19949.308619,20038.938132,19960.941948,19999.94004,19999.94004,50.631421000001865,2024-05-29 07:00:00,19913.351056,TIME_EXIT,35.957562999999936,WIN
2024-06-03,LONG,2024-06-03 01:30:00,19733.563243,19727.482185,19631.50722,19679.4947025,19679.4947025,54.06854050000038,2024-06-03 07:00:00,19771.635957,TIME_EXIT,38.072713999998086,WIN
2024-06-04,SHORT,2024-06-04 01:15:00,19698.398862,19752.335206,19712.940523,19732.6378645,19732.6378645,34.23900250000224,2024-06-04 07:00:00,19649.221607,TIME_EXIT,49.177254999998695,WIN
2024-06-10,SHORT,2024-06-10 01:45:00,20101.599472,20147.868395,20109.795681,20128.832038,20128.832038,27.23256599999877,2024-06-10 05:30:00,20128.832038,STOP_LOSS,-27.23256599999877,LOSS
2024-06-13,LONG,2024-06-13 01:30:00,20777.125741,20771.309076,20709.705311,20740.5071935,20740.5071935,36.618547499998385,2024-06-13 04:30:00,20740.5071935,STOP_LOSS,-36.618547499998385,LOSS
2024-06-18,LONG,2024-06-18 02:30:00,21096.910228,21096.127392,21040.54603,21068.336711,21068.336711,28.57351700000072,2024-06-18 07:00:00,21111.001277,TIME_EXIT,14.091048999998748,WIN
2024-06-19,LONG,2024-06-19 01:30:00,21120.656255,21115.176403,21093.517938,21104.3471705,21104.3471705,16.30908450000061,2024-06-19 07:00:00,21121.178146,TIME_EXIT,0.5218909999966854,WIN
2024-06-20,LONG,2024-06-20 01:00:00,21211.98713,21203.636879,21113.349785,21158.493332,21158.493332,53.49379800000315,2024-06-20 07:00:00,21173.889108,TIME_EXIT,-38.09802200000195,LOSS
2024-06-26,LONG,2024-06-26 01:00:00,20888.414887,20884.500707,20837.530543,20861.015625,20861.015625,27.399261999999,2024-06-26 06:00:00,20861.015625,STOP_LOSS,-27.399261999999,LOSS
2024-06-27,LONG,2024-06-27 01:00:00,20832.572581,20817.43775,20744.37305,20780.9054,20780.9054,51.66718100000071,2024-06-27 07:00:00,20851.360647,TIME_EXIT,18.78806600000098,WIN
2024-07-02,SHORT,2024-07-02 02:00:00,20835.182034,20909.029571,20835.703925,20872.366748,20872.366748,37.184713999999076,2024-07-02 07:00:00,20822.656657,TIME_EXIT,12.525377000001754,WIN
2024-07-05,LONG,2024-07-05 01:00:00,21327.064033,21321.323235,21275.918743,21298.620989,21298.620989,28.443043999999645,2024-07-05 07:00:00,21321.845125,TIME_EXIT,-5.218907999998919,LOSS
2024-07-08,LONG,2024-07-08 03:30:00,21512.335236,21511.030509,21480.238957,21495.634733,21495.634733,16.700503000000026,2024-07-08 07:00:00,21536.081264,TIME_EXIT,23.746028000001388,WIN
