date,time,setup_type,candle_830_open,candle_830_high,candle_830_low,candle_830_close,next_candle_open,next_candle_high,next_candle_low,next_candle_close,prev5_max_high,prev5_min_low,year
2019-03-28,08:30:00,bearish_830_to_bullish_breakout,8451.889849,8460.804738,8423.132143,8447.86377,8447.86377,8461.092315,8439.236458,8458.504122,8456.778659,8423.994874,2019
2019-04-15,08:30:00,bullish_830_to_bearish_breakdown,8798.420209,8810.210868,8798.132632,8804.459327,8803.884173,8806.472367,8787.779858,8792.956245,8804.17175,8795.256861,2019
2019-05-03,08:30:00,bearish_830_to_bullish_breakout,8969.240984,8972.116754,8955.437285,8960.038518,8960.038518,8983.044683,8952.273937,8980.456489,8972.116754,8930.41808,2019
2019-05-13,08:30:00,bullish_830_to_bearish_breakdown,8518.320151,8564.044903,8507.392222,8547.365434,8547.077857,8556.280323,8483.523326,8502.790989,8545.352394,8516.019534,2019
2019-08-08,08:30:00,bearish_830_to_bullish_breakout,8713.607073,8731.661313,8692.973655,8707.302417,8707.302417,8742.551173,8686.668999,8733.953915,8733.66734,8690.394477,2019
2019-09-20,08:30:00,bullish_830_to_bearish_breakdown,9072.387313,9080.962619,9062.954477,9077.81834,9078.104184,9080.105088,9062.668634,9062.954477,9092.39636,9064.955382,2019
2019-10-03,08:30:00,bearish_830_to_bullish_breakout,8652.769034,8672.492236,8631.616614,8647.052164,8647.623851,8671.920549,8647.338007,8658.485904,8658.200061,8634.189205,2019
2019-10-14,08:30:00,bearish_830_to_bullish_breakout,8968.054431,8993.494503,8959.479125,8966.33937,8966.33937,8988.063477,8962.33756,8982.63245,8973.771301,8954.619785,2019
2019-10-16,08:30:00,bullish_830_to_bearish_breakdown,9063.240321,9072.959001,9051.520737,9066.670443,9066.670443,9069.243035,9051.520737,9056.094233,9094.683108,9062.954477,2019
2019-10-21,08:30:00,bullish_830_to_bearish_breakdown,9049.233989,9074.102375,9044.660493,9060.096042,9060.381886,9064.955382,9036.371031,9042.087901,9062.096947,9042.659588,2019
2019-10-24,08:30:00,bullish_830_to_bearish_breakdown,9094.397264,9102.686726,9081.820149,9094.968951,9094.683108,9097.255699,9063.812008,9068.671348,9096.684012,9079.819245,2019
2019-11-08,08:30:00,bullish_830_to_bearish_breakdown,9388.244397,9413.398627,9381.95584,9411.397722,9411.683565,9414.256157,9380.526622,9382.527527,9399.963981,9385.100119,2019
2019-11-11,08:30:00,bearish_830_to_bullish_breakout,9397.39139,9400.535668,9383.099214,9385.671806,9385.671806,9408.539287,9384.528432,9408.253443,9407.395913,9396.819703,2019
2019-11-20,08:30:00,bearish_830_to_bullish_breakout,9516.873979,9525.735128,9509.156204,9513.158013,9513.158013,9528.021876,9513.158013,9526.878502,9517.731509,9496.864933,2019
