date,entry_time,direction,entry_price,stop_loss,take_profit,bias,swing_low,swing_high,ote_zone,risk,result,exit_time,exit_price,pnl,pnl_points
2022-02-25,2022-02-25 08:30:00+01:00,LONG,16139.44244,15838.629025,16326.59811748,BULLISH,15843.629025,16223.919649,"(np.float64(16078.648630632), np.float64(16144.05861796))",300.81341500000053,LOSS,2022-02-27 18:00:00+01:00,15838.629025,-300.81341500000053,-300.81341500000053
2022-03-03,2022-03-03 08:50:00+01:00,LONG,16353.928642,16067.719762,16595.330142990002,BULLISH,16072.719762,16484.223999,"(np.float64(16327.029380466001), np.float64(16397.80810923))",286.20888000000014,LOSS,2022-03-03 15:00:00+01:00,16067.719762,-286.20888000000014,-286.20888000000014
2022-03-04,2022-03-04 08:50:00+01:00,SHORT,15918.656242,16052.806145,15645.93803713,BEARISH,15731.374564,16047.806145,"(np.float64(15926.929281058001), np.float64(15981.35551299))",134.14990300000136,WIN,2022-03-06 18:00:00+01:00,15645.93803713,272.7182048699997,272.7182048699997
2022-03-07,2022-03-07 08:20:00+01:00,SHORT,15753.710911,15903.610802,15405.82230828,BEARISH,15510.588366,15898.610802,"(np.float64(15750.386231448), np.float64(15817.126090439999))",149.89989099999912,WIN,2022-03-07 14:05:00+01:00,15405.82230828,347.88860272000056,347.88860272000056
2022-03-08,2022-03-08 08:40:00+01:00,SHORT,15220.788583,15324.2976,14947.2513794,BEARISH,15026.34782,15319.2976,"(np.float64(15207.39078404), np.float64(15257.7781462))",103.50901700000031,LOSS,2022-03-08 12:10:00+01:00,15324.2976,-103.50901700000031,-103.50901700000031
2022-03-09,2022-03-09 10:45:00+01:00,LONG,15629.429186,15454.04295,15732.1677911,BULLISH,15459.04295,15674.10188,"(np.float64(15591.949368739999), np.float64(15628.9395047))",175.38623600000028,WIN,2022-03-09 12:35:00+01:00,15732.1677911,102.73860510000122,102.73860510000122
2022-03-14,2022-03-14 10:00:00+01:00,SHORT,15200.743144,15345.488494,15022.630822629999,BEARISH,15090.206863,15340.488494,"(np.float64(15244.880910958), np.float64(15287.92935149))",144.74534999999923,WIN,2022-03-14 12:50:00+01:00,15022.630822629999,178.11232137000115,178.11232137000115
2022-03-15,2022-03-15 11:15:00+01:00,SHORT,15256.584011,15359.520301,14859.91339969,BEARISH,14965.066048,15354.520301,"(np.float64(15205.748776354001), np.float64(15272.73490787))",102.93628999999964,LOSS,2022-03-15 15:15:00+01:00,15359.520301,-102.93628999999964,-102.93628999999964
2022-03-16,2022-03-16 10:45:00+01:00,LONG,15817.569954,15587.201941,15962.066073,BULLISH,15592.201941,15883.433541,"(np.float64(15772.1830698), np.float64(15822.274905))",230.36801300000116,LOSS,2022-03-16 14:05:00+01:00,15587.201941,-230.36801300000116,-230.36801300000116
2022-03-21,2022-03-21 08:25:00+01:00,SHORT,16469.619465,16575.992116,16223.676239639999,BEARISH,16297.515048,16570.992116,"(np.float64(16466.523876024), np.float64(16513.56193172))",106.3726510000015,LOSS,2022-03-22 09:35:00+01:00,16575.992116,-106.3726510000015,-106.3726510000015
2022-03-23,2022-03-23 11:40:00+01:00,LONG,16767.15106,16559.119394,16845.245228750002,BULLISH,16564.119394,16785.478319,"(np.float64(16700.91920965), np.float64(16738.99294475))",208.03166599999895,LOSS,2022-03-23 15:55:00+01:00,16559.119394,-208.03166599999895,-208.03166599999895
2022-03-25,2022-03-25 09:50:00+01:00,LONG,16911.191861,16687.123843,17075.08051041,BULLISH,16692.123843,16993.664526,"(np.float64(16878.475985094), np.float64(16930.34098257))",224.06801799999812,WIN,2022-03-28 10:55:00+02:00,17075.08051041,163.88864941000065,163.88864941000065
2022-03-28,2022-03-28 11:05:00+02:00,SHORT,17003.114519,17086.291733,16824.532562750002,BEARISH,16879.119158,17081.291733,"(np.float64(17004.061809349998), np.float64(17038.83549225))",83.17721399999937,LOSS,2022-03-28 15:55:00+02:00,17086.291733,-83.17721399999937,-83.17721399999937
2022-03-29,2022-03-29 09:55:00+02:00,LONG,17367.368791,17191.696192,17497.09714822,BULLISH,17196.696192,17433.232378,"(np.float64(17342.875554948), np.float64(17383.55977894))",175.67259900000136,LOSS,2022-03-31 10:35:00+02:00,17191.696192,-175.67259900000136,-175.67259900000136
2022-03-30,2022-03-30 11:35:00+02:00,LONG,17440.964191,17322.277912,17484.024658450002,BULLISH,17327.277912,17450.700547,"(np.float64(17403.55310043), np.float64(17424.78179365))",118.68627899999774,LOSS,2022-03-30 12:05:00+02:00,17322.277912,-118.68627899999774,-118.68627899999774
2022-03-31,2022-03-31 10:25:00+02:00,SHORT,17273.441589,17341.727905,17090.51549928,BEARISH,17142.859869,17336.727905,"(np.float64(17262.670315248), np.float64(17296.01561744))",68.28631600000153,WIN,2022-03-31 16:50:00+02:00,17090.51549928,182.92608971999653,182.92608971999653
2022-04-05,2022-04-05 10:30:00+02:00,LONG,17306.946109,17077.150824,17424.375157330003,BULLISH,17082.150824,17351.618803,"(np.float64(17248.682035022), np.float64(17295.030527410003))",229.79528500000015,LOSS,2022-04-05 12:35:00+02:00,17077.150824,-229.79528500000015,-229.79528500000015
