Datetime,Open,High,Low,Close,Volume,Swing_High,Swing_Low,FVG_Bullish_Top,FVG_Bullish_Bottom,FVG_Bullish_Mean,FVG_Bearish_Top,FVG_Bearish_Bottom,FVG_Bearish_Mean,MSS_Bullish,MSS_Bearish,OB_Bullish_High,OB_Bullish_Low,OB_Bearish_High,OB_Bearish_Low
2024-03-05 00:15:00-05:00,19448.449168,19462.653333,19446.037141,19456.221258,1948,0.0,0.0,19446.037141,19444.429122,19445.2331315,,,,0,0,,,,
2024-03-05 00:30:00-05:00,19456.221258,19463.457342,19452.201212,19454.077234,1812,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 00:45:00-05:00,19453.809231,19468.013395,19451.933209,19465.333364,1828,0.0,19451.933209,,,,,,,0,0,,,,
2024-03-05 01:00:00-05:00,19465.333364,19491.329665,19465.333364,19486.237606,4286,0.0,0.0,19465.333364,19463.457342,19464.395353,,,,0,0,,,,
2024-03-05 01:15:00-05:00,19486.773612,19492.133674,19469.35341,19480.073535,3022,19492.133674,0.0,19469.35341,19468.013395,19468.6834025,,,,0,0,,,,
2024-03-05 01:30:00-05:00,19479.805531,19483.289572,19459.437296,19467.209386,3472,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 01:45:00-05:00,19467.209386,19469.621414,19446.84115,19455.685252,3833,0.0,19446.84115,,,,,,,0,0,,,,
2024-03-05 02:00:00-05:00,19455.953255,19484.629587,19454.61324,19480.073535,3627,19484.629587,0.0,,,,,,,0,0,,,,
2024-03-05 02:15:00-05:00,19479.805531,19482.217559,19451.933209,19453.273224,3215,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 02:30:00-05:00,19453.273224,19462.921336,19438.533054,19450.32519,5523,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 02:45:00-05:00,19449.521181,19455.685252,19436.389029,19438.265051,4214,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 03:00:00-05:00,19438.801057,19451.665206,19425.936908,19431.29697,6729,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 03:15:00-05:00,19431.29697,19444.429122,19424.596892,19439.873069,6776,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 03:30:00-05:00,19439.605066,19441.213085,19354.916086,19366.440219,63455,0.0,0.0,,,,,,,0,1,,,,
2024-03-05 03:45:00-05:00,19366.976225,19366.976225,19321.147695,19337.763887,39775,0.0,0.0,,,,19424.596892,19366.976225,19395.7865585,0,1,,,19444.429122,19424.596892
2024-03-05 04:00:00-05:00,19338.567896,19386.004445,19286.307291,19296.491409,52728,19386.004445,0.0,,,,,,,0,0,,,,
2024-03-05 04:15:00-05:00,19296.223406,19308.551549,19245.034813,19256.022941,37773,0.0,0.0,,,,19321.147695,19308.551549,19314.849622,0,1,,,19444.429122,19424.596892
2024-03-05 04:30:00-05:00,19255.486934,19255.486934,19210.19441,19218.770509,33870,0.0,0.0,,,,19286.307291,19255.486934,19270.897112500003,0,1,,,19444.429122,19424.596892
2024-03-05 04:45:00-05:00,19219.038512,19240.746764,19198.93828,19232.706671,31284,0.0,19198.93828,,,,19245.034813,19240.746764,19242.8907885,0,0,,,,
2024-03-05 05:00:00-05:00,19232.706671,19243.962801,19202.690323,19223.594565,22046,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 05:15:00-05:00,19223.862568,19259.774984,19215.822475,19247.446841,19459,19259.774984,0.0,,,,,,,0,0,,,,
2024-03-05 05:30:00-05:00,19247.178838,19253.878916,19197.062258,19212.606438,19183,0.0,19197.062258,,,,,,,0,0,,,,
2024-03-05 05:45:00-05:00,19213.142444,19234.582692,19199.206283,19230.562646,20340,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 06:00:00-05:00,19230.562646,19252.270897,19227.882615,19247.714844,14631,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 06:15:00-05:00,19247.446841,19269.155093,19230.294643,19268.88709,14224,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 06:30:00-05:00,19269.155093,19273.175139,19231.634658,19250.662879,13593,19273.175139,0.0,,,,,,,0,0,,,,
2024-03-05 06:45:00-05:00,19250.662879,19263.259024,19236.726717,19244.498807,12812,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 07:00:00-05:00,19245.034813,19246.910835,19222.522553,19232.438668,14234,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 07:15:00-05:00,19233.242677,19236.99472,19198.670277,19213.410447,14493,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 07:30:00-05:00,19213.67845,19228.418621,19166.241901,19169.993945,20642,0.0,0.0,,,,,,,0,1,,,,
2024-03-05 07:45:00-05:00,19170.529951,19191.702196,19163.025864,19166.777907,17541,0.0,19163.025864,,,,19198.670277,19191.702196,19195.186236499998,0,0,,,,
2024-03-05 08:00:00-05:00,19167.04591,19197.330261,19163.829873,19183.126097,15820,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 08:15:00-05:00,19183.126097,19201.082305,19166.777907,19182.322087,15428,19201.082305,0.0,,,,,,,0,0,,,,
2024-03-05 08:30:00-05:00,19182.054084,19185.538125,19143.461637,19147.213681,17815,0.0,0.0,,,,,,,0,1,,,,
