strategy,direction,entry_datetime,entry_price,stop_loss,take_profit,exit_datetime,exit_price,pnl,outcome,fvg_timeframe
B: FVG Tap (15m),SHORT,2019-08-15 02:10:00,8609.007106,8629.007106,8569.007106,2019-08-15 02:15:00,8629.007106,-20.0,LOSS,15m
B: FVG Tap (15m),SHORT,2019-08-15 03:20:00,8635.658604,8655.658604,8595.658604,2019-08-15 03:30:00,8655.658604,-20.0,LOSS,15m
B: FVG Tap (5m),SHORT,2019-08-15 03:45:00,8637.091481,8657.091481,8597.091481,2019-08-15 04:00:00,8597.091481,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-15 03:50:00,8647.121614,8667.121614,8607.121614,2019-08-15 04:00:00,8607.121614,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-15 03:55:00,8637.091481,8657.091481,8597.091481,2019-08-15 04:00:00,8597.091481,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-16 01:00:00,8656.005447,8676.005447,8616.005447,2019-08-16 02:30:00,8676.005447,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-16 01:05:00,8653.42627,8673.42627,8613.42627,2019-08-16 02:30:00,8673.42627,-20.0,LOSS,5m
B: FVG Tap (15m),SHORT,2019-08-16 01:30:00,8657.438324,8677.438324,8617.438324,2019-08-16 03:00:00,8677.438324,-20.0,LOSS,15m
B: FVG Tap (15m),SHORT,2019-08-16 01:40:00,8657.438324,8677.438324,8617.438324,2019-08-16 03:00:00,8677.438324,-20.0,LOSS,15m
B: FVG Tap (5m),SHORT,2019-08-16 01:45:00,8648.841066,8668.841066,8608.841066,2019-08-16 02:15:00,8668.841066,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-16 01:50:00,8655.718872,8675.718872,8615.718872,2019-08-16 02:30:00,8675.718872,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-16 01:55:00,8648.841066,8668.841066,8608.841066,2019-08-16 02:15:00,8668.841066,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-16 02:05:00,8648.267915,8668.267915,8608.267915,2019-08-16 02:15:00,8668.267915,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-16 02:15:00,8654.285996,8674.285996,8614.285996,2019-08-16 02:30:00,8674.285996,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-16 03:40:00,8698.418584,8718.418584,8658.418584,2019-08-16 08:00:00,8658.418584,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-16 03:45:00,8695.552832,8715.552832,8655.552832,2019-08-16 08:15:00,8655.552832,40.0,WIN,5m
B: FVG Tap (15m),LONG,2019-08-21 02:00:00,8843.425661,8823.425661,8883.425661,2019-08-21 08:00:00,8883.425661,40.0,WIN,15m
B: FVG Tap (15m),LONG,2019-08-21 02:15:00,8839.986758,8819.986758,8879.986758,2019-08-21 08:00:00,8879.986758,40.0,WIN,15m
B: FVG Tap (15m),LONG,2019-08-21 02:25:00,8848.870591,8828.870591,8888.870591,2019-08-21 08:30:00,8888.870591,40.0,WIN,15m
B: FVG Tap (15m),LONG,2019-08-26 01:45:00,8614.738611,8594.738611,8654.738611,2019-08-26 01:50:00,8594.738611,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-26 01:55:00,8614.738611,8594.738611,8654.738611,2019-08-26 02:00:00,8654.738611,40.0,WIN,15m
B: FVG Tap (5m),SHORT,2019-08-26 02:15:00,8633.079427,8653.079427,8593.079427,2019-08-26 02:15:00,8653.079427,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-26 02:15:00,8666.608732,8686.608732,8626.608732,2019-08-26 02:20:00,8626.608732,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-26 02:20:00,8638.237782,8658.237782,8598.237782,2019-08-26 02:30:00,8658.237782,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-26 02:25:00,8633.079427,8653.079427,8593.079427,2019-08-26 02:30:00,8653.079427,-20.0,LOSS,5m
B: FVG Tap (15m),SHORT,2019-08-26 02:40:00,8665.749006,8685.749006,8625.749006,2019-08-26 03:15:00,8685.749006,-20.0,LOSS,15m
B: FVG Tap (5m),SHORT,2019-08-26 02:45:00,8659.157775,8679.157775,8619.157775,2019-08-26 03:15:00,8679.157775,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-26 02:45:00,8657.151748,8677.151748,8617.151748,2019-08-26 03:15:00,8677.151748,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-26 02:55:00,8659.157775,8679.157775,8619.157775,2019-08-26 03:15:00,8679.157775,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-26 03:00:00,8652.566544,8672.566544,8612.566544,2019-08-26 03:15:00,8672.566544,-20.0,LOSS,5m
