timeframe,year,date,time,setup_type,direction,sl_percentage,rr_ratio,entry_price,sl_price,tp_price,risk,body_size,outcome,exit_price,exit_time,pnl,bars_held
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,75,2.0,15835.409267,15816.5449995,15873.137802000003,18.864267500001006,2.286577999999281,LOSS,15816.5449995,2021-02-16 08:32:00,-18.864267500001006,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,75,2.5,15835.409267,15816.5449995,15882.569935750003,18.864267500001006,2.286577999999281,LOSS,15816.5449995,2021-02-16 08:32:00,-18.864267500001006,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,75,3.0,15835.409267,15816.5449995,15892.002069500004,18.864267500001006,2.286577999999281,LOSS,15816.5449995,2021-02-16 08:32:00,-18.864267500001006,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,75,3.5,15835.409267,15816.5449995,15901.434203250004,18.864267500001006,2.286577999999281,LOSS,15816.5449995,2021-02-16 08:32:00,-18.864267500001006,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,75,4.0,15835.409267,15816.5449995,15910.866337000005,18.864267500001006,2.286577999999281,LOSS,15816.5449995,2021-02-16 08:32:00,-18.864267500001006,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,75,4.5,15835.409267,15816.5449995,15920.298470750005,18.864267500001006,2.286577999999281,LOSS,15816.5449995,2021-02-16 08:32:00,-18.864267500001006,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,75,5.0,15835.409267,15816.5449995,15929.730604500006,18.864267500001006,2.286577999999281,LOSS,15816.5449995,2021-02-16 08:32:00,-18.864267500001006,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,100,1.0,15835.409267,15815.973355,15854.845179000002,19.435912000000826,2.286577999999281,LOSS,15815.973355,2021-02-16 08:32:00,-19.435912000000826,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,100,1.5,15835.409267,15815.973355,15864.563135000002,19.435912000000826,2.286577999999281,LOSS,15815.973355,2021-02-16 08:32:00,-19.435912000000826,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,100,2.0,15835.409267,15815.973355,15874.281091000003,19.435912000000826,2.286577999999281,LOSS,15815.973355,2021-02-16 08:32:00,-19.435912000000826,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,100,2.5,15835.409267,15815.973355,15883.999047000003,19.435912000000826,2.286577999999281,LOSS,15815.973355,2021-02-16 08:32:00,-19.435912000000826,2.0
