direction,sl_type,rr_ratio,smt_datetime,entry_datetime,entry_price,stop_loss,take_profit,risk,reward,exit_datetime,exit_price,pnl,outcome,variant
LONG,entry_candle,1.5,2023-08-10 03:15:00,2023-08-10 03:30:00,16802.381771,16793.306835,16815.994175,9.07493600000089,13.612404000001334,2023-08-10 03:30:00,16793.306835,-9.07493600000089,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-08-10 03:45:00,2023-08-10 03:55:00,16804.856754,16820.531643,16781.344420500005,15.674888999998075,23.512333499997112,2023-08-11 01:00:00,16781.344420500005,23.512333499995293,WIN,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-08-15 03:45:00,2023-08-16 01:00:00,16607.133145,16627.758,16576.195862499997,20.624855000001844,30.937282500002766,2023-08-16 01:00:00,16627.758,-20.624855000001844,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-08-25 01:30:00,2023-08-25 02:00:00,16321.685153,16279.335451,16385.209706,42.349701999999525,63.52455299999929,2023-08-25 02:00:00,16279.335451,-42.349701999999525,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-08-28 02:00:00,2023-08-28 02:15:00,16508.133841,16492.183954,16532.058671499995,15.949886999998853,23.92483049999828,2023-08-28 02:15:00,16492.183954,-15.949886999998853,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-08-30 03:00:00,2023-08-30 03:15:00,16916.23097,16939.055809,16881.9937115,22.824839000000793,34.23725850000119,2023-08-30 03:15:00,16939.055809,-22.824839000000793,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-08-30 03:45:00,2023-08-31 01:00:00,17051.805016,17050.430026,17053.867500999993,1.3749899999966146,2.062484999994922,2023-08-31 01:00:00,17050.430026,-1.3749899999966146,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-09-01 01:45:00,2023-09-01 02:15:00,17089.754749,17069.129894,17120.692031499995,20.624854999998206,30.93728249999731,2023-09-01 02:15:00,17069.129894,-20.624854999998206,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-09-01 01:45:00,2023-09-01 02:15:00,17089.754749,17069.129894,17120.692031499995,20.624854999998206,30.93728249999731,2023-09-01 02:15:00,17069.129894,-20.624854999998206,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-09-04 02:30:00,2023-09-04 02:45:00,17110.104606,17118.629546,17097.317196000004,8.524939999999333,12.787409999999,2023-09-04 03:00:00,17118.629546,-8.524939999999333,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
