direction,smt_datetime,smt_idx,fvg_type,fvg_top,fvg_bottom,entry_datetime,entry_idx,entry_price,stop_loss,take_profit,risk,reward,exit_datetime,exit_price,pnl,outcome
SHORT,2024-12-18 02:15:00,86372,Bullish,22743.071272,22737.655764,2024-12-18 02:45:00,86380,22729.919324,22753.644407,22682.469157999996,23.725083000001177,47.450166000002355,2024-12-19 01:00:00,22682.469157999996,47.450166000002355,WIN
SHORT,2024-12-19 02:45:00,86429,Bullish,21935.644792,21934.355385,2024-12-19 03:15:00,86437,21933.581741,21985.15801,21830.429203000007,51.57626899999741,103.15253799999482,2024-12-20 01:00:00,21830.429203000007,103.15253799999482,WIN
SHORT,2024-12-24 03:15:00,86580,Bullish,22460.119488,22459.861746,2024-12-24 03:15:00,86581,22455.222397,22475.841726,22413.983739000007,20.61932899999738,41.23865799999476,2024-12-24 03:45:00,22475.841726,-20.61932899999738,LOSS
LONG,2024-12-27 03:00:00,86672,Bearish,22593.114159,22592.598676,2024-12-27 03:10:00,86675,22593.887384,22576.360955,22628.940242000004,17.52642900000137,35.05285800000274,2024-12-30 01:00:00,22576.360955,-17.52642900000137,LOSS
LONG,2024-12-31 02:15:00,86757,Bearish,22051.341292,22046.959685,2024-12-31 02:50:00,86766,22056.496125,22020.927782,22127.632811000007,35.56834300000264,71.13668600000528,2024-12-31 03:00:00,22127.632811000007,71.13668600000528,WIN
SHORT,2024-12-31 03:30:00,86777,Bullish,22147.736655,22132.272158,2025-01-02 01:00:00,86784,22041.031628,22176.603715,21769.887454,135.57208700000047,271.14417400000093,2025-01-06 01:00:00,22176.603715,-135.57208700000047,LOSS
SHORT,2024-12-31 03:45:00,86780,Bullish,22147.736655,22132.272158,2025-01-02 01:00:00,86784,22041.031628,22177.119199,21768.856486,136.08757100000003,272.17514200000005,2025-01-06 01:00:00,22177.119199,-136.08757100000003,LOSS
LONG,2025-01-02 02:30:00,86808,Bearish,22053.918709,22045.155494,2025-01-02 03:00:00,86816,22058.300316,21978.142675,22218.615598000004,80.1576410000016,160.3152820000032,2025-01-03 01:00:00,21978.142675,-80.1576410000016,LOSS
SHORT,2025-01-02 03:15:00,86820,Bullish,22045.928719,22043.093561,2025-01-02 03:35:00,86826,22033.041638,22068.352239,21962.420435999997,35.31060100000104,70.62120200000209,2025-01-03 01:00:00,21962.420435999997,70.62120200000209,WIN
SHORT,2025-01-07 02:00:00,86944,Bullish,22395.684085,22394.137635,2025-01-07 02:10:00,86947,22386.663129,22409.086649,22341.816089,22.42352000000028,44.84704000000056,2025-01-07 02:30:00,22409.086649,-22.42352000000028,LOSS
SHORT,2025-01-10 03:30:00,87112,Bullish,21932.780151,21925.563386,2025-01-13 01:00:00,87120,21541.012902,21954.172705,20714.693295999994,413.1598030000023,826.3196060000046,2025-01-16 01:00:00,21954.172705,-413.1598030000023,LOSS
LONG,2025-01-15 02:00:00,87232,Bearish,21591.788,21585.602201,2025-01-15 02:15:00,87237,21593.849932,21556.477399,21668.594998000004,37.37253300000157,74.74506600000313,2025-01-16 01:00:00,21668.594998000004,74.74506600000313,WIN
SHORT,2025-01-16 01:45:00,87276,Bullish,22192.841437,22188.202088,2025-01-16 02:00:00,87281,22177.119199,22227.636555,22076.084487,50.51735600000029,101.03471200000058,2025-01-17 01:00:00,22076.084487,101.03471200000058,WIN
SHORT,2025-01-16 02:00:00,87280,Bullish,22192.841437,22188.202088,2025-01-16 02:00:00,87281,22177.119199,22235.111061,22061.135475000003,57.991861999998946,115.98372399999789,2025-01-17 01:00:00,22061.135475000003,115.98372399999789,WIN
LONG,2025-01-27 03:00:00,87632,Bearish,21892.056977,21890.252785,2025-01-27 03:00:00,87633,21909.067923,21846.952195,22033.299378999993,62.115727999997034,124.23145599999407,2025-01-27 03:30:00,21846.952195,-62.115727999997034,LOSS
SHORT,2025-01-28 03:00:00,87680,Bullish,22038.969695,22029.690997,2025-01-28 03:15:00,87684,22022.989715,22067.836756,21933.295632999998,44.8470410000009,89.6940820000018,2025-01-29 01:00:00,22067.836756,-44.8470410000009,LOSS
LONG,2025-01-29 03:00:00,87729,Bearish,22344.135763,22343.878021,2025-01-29 03:10:00,87731,22344.908988,22298.257756,22438.211452,46.651232000000164,93.30246400000033,2025-01-30 01:00:00,22298.257756,-46.651232000000164,LOSS
SHORT,2025-01-31 03:30:00,87832,Bullish,22450.067565,22445.428216,2025-02-03 01:00:00,87840,21746.690708,22475.841726,20288.388671999997,729.1510180000005,1458.302036000001,2025-02-06 01:00:00,22475.841726,-729.1510180000005,LOSS
LONG,2025-02-04 02:30:00,87912,Bearish,22045.928719,22043.609044,2025-02-04 03:00:00,87920,22052.372259,21980.462349,22196.192078999997,71.90990999999849,143.81981999999698,2025-02-05 02:15:00,22196.192078999997,143.81981999999698,WIN
SHORT,2025-02-05 02:00:00,87952,Bullish,22170.675658,22166.294051,2025-02-05 02:30:00,87961,22122.477977,22196.192078,21975.049774999996,73.71410100000139,147.42820200000278,2025-02-05 02:35:00,22196.192078,-73.71410100000139,LOSS
SHORT,2025-02-05 02:30:00,87960,Bullish,22190.779504,22183.304997,2025-02-05 02:30:00,87961,22122.477977,22207.79045,21951.853030999995,85.31247300000177,170.62494600000355,2025-02-06 01:00:00,22207.79045,-85.31247300000177,LOSS
LONG,2025-02-05 03:30:00,87977,Bearish,22146.705689,22141.293115,2025-02-06 01:00:00,87984,22504.451045,22100.054457,23313.244221000008,404.39658800000325,808.7931760000065,2025-02-25 01:00:00,22100.054457,-404.39658800000325,LOSS
LONG,2025-02-05 03:45:00,87980,Bearish,22146.705689,22141.293115,2025-02-06 01:00:00,87984,22504.451045,22099.281232,23314.790671000002,405.16981300000043,810.3396260000009,2025-02-25 01:00:00,22099.281232,-405.16981300000043,LOSS
LONG,2025-02-06 02:00:00,88000,Bearish,22473.006568,22466.563028,2025-02-06 02:30:00,88008,22487.955582,22444.139508,22575.587729999996,43.81607399999848,87.63214799999696,2025-02-10 01:00:00,22444.139508,-43.81607399999848,LOSS
SHORT,2025-02-06 03:15:00,88020,Bullish,22497.23428,22490.275256,2025-02-06 03:15:00,88021,22484.862683,22505.997495,22442.593059,21.134812000000238,42.269624000000476,2025-02-07 01:00:00,22505.997495,-21.134812000000238,LOSS
LONG,2025-02-06 03:45:00,88029,Bearish,22481.769783,22478.934625,2025-02-07 01:00:00,88032,22539.503904,22467.078511,22684.354690000004,72.42539300000135,144.8507860000027,2025-02-10 01:00:00,22467.078511,-72.42539300000135,LOSS
SHORT,2025-02-10 03:30:00,88120,Bullish,22376.353464,22374.549273,2025-02-10 03:40:00,88123,22373.776048,22387.436353,22346.455437999997,13.660305000001244,27.32061000000249,2025-02-11 01:00:00,22387.436353,-13.660305000001244,LOSS
SHORT,2025-02-14 01:15:00,88276,Bullish,22834.360307,22833.329341,2025-02-14 01:35:00,88282,22828.689992,22849.824804,22786.420368,21.134812000000238,42.269624000000476,2025-02-17 01:00:00,22849.824804,-21.134812000000238,LOSS
LONG,2025-02-14 02:45:00,88300,Bearish,22815.54517,22803.173572,2025-02-14 03:00:00,88304,22826.370317,22786.678109,22905.754733,39.69220800000039,79.38441600000078,2025-02-17 01:00:00,22905.754733,79.38441600000078,WIN
LONG,2025-02-17 02:45:00,88349,Bearish,22933.333086,22927.662771,2025-02-17 03:15:00,88357,22934.106311,22917.868589,22966.581754999996,16.23772199999803,32.47544399999606,2025-02-17 03:30:00,22917.868589,-16.23772199999803,LOSS
LONG,2025-02-17 03:30:00,88360,Bearish,22931.271153,22931.013412,2025-02-17 03:45:00,88365,22935.652761,22913.22924,22980.499803000002,22.42352100000062,44.84704200000124,2025-02-18 01:00:00,22980.499803000002,44.84704200000124,WIN
LONG,2025-02-18 01:45:00,88381,Bearish,23000.861388,23000.088163,2025-02-18 01:50:00,88382,23002.150096,22986.943341,23032.563606000007,15.206755000002886,30.413510000005772,2025-02-18 02:00:00,22986.943341,-15.206755000002886,LOSS
LONG,2025-02-24 02:15:00,88580,Bearish,22422.489213,22400.065692,2025-02-24 02:45:00,88588,22449.552082,22373.002823,22602.650599999997,76.54925899999944,153.09851799999888,2025-02-25 01:00:00,22373.002823,-76.54925899999944,LOSS
LONG,2025-02-25 01:45:00,88620,Bearish,22054.691933,22031.237447,2025-02-25 02:00:00,88624,22062.681923,22001.597161,22184.851446999997,61.08476199999859,122.16952399999718,2025-02-25 02:00:00,22001.597161,-61.08476199999859,LOSS
LONG,2025-02-25 01:45:00,88621,Bearish,22054.691933,22031.237447,2025-02-25 02:00:00,88624,22062.681923,21965.771077,22256.503614999998,96.91084599999886,193.8216919999977,2025-02-25 03:00:00,21965.771077,-96.91084599999886,LOSS
LONG,2025-02-27 01:00:00,88705,Bearish,21963.966886,21952.110772,2025-02-27 01:15:00,88708,21966.802044,21930.202735,22040.000662000002,36.599309000001085,73.19861800000217,2025-02-27 02:00:00,21930.202735,-36.599309000001085,LOSS
SHORT,2025-02-27 02:45:00,88732,Bullish,21961.904953,21959.069796,2025-02-27 03:00:00,88737,21958.812054,21977.111708,21922.212746000005,18.299653999998554,36.59930799999711,2025-02-27 03:05:00,21977.111708,-18.299653999998554,LOSS
SHORT,2025-02-27 02:45:00,88733,Bullish,21961.904953,21959.069796,2025-02-27 03:00:00,88737,21958.812054,21988.710081,21899.016000000003,29.898026999999274,59.79605399999855,2025-02-27 03:15:00,21988.710081,-29.898026999999274,LOSS
SHORT,2025-02-27 03:30:00,88744,Bullish,21976.080742,21968.606235,2025-02-28 01:00:00,88752,21247.445207,21993.091688,19756.152245,745.6464809999998,1491.2929619999995,2025-03-31 01:00:00,19756.152245,1491.2929619999995,WIN
SHORT,2025-02-27 03:30:00,88745,Bullish,21978.400416,21977.36945,2025-02-28 01:00:00,88752,21247.445207,21995.153621,19752.028379,747.7084140000006,1495.4168280000013,2025-03-31 01:00:00,19752.028379,1495.4168280000013,WIN
SHORT,2025-03-03 02:00:00,88816,Bullish,21617.819902,21608.283463,2025-03-03 02:15:00,88820,21557.508365,21639.985681,21392.553733000008,82.47731599999679,164.95463199999358,2025-03-03 03:30:00,21639.985681,-82.47731599999679,LOSS
LONG,2025-03-05 03:00:00,88928,Bearish,21212.392348,21206.206549,2025-03-05 03:15:00,88932,21231.98071,21152.338552,21391.265025999997,79.64215799999874,159.2843159999975,2025-03-06 02:00:00,21152.338552,-79.64215799999874,LOSS
LONG,2025-03-11 02:15:00,89108,Bearish,20081.679899,20079.617966,2025-03-11 02:45:00,89117,20085.288282,20053.586064,20148.692718000006,31.702218000002176,63.40443600000435,2025-03-11 02:50:00,20053.586064,-31.702218000002176,LOSS
SHORT,2025-03-12 03:00:00,89168,Bullish,20071.370235,20062.349278,2025-03-12 03:15:00,89172,20056.678963,20108.227285,19953.582318999994,51.54832200000237,103.09664400000474,2025-03-12 03:30:00,20108.227285,-51.54832200000237,LOSS
SHORT,2025-03-12 03:45:00,89181,Bullish,20112.608893,20104.876644,2025-03-13 01:00:00,89184,20040.698983,20161.064315,19799.968318999996,120.36533200000122,240.73066400000243,2025-03-17 01:00:00,20161.064315,-120.36533200000122,LOSS
LONG,2025-03-13 01:15:00,89188,Bearish,20052.555097,20045.853815,2025-03-13 01:45:00,89196,20086.834731,20001.522258,20257.459676999995,85.31247299999814,170.62494599999627,2025-03-14 01:00:00,20001.522258,-85.31247299999814,LOSS
LONG,2025-03-13 03:15:00,89220,Bearish,20043.791882,20038.63705,2025-03-13 03:25:00,89223,20066.730886,20009.76999,20180.652678000002,56.9608960000005,113.921792000001,2025-03-14 01:00:00,20009.76999,-56.9608960000005,LOSS
