Date,Time,Type,Entry_Price,Open_830,High_830,Low_830,Close_830,Max_High_Prev5,Min_Low_Prev5,Prev_Candles_Start,Prev_Candles_End
2018-11-01,08:30:00,Bullish,8112.47613,8104.360465,8120.301949,8091.607278,8112.47613,8108.418298,8085.230685,08:05:00,08:25:00
2018-11-05,08:30:00,Bearish,8052.478182,8080.593162,8082.332233,8032.478866,8052.478182,8082.622079,8071.897808,08:05:00,08:25:00
2018-11-06,08:30:00,Bullish,8098.273717,8047.260969,8106.679227,8045.521898,8098.273717,8048.42035,8032.189021,08:05:00,08:25:00
2018-11-07,08:30:00,Bullish,8216.530542,8206.385961,8218.559458,8187.256181,8216.530542,8211.893019,8181.169432,08:05:00,08:25:00
2018-11-08,08:30:00,Bearish,8306.672386,8323.77325,8336.526437,8299.426257,8306.672386,8327.831082,8314.20836,08:05:00,08:25:00
2018-11-09,08:30:00,Bullish,8231.892335,8230.153264,8250.442425,8227.544658,8231.892335,8244.355677,8227.254812,08:05:00,08:25:00
2018-11-12,08:30:00,Bearish,8067.55013,8108.708143,8126.098852,8065.521214,8067.55013,8123.490246,8100.882323,08:05:00,08:25:00
2018-11-13,08:30:00,Bullish,8007.552183,7958.858196,8015.957692,7957.40897,8007.552183,7968.712931,7948.133925,08:05:00,08:25:00
2018-11-16,08:30:00,Bearish,7915.671267,7926.105693,7935.960429,7912.193126,7915.671267,7943.206557,7916.250958,08:05:00,08:25:00
2018-11-19,08:30:00,Bearish,7916.830648,7936.250274,7944.655783,7911.033745,7916.830648,7947.26439,7920.018945,08:05:00,08:25:00
2018-11-20,08:30:00,Bullish,7558.292188,7537.713181,7575.393052,7516.26464,7558.292188,7568.726613,7524.959994,08:05:00,08:25:00
2018-11-21,08:30:00,Bullish,7687.563128,7675.099786,7703.794457,7663.50598,7687.563128,7676.838857,7660.607528,08:05:00,08:25:00
2018-11-23,08:30:00,Bullish,7613.652613,7570.755529,7615.391684,7569.885994,7613.652613,7574.233671,7557.132807,08:05:00,08:25:00
2018-11-26,08:30:00,Bearish,7675.679477,7680.027154,7685.824057,7667.273967,7675.679477,7690.46158,7677.418548,08:05:00,08:25:00
2018-11-27,08:30:00,Bullish,7722.344547,7705.823373,7726.98207,7702.345231,7722.344547,7711.620276,7693.939722,08:05:00,08:25:00
2018-11-28,08:30:00,Bearish,7825.529423,7830.456791,7843.209978,7815.674688,7825.529423,7831.906017,7824.370043,08:05:00,08:25:00
2018-11-30,08:30:00,Bearish,7980.016893,8007.552183,8011.030324,7978.277822,7980.016893,8015.957692,8004.074041,08:05:00,08:25:00
2018-12-03,08:30:00,Bearish,8209.284413,8230.443109,8240.58769,8205.806271,8209.284413,8233.921251,8219.428993,08:05:00,08:25:00
2018-12-04,08:30:00,Bearish,8146.388013,8150.735691,8169.865471,8142.330181,8146.388013,8161.170116,8148.127084,08:05:00,08:25:00
